,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
1387.154,2040.6029,
1384.243,2056.8121,
1381.332,2097.6267,
1378.422,2068.7703,
1375.511,2112.799,
1372.601,2217.6374,
1369.690,2195.64,
1366.780,2276.0398,
1363.869,2284.6969,
1360.958,2327.6958,
1358.048,2408.8646,
1355.137,2474.8356,
1352.227,2544.7944,
1349.316,2620.2744,
1346.406,2681.6415,
1343.495,2730.0331,
1340.584,2715.6061,
1337.674,2785.0024,
1334.763,2822.2177,
1331.853,2814.7999,
1328.942,2866.0889,
1326.032,2870.0531,
1323.121,2900.6205,
1320.210,2948.1256,
1317.300,2942.3005,
1314.389,2981.515,
1311.479,3067.2667,
1308.568,3142.9048,
1305.657,3206.1524,
1302.747,3226.8227,
1299.836,3288.6992,
1296.926,3414.8329,
1294.015,3486.5401,
1291.105,3523.8411,
1288.194,3663.4876,
1285.283,3761.2243,
1282.373,3857.3747,
1279.462,3914.9703,
1276.552,3962.8781,
1273.641,4030.5909,
1270.731,4071.2075,
1267.820,4057.0458,
1264.909,4042.4332,
1261.999,3977.3988,
1259.088,4002.026,
1256.178,4011.2081,
1253.267,3950.3572,
1250.356,3878.6742,
1247.446,3768.4246,
1244.535,3630.2056,
1241.625,3513.3594,
1238.714,3438.8842,
1235.804,3379.9904,
1232.893,3311.52,
1229.982,3218.9975,
1227.072,3174.6372,
1224.161,3154.6899,
1221.251,3106.0849,
1218.340,3060.0528,
1215.430,2997.8056,
1212.519,2959.5945,
1209.608,2952.1212,
1206.698,2932.5849,
1203.787,2911.2136,
1200.877,2921.1129,
1197.966,2931.0037,
1195.055,3044.1288,
1192.145,3097.3105,
1189.234,3218.1459,
1186.324,3319.504,
1183.413,3355.3832,
1180.503,3338.2882,
1177.592,3286.7017,
1174.681,3231.839,
1171.771,3212.9024,
1168.860,3187.0028,
1165.950,3121.6094,
1163.039,3082.0559,
1160.129,3088.6058,
1157.218,3085.5972,
1154.307,3059.8533,
1151.397,3036.4617,
1148.486,3007.6585,
1145.576,2958.5408,
1142.665,2982.5144,
1139.754,2976.3637,
1136.844,2930.3809,
1133.933,2906.808,
1131.023,2901.1395,
1128.112,2886.0018,
1125.202,2864.4662,
1122.291,2863.9906,
1119.380,2840.3228,
1116.470,2924.163,
1113.559,2927.5408,
1110.649,2943.1808,
1107.738,2930.5315,
1104.828,2935.6338,
1101.917,2956.7776,
1099.006,2930.1803,
1096.096,2946.2099,
1093.185,2925.1379,
1090.275,2892.7477,
1087.364,2913.631,
1084.453,2933.812,
1081.543,2935.9942,
1078.632,2932.1268,
1075.722,2925.9776,
1072.811,2895.7339,
1069.901,2927.1713,
1066.990,2964.2583,
1064.079,2991.5544,
1061.169,3003.2615,
1058.258,3015.6637,
1055.348,3047.7254,
1052.437,3082.1527,
1049.527,3036.2455,
1046.616,3081.4246,
1043.705,3084.9585,
1040.795,3138.1344,
1037.884,3184.6836,
1034.974,3196.0309,
1032.063,3191.123,
1029.153,3197.7343,
1026.242,3183.0301,
1023.331,3196.6658,
1020.421,3205.7739,
1017.510,3248.2796,
1014.600,3296.8401,
1011.689,3307.1017,
1008.778,3294.0256,
1005.868,3413.9942,
1002.957,3469.0569,
1000.047,3559.036,
