,PL6EEA~1,
Wavenumbers [1/cm],Intensity,
1218.340,1327.7472,
1215.430,1317.7766,
1212.519,1311.8808,
1209.608,1300.9987,
1206.698,1297.3803,
1203.787,1294.8536,
1200.877,1277.515,
1197.966,1283.8092,
1195.055,1349.8251,
1192.145,1383.6653,
1189.234,1436.5405,
1186.324,1479.1267,
1183.413,1481.3179,
1180.503,1463.1015,
1177.592,1460.7513,
1174.681,1462.8305,
1171.771,1440.6607,
1168.860,1463.8811,
1165.950,1404.0407,
1163.039,1365.3793,
1160.129,1375.1801,
1157.218,1381.914,
1154.307,1374.125,
1151.397,1369.4328,
1148.486,1354.7763,
1145.576,1348.2429,
1142.665,1373.9924,
1139.754,1347.648,
1136.844,1343.2259,
1133.933,1316.5592,
1131.023,1295.7087,
1128.112,1294.8392,
1125.202,1291.0526,
1122.291,1276.253,
1119.380,1284.2376,
1116.470,1295.7105,
1113.559,1322.6422,
1110.649,1312.4442,
1107.738,1308.4832,
1104.828,1291.4878,
1101.917,1277.3979,
1099.006,1325.0629,
1096.096,1364.9749,
1093.185,1329.8548,
1090.275,1295.5635,
1087.364,1284.0083,
1084.453,1300.6863,
1081.543,1311.181,
1078.632,1307.692,
1075.722,1312.8175,
1072.811,1320.6214,
1069.901,1327.6075,
1066.990,1362.8833,
1064.079,1377.2496,
1061.169,1379.0204,
1058.258,1394.6409,
1055.348,1413.5975,
1052.437,1403.3211,
1049.527,1393.7893,
1046.616,1385.101,
1043.705,1421.8925,
1040.795,1435.0405,
1037.884,1440.1709,
1034.974,1450.8286,
1032.063,1465.9403,
1029.153,1475.113,
1026.242,1450.0293,
1023.331,1469.957,
1020.421,1493.6438,
1017.510,1502.125,
1014.600,1485.2078,
1011.689,1481.5098,
1008.778,1534.9632,
1005.868,1563.403,
1002.957,1594.3758,
1000.047,1607.861,
997.136,1674.5562,
994.226,1703.956,
991.315,1697.9121,
988.404,1721.9368,
985.494,1695.3552,
982.583,1705.6338,
979.673,1666.1528,
976.762,1674.6091,
973.852,1702.6173,
970.941,1716.8286,
968.030,1705.7549,
965.120,1647.2288,
962.209,1671.9525,
959.299,1692.4147,
956.388,1686.8058,
953.477,1700.9646,
950.567,1733.8179,
947.656,1727.7854,
944.746,1709.9447,
941.835,1711.5544,
938.925,1712.7831,
936.014,1713.6308,
933.103,1707.7693,
930.193,1685.5379,
927.282,1645.0498,
924.372,1680.5653,
921.461,1685.8614,
918.551,1635.0029,
915.640,1600.6747,
912.729,1599.8313,
909.819,1586.0121,
906.908,1570.006,
903.998,1569.125,
901.087,1597.7678,
898.176,1618.4198,
895.266,1630.4252,
892.355,1648.4809,
889.445,1661.0699,
886.534,1651.9414,
883.624,1683.7666,
880.713,1692.98,
877.802,1697.5889,
874.892,1715.0804,
871.981,1696.1583,
869.071,1655.2231,
866.160,1634.3258,
863.250,1635.988,
860.339,1661.7397,
857.428,1686.8987,
854.518,1652.3898,
851.607,1661.5426,
848.697,1642.4905,
845.786,1634.6819,
842.875,1612.7053,
839.965,1577.9262,
837.054,1618.6274,
834.144,1663.38,
831.233,1663.459,
828.323,1639.3421,
825.412,1624.5984,
822.501,1633.4441,
819.591,1618.5689,
816.680,1602.0993,
813.770,1579.3299,
810.859,1563.6126,
807.949,1563.9128,
805.038,1577.1338,
802.127,1560.6713,
799.217,1521.1101,
796.306,1498.4763,
793.396,1517.9879,
790.485,1554.4393,
787.574,1532.7825,
784.664,1523.7613,
781.753,1539.5706,
778.843,1550.0853,
775.932,1549.3473,
773.022,1545.5342,
770.111,1561.0681,
767.200,1581.9191,
764.290,1565.5878,
761.379,1546.3679,
758.469,1541.9157,
755.558,1540.6874,
752.648,1526.0245,
749.737,1517.9027,
746.826,1512.3277,
743.916,1518.6186,
741.005,1537.8978,
738.095,1491.6208,
735.184,1454.6624,
732.274,1386.3799,
729.363,1356.6351,
726.452,1412.6198,
723.542,1498.4155,
720.631,1514.5931,
717.721,1547.3401,
714.810,1560.7501,
711.899,1548.2537,
708.989,1553.0953,
706.078,1541.9068,
703.168,1556.1272,
700.257,1542.3707,
697.347,1509.7334,
694.436,1519.4742,
691.525,1532.335,
688.615,1520.0311,
685.704,1500.7644,
682.794,1497.1887,
679.883,1530.2331,
