,PLCF80~1,
Wavenumbers [1/cm],Intensity,
1404.617,1704.4809,
1401.707,1709.5337,
1398.796,1724.1232,
1395.885,1713.5796,
1392.975,1726.939,
1390.064,1787.9319,
1387.154,1781.576,
1384.243,1780.4261,
1381.332,1761.9937,
1378.422,1749.4835,
1375.511,1800.0696,
1372.601,1893.9536,
1369.690,1899.3033,
1366.780,1965.406,
1363.869,1965.4396,
1360.958,1975.3804,
1358.048,2046.1727,
1355.137,2095.7089,
1352.227,2113.313,
1349.316,2180.9222,
1346.406,2249.9094,
1343.495,2242.0336,
1340.584,2324.2676,
1337.674,2343.1982,
1334.763,2372.2864,
1331.853,2409.3757,
1328.942,2424.217,
1326.032,2433.2156,
1323.121,2471.1823,
1320.210,2472.5543,
1317.300,2478.0894,
1314.389,2555.2514,
1311.479,2606.0207,
1308.568,2619.9206,
1305.657,2717.6471,
1302.747,2790.3881,
1299.836,2698.5287,
1296.926,2795.2844,
1294.015,2933.1829,
1291.105,2976.7383,
1288.194,3046.5732,
1285.283,3091.5151,
1282.373,3164.2576,
1279.462,3243.7957,
1276.552,3320.7571,
1273.641,3365.5974,
1270.731,3380.6929,
1267.820,3401.3618,
1264.909,3307.7541,
1261.999,3308.839,
1259.088,3362.6541,
1256.178,3295.6456,
1253.267,3263.1607,
1250.356,3233.8484,
1247.446,3133.1057,
1244.535,3031.7189,
1241.625,2949.2751,
1238.714,2867.4387,
1235.804,2822.3216,
1232.893,2792.6346,
1229.982,2748.599,
1227.072,2740.4512,
1224.161,2701.2118,
1221.251,2655.905,
1218.340,2616.9625,
1215.430,2570.944,
1212.519,2539.8946,
1209.608,2528.9137,
1206.698,2532.8966,
1203.787,2561.5282,
1200.877,2512.881,
1197.966,2545.2507,
1195.055,2627.9336,
1192.145,2710.2472,
1189.234,2802.9446,
1186.324,2833.2379,
1183.413,2839.2405,
1180.503,2848.1299,
1177.592,2829.0668,
1174.681,2807.3408,
1171.771,2788.8447,
1168.860,2744.1903,
1165.950,2671.3404,
1163.039,2677.9223,
1160.129,2709.6996,
1157.218,2697.473,
1154.307,2653.776,
1151.397,2619.4478,
1148.486,2584.63,
1145.576,2557.265,
1142.665,2612.3155,
1139.754,2585.1435,
1136.844,2552.6641,
1133.933,2538.356,
1131.023,2533.5145,
1128.112,2521.2335,
1125.202,2508.2228,
1122.291,2520.1203,
1119.380,2507.9963,
1116.470,2520.3517,
1113.559,2551.2585,
1110.649,2581.4849,
1107.738,2599.8406,
1104.828,2578.8285,
1101.917,2558.3314,
1099.006,2592.8649,
1096.096,2559.445,
1093.185,2552.421,
1090.275,2600.4312,
1087.364,2562.4742,
1084.453,2575.8727,
1081.543,2595.1106,
1078.632,2568.5187,
1075.722,2545.0303,
1072.811,2589.2473,
1069.901,2594.4869,
1066.990,2594.0667,
1064.079,2646.9551,
1061.169,2665.7997,
1058.258,2668.4977,
1055.348,2697.3944,
1052.437,2735.8074,
1049.527,2706.2177,
1046.616,2740.9708,
1043.705,2751.0411,
1040.795,2779.6922,
1037.884,2784.2545,
1034.974,2800.317,
1032.063,2831.9985,
1029.153,2794.3025,
1026.242,2822.846,
1023.331,2837.2075,
1020.421,2853.817,
1017.510,2874.4422,
1014.600,2863.8826,
1011.689,2855.2553,
1008.778,2923.2429,
1005.868,3006.9599,
1002.957,3016.4238,
1000.047,3175.8511,
997.136,3238.9863,
994.226,3256.5978,
991.315,3271.2215,
988.404,3253.3093,
985.494,3203.6257,
982.583,3192.4904,
979.673,3190.1434,
976.762,3189.2879,
973.852,3188.433,
970.941,3188.7641,
968.030,3189.9733,
965.120,3184.8392,
962.209,3176.3138,
959.299,3191.873,
956.388,3197.1951,
953.477,3202.4514,
950.567,3228.8675,
947.656,3267.8507,
944.746,3199.0367,
941.835,3250.9423,
938.925,3267.1653,
936.014,3233.4672,
933.103,3212.6457,
930.193,3219.0979,
927.282,3144.3791,
924.372,3153.6808,
921.461,3123.2098,
918.551,3073.5334,
915.640,3040.3507,
912.729,3023.4825,
909.819,2996.3181,
906.908,2984.5242,
903.998,3022.0525,
901.087,3061.7908,
898.176,3071.7171,
895.266,3069.2708,
892.355,3087.4715,
889.445,3122.7207,
886.534,3190.4996,
883.624,3221.3686,
880.713,3249.2685,
877.802,3260.5798,
874.892,3239.1534,
871.981,3203.4546,
869.071,3143.3049,
866.160,3138.3947,
863.250,3143.496,
860.339,3185.2522,
857.428,3244.7791,
854.518,3196.1418,
851.607,3136.2328,
848.697,3095.611,
845.786,3114.5699,
842.875,3110.2697,
839.965,3063.8367,
837.054,3146.7402,
834.144,3223.8142,
831.233,3202.211,
828.323,3162.6084,
825.412,3122.8451,
822.501,3086.2155,
819.591,3093.6531,
816.680,3074.6442,
813.770,3041.6824,
810.859,3016.3014,
807.949,3008.0799,
805.038,3007.6029,
802.127,2955.7458,
799.217,2938.9487,
796.306,2969.4969,
793.396,2974.8519,
790.485,2945.2443,
787.574,2957.5636,
784.664,2949.3625,
781.753,2980.7532,
778.843,3019.9089,
775.932,3035.8504,
773.022,3017.7482,
770.111,3016.9306,
767.200,3055.7019,
764.290,3024.5342,
761.379,3004.691,
758.469,3028.3159,
755.558,3046.7598,
752.648,2975.8893,
749.737,2956.6527,
746.826,2959.9359,
743.916,2955.9852,
741.005,2920.9971,
738.095,2860.1064,
735.184,2747.0462,
732.274,2706.4527,
729.363,2751.9212,
726.452,2847.6457,
723.542,2896.2093,
720.631,2927.9275,
717.721,2970.1,
714.810,3006.2954,
711.899,3017.5383,
708.989,2986.0683,
706.078,2981.0672,
703.168,2985.9472,
700.257,2968.8338,
697.347,2946.7003,
694.436,2973.8712,
691.525,2936.8962,
688.615,2938.9376,
685.704,2937.1045,
682.794,2933.1941,
679.883,2953.2623,
676.973,2939.639,
674.062,2934.3227,
671.151,2944.7099,
668.241,2969.1667,
665.330,2999.1397,
662.420,3004.7308,
659.509,2978.573,
656.598,2981.916,
653.688,2993.9926,
650.777,2952.0091,
647.867,2985.4549,
644.956,2976.1579,
642.046,2946.3889,
639.135,2935.6437,
636.224,2998.6124,
633.314,2946.2125,
630.403,2973.6685,
627.493,3003.4113,
624.582,3016.4693,
621.672,3063.9889,
618.761,3049.1563,
615.850,3061.5066,
612.940,3093.6348,
610.029,3129.0587,
