,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
1515.219,1020.6601,
1512.309,1009.3333,
1509.398,988.37441,
1506.487,1005.5319,
1503.577,970.67563,
1500.666,979.40272,
1497.756,992.1353,
1494.845,963.66009,
1491.934,967.42441,
1489.024,944.32458,
1486.113,970.38925,
1483.203,910.32826,
1480.292,895.71191,
1477.382,860.55358,
1474.471,877.82351,
1471.560,878.24334,
1468.650,862.5178,
1465.739,890.44598,
1462.829,877.27186,
1459.918,865.99733,
1457.008,861.29983,
1454.097,844.80274,
1451.186,863.7882,
1448.276,905.72423,
1445.365,908.31912,
1442.455,885.96639,
1439.544,893.32104,
1436.633,870.24776,
1433.723,876.50604,
1430.812,860.3574,
1427.902,834.87553,
1424.991,892.68904,
1422.081,851.37858,
1419.170,831.08285,
1416.259,808.24842,
1413.349,821.62579,
1410.438,781.31454,
1407.528,805.91818,
1404.617,814.64754,
1401.707,826.28744,
1398.796,851.69229,
1395.885,834.3502,
1392.975,807.52108,
1390.064,835.56993,
1387.154,872.52777,
1384.243,858.81022,
1381.332,856.05333,
1378.422,860.11356,
1375.511,852.61931,
1372.601,928.99034,
1369.690,882.35221,
1366.780,970.12829,
1363.869,935.20241,
1360.958,967.29795,
1358.048,1030.5054,
1355.137,1031.3699,
1352.227,1026.0556,
1349.316,1079.8834,
1346.406,1126.8786,
1343.495,1119.4617,
1340.584,1152.5,
1337.674,1151.7496,
1334.763,1146.3821,
1331.853,1169.5629,
1328.942,1214.9732,
1326.032,1178.9033,
1323.121,1208.0302,
1320.210,1246.805,
1317.300,1243.5637,
1314.389,1237.1251,
1311.479,1251.1116,
1308.568,1290.7985,
1305.657,1349.3335,
1302.747,1354.8876,
1299.836,1292.1193,
1296.926,1400.5165,
1294.015,1486.9329,
1291.105,1443.8313,
1288.194,1546.9278,
1285.283,1603.1401,
1282.373,1646.1405,
1279.462,1673.2841,
1276.552,1686.0748,
1273.641,1704.6474,
1270.731,1724.5,
1267.820,1723.8768,
1264.909,1720.6538,
1261.999,1714.1005,
1259.088,1703.1551,
1256.178,1662.2465,
1253.267,1658.5688,
1250.356,1638.5051,
1247.446,1592.1229,
1244.535,1540.2367,
1241.625,1474.7446,
1238.714,1421.8591,
1235.804,1417.5195,
1232.893,1367.1256,
1229.982,1363.9481,
1227.072,1347.6524,
1224.161,1313.7204,
1221.251,1284.4202,
1218.340,1288.1606,
1215.430,1252.6593,
1212.519,1225.7442,
1209.608,1238.7525,
1206.698,1244.968,
1203.787,1237.3844,
1200.877,1221.3358,
1197.966,1234.8232,
1195.055,1276.4559,
1192.145,1303.0349,
1189.234,1363.3498,
1186.324,1393.591,
1183.413,1394.5,
1180.503,1416.4216,
1177.592,1442.7724,
1174.681,1383.1918,
1171.771,1353.8503,
1168.860,1369.0328,
1165.950,1367.2748,
1163.039,1351.1351,
1160.129,1363.9652,
1157.218,1358.2706,
1154.307,1328.2244,
1151.397,1313.5427,
1148.486,1301.6642,
1145.576,1220.1212,
1142.665,1280.4993,
1139.754,1280.6182,
1136.844,1271.0964,
1133.933,1258.7024,
1131.023,1238.3371,
1128.112,1232.1415,
1125.202,1243.9445,
1122.291,1225.6226,
1119.380,1219.985,
1116.470,1269.4066,
1113.559,1244.57,
1110.649,1244.013,
1107.738,1253.8582,
1104.828,1244.3526,
1101.917,1226.2752,
1099.006,1233.6546,
1096.096,1248.9838,
1093.185,1256.8858,
1090.275,1252.6444,
1087.364,1213.7632,
1084.453,1242.0596,
1081.543,1279.2529,
1078.632,1284.3205,
1075.722,1284.294,
1072.811,1257.6862,
1069.901,1260.3059,
1066.990,1305.7666,
1064.079,1289.2794,
1061.169,1296.9351,
1058.258,1323.6637,
1055.348,1336.6181,
1052.437,1340.2396,
1049.527,1368.3923,
1046.616,1339.7209,
1043.705,1348.8322,
1040.795,1373.5707,
1037.884,1381.9598,
1034.974,1386.3209,
1032.063,1394.4925,
1029.153,1378.3961,
1026.242,1377.5312,
1023.331,1389.9992,
1020.421,1412.7159,
1017.510,1420.3794,
1014.600,1415.6936,
1011.689,1424.7535,
1008.778,1459.1805,
1005.868,1451.7239,
1002.957,1476.6742,
1000.047,1529.276,
997.136,1582.1522,
994.226,1613.6384,
991.315,1627.9802,
988.404,1635.1497,
985.494,1607.6918,
982.583,1616.2574,
979.673,1578.7227,
976.762,1562.1516,
973.852,1572.8763,
970.941,1586.7217,
968.030,1590.4654,
965.120,1635.2852,
962.209,1584.1327,
959.299,1589.665,
956.388,1595.5,
953.477,1595.911,
950.567,1601.9899,
947.656,1619.6168,
944.746,1635.7584,
941.835,1617.8743,
938.925,1620.0805,
936.014,1637.1573,
933.103,1633.9046,
930.193,1599.7046,
927.282,1584.2709,
924.372,1580.0428,
921.461,1555.1988,
918.551,1530.8148,
915.640,1502.0773,
912.729,1475.2797,
909.819,1469.6137,
906.908,1493.2016,
903.998,1493.7046,
901.087,1497.9555,
898.176,1519.5878,
895.266,1534.4694,
892.355,1525.4265,
889.445,1546.4082,
886.534,1595.7574,
883.624,1592.7162,
880.713,1585.9896,
877.802,1587.5843,
874.892,1584.33,
871.981,1550.6258,
869.071,1471.2616,
866.160,1485.0984,
863.250,1526.8554,
860.339,1551.3522,
857.428,1551.7088,
854.518,1569.5241,
851.607,1570.3561,
848.697,1508.5965,
845.786,1478.4241,
842.875,1487.336,
839.965,1514.1458,
837.054,1544.9094,
834.144,1581.3745,
831.233,1568.5014,
828.323,1538.7171,
825.412,1527.193,
822.501,1542.8191,
819.591,1527.9439,
816.680,1513.0769,
813.770,1486.3194,
810.859,1475.2074,
807.949,1480.1537,
805.038,1480.219,
802.127,1444.8245,
799.217,1432.5553,
796.306,1448.7974,
793.396,1456.4923,
