,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__2__12-58-50-746,
Raman shift [1/cm],Intensity,
1590.894,3561.0753,
1587.984,3502.7043,
1585.073,3468.6489,
1582.162,3493.9309,
1579.252,3443.4122,
1576.341,3418.058,
1573.431,3478.3121,
1570.520,3451.5411,
1567.610,3383.482,
1564.699,3286.5718,
1561.788,3240.678,
1558.878,3200.4196,
1555.967,3085.1146,
1553.057,3010.9097,
1550.146,2959.7733,
1547.235,2899.8651,
1544.325,2853.9503,
1541.414,2836.2548,
1538.504,2818.9471,
1535.593,2803.875,
1532.683,2804.3344,
1529.772,2772.5318,
1526.861,2725.0471,
1523.951,2677.6212,
1521.040,2604.7364,
1518.130,2573.3755,
1515.219,2509.9162,
1512.309,2464.6633,
1509.398,2464.3349,
1506.487,2500.6393,
1503.577,2459.6098,
1500.666,2459.5099,
1497.756,2421.9001,
1494.845,2384.2741,
1491.934,2345.7742,
1489.024,2314.9744,
1486.113,2337.0554,
1483.203,2298.9075,
1480.292,2286.2384,
1477.382,2243.6543,
1474.471,2243.0835,
1471.560,2184.1934,
1468.650,2164.9746,
1465.739,2157.2676,
1462.829,2167.9891,
1459.918,2142.9631,
1457.008,2119.4597,
1454.097,2117.4805,
1451.186,2138.4011,
1448.276,2185.7785,
1445.365,2183.0156,
1442.455,2158.6082,
1439.544,2165.202,
1436.633,2159.0299,
1433.723,2133.273,
1430.812,2081.0571,
1427.902,2094.2965,
1424.991,2027.9531,
1422.081,1970.8264,
1419.170,1952.05,
1416.259,1953.1153,
1413.349,1911.5815,
1410.438,1906.9721,
1407.528,1887.7003,
1404.617,1906.5799,
1401.707,1894.9588,
1398.796,1905.4693,
1395.885,1927.3118,
1392.975,1921.5012,
1390.064,1910.0701,
1387.154,1748.089,
1384.243,1681.6642,
1381.332,1581.4243,
1378.422,1605.8063,
1375.511,1837.1912,
1372.601,2051.9146,
1369.690,2153.8828,
1366.780,2236.7821,
1363.869,2291.9253,
1360.958,2332.9439,
1358.048,2391.3734,
1355.137,2445.0051,
1352.227,2485.5483,
1349.316,2551.2574,
1346.406,2605.4218,
1343.495,2599.5528,
1340.584,2659.5537,
1337.674,2655.9503,
1334.763,2716.0394,
1331.853,2746.638,
1328.942,2793.2377,
1326.032,2812.7406,
1323.121,2849.2184,
1320.210,2885.5141,
1317.300,2877.8071,
1314.389,2900.8757,
1311.479,2973.8844,
1308.568,2993.4213,
1305.657,2949.5847,
1302.747,2976.5254,
1299.836,3012.0742,
1296.926,3140.3016,
1294.015,3257.0557,
1291.105,3431.8196,
1288.194,3528.3594,
1285.283,3580.5271,
1282.373,3664.7497,
1279.462,3693.2478,
1276.552,3698.2058,
1273.641,3743.5863,
1270.731,3763.5884,
1267.820,3694.5654,
1264.909,3667.348,
1261.999,3698.7099,
1259.088,3666.7857,
1256.178,3615.2005,
1253.267,3555.4729,
1250.356,3468.0861,
1247.446,3417.4466,
1244.535,3366.7278,
1241.625,3291.7529,
1238.714,3216.8342,
1235.804,3153.8605,
1232.893,3109.1277,
1229.982,3092.8887,
1227.072,2975.1981,
1224.161,2917.2853,
1221.251,2862.4599,
1218.340,2776.9113,
1215.430,2707.4945,
1212.519,2657.8787,
1209.608,2644.8219,
1206.698,2687.6626,
1203.787,2722.1112,
1200.877,2694.664,
1197.966,2755.8069,
1195.055,2848.4661,
1192.145,2970.5658,
1189.234,3015.6069,
1186.324,3106.5196,
1183.413,3160.6516,
1180.503,3152.7025,
1177.592,3166.8646,
1174.681,3110.1901,
1171.771,3016.1429,
1168.860,3027.753,
1165.950,2957.1152,
1163.039,2849.781,
1160.129,2785.5112,
1157.218,2763.0676,
1154.307,2758.246,
1151.397,2741.6702,
1148.486,2692.5753,
1145.576,2690.3739,
1142.665,2678.831,
1139.754,2690.8931,
1136.844,2663.0617,
1133.933,2645.7695,
1131.023,2618.7981,
1128.112,2590.0895,
1125.202,2590.7397,
1122.291,2603.7524,
1119.380,2610.1781,
1116.470,2641.0666,
1113.559,2679.6712,
1110.649,2667.6102,
1107.738,2676.2361,
1104.828,2690.5462,
1101.917,2688.8337,
1099.006,2693.772,
1096.096,2682.1549,
1093.185,2654.0588,
1090.275,2647.0194,
1087.364,2677.4367,
1084.453,2648.0028,
1081.543,2620.0101,
1078.632,2625.6812,
1075.722,2623.3198,
1072.811,2634.4955,
1069.901,2643.2281,
1066.990,2667.3166,
1064.079,2692.6099,
1061.169,2713.4733,
1058.258,2749.9781,
1055.348,2799.2213,
1052.437,2820.8396,
1049.527,2780.1771,
1046.616,2787.9966,
1043.705,2817.3933,
1040.795,2812.4664,
1037.884,2815.4955,
1034.974,2841.5167,
1032.063,2866.9212,
1029.153,2861.6939,
1026.242,2843.5298,
1023.331,2884.539,
1020.421,2870.5678,
1017.510,2892.2504,
1014.600,2943.9425,
1011.689,2980.875,
1008.778,2993.6302,
1005.868,3069.2418,
1002.957,3221.5245,
1000.047,3336.603,
997.136,3434.8935,
994.226,3449.9832,
991.315,3397.6522,
988.404,3351.2016,
