,PLEE25~1,
Wavenumbers [1/cm],Intensity,
816.680,1290.4968,
813.770,1263.5709,
810.859,1237.4903,
807.949,1222.6762,
805.038,1228.3064,
802.127,1262.8778,
799.217,1256.4349,
796.306,1253.6926,
793.396,1257.6289,
790.485,1267.7578,
787.574,1284.5334,
784.664,1268.9513,
781.753,1254.7183,
778.843,1248.6349,
775.932,1252.4459,
773.022,1263.7734,
770.111,1274.4019,
767.200,1272.8411,
764.290,1254.7887,
761.379,1251.9717,
758.469,1264.4045,
755.558,1253.8089,
752.648,1243.2191,
749.737,1245.0417,
746.826,1248.5237,
743.916,1254.5926,
741.005,1262.1817,
738.095,1227.271,
735.184,1177.3612,
732.274,1116.0014,
729.363,1093.2641,
726.452,1141.9354,
723.542,1235.0157,
720.631,1260.7676,
717.721,1283.7375,
714.810,1291.1762,
711.899,1279.3626,
708.989,1263.2241,
706.078,1279.9524,
703.168,1286.5539,
700.257,1288.125,
697.347,1287.4729,
694.436,1285.4742,
691.525,1298.335,
688.615,1263.3903,
685.704,1259.6878,
682.794,1286.9335,
679.883,1295.332,
676.973,1277.7019,
674.062,1282.4201,
671.151,1279.2351,
668.241,1266.266,
665.330,1257.1628,
662.420,1257.9615,
659.509,1306.3798,
656.598,1325.47,
653.688,1308.3739,
650.777,1288.4769,
647.867,1269.3651,
644.956,1223.6419,
642.046,1187.76,
639.135,1169.9809,
636.224,1158.4154,
633.314,1216.373,
630.403,1268.9625,
627.493,1296.2772,
624.582,1305.0113,
621.672,1335.8991,
618.761,1308.2473,
615.850,1304.0839,
612.940,1312.9065,
610.029,1323.5717,
607.119,1332.2577,
604.208,1350.1653,
601.297,1372.579,
598.387,1378.3795,
595.476,1355.9077,
592.566,1374.7973,
589.655,1367.1109,
586.745,1362.8609,
583.834,1350.852,
580.923,1300.1771,
578.013,1308.8092,
575.102,1301.9476,
572.192,1305.8435,
569.281,1329.6242,
566.371,1354.6682,
563.460,1350.7758,
560.549,1346.1759,
557.639,1357.8217,
554.728,1392.218,
551.818,1346.1793,
548.907,1372.6898,
545.996,1377.8519,
543.086,1349.7961,
540.175,1352.9106,
537.265,1371.9563,
534.354,1371.5996,
531.444,1367.4689,
528.533,1376.4561,
525.622,1381.1118,
522.712,1402.1479,
519.801,1400.9954,
516.891,1383.1332,
513.980,1407.9106,
511.070,1442.525,
508.159,1462.3334,
505.248,1466.1207,
502.338,1458.4353,
499.427,1503.2016,
496.517,1517.3876,
493.606,1519.798,
490.695,1523.2647,
487.785,1538.6605,
484.874,1537.2477,
481.964,1536.7861,
479.053,1535.6317,
476.143,1521.0404,
473.232,1469.0473,
470.321,1505.5679,
467.411,1548.6631,
464.500,1501.0171,
461.590,1536.2411,
458.679,1546.125,
455.769,1555.2619,
452.858,1572.2617,
449.947,1544.7602,
447.037,1508.787,
444.126,1512.7856,
441.216,1557.2259,
438.305,1580.8458,
435.395,1574.9461,
432.484,1569.2915,
429.573,1561.7349,
426.663,1534.3699,
423.752,1295.6999,
420.842,1020.9544,
417.931,809.01453,
415.020,783.98871,
412.110,1123.3251,
409.199,1360.1053,
406.289,1466.7939,
403.378,1434.9918,
400.468,1395.6801,
397.557,1391.3514,
394.646,1440.8736,
391.736,1554.7769,
388.825,1575.1412,
385.915,1594.962,
383.004,1604.8407,
380.094,1600.699,
377.183,1631.5505,
374.272,1652.0662,
371.362,1669.1889,
368.451,1685.8515,
365.541,1681.3482,
362.630,1695.966,
359.719,1705.8694,
356.809,1699.1671,
353.898,1716.3895,
350.988,1713.5302,
348.077,1702.1881,
345.167,1687.7788,
342.256,1641.4606,
339.345,1673.8282,
336.435,1705.242,
333.524,1683.2994,
330.614,1720.5572,
327.703,1729.558,
324.793,1721.4536,
321.882,1705.0475,
318.971,1673.0794,
316.061,1672.8679,
313.150,1685.9726,
310.240,1691.9095,
307.329,1740.0057,
304.418,1731.3119,
301.508,1708.365,
298.597,1746.8667,
295.687,1770.4422,
292.776,1779.2917,
289.866,1782.64,
286.955,1804.0631,
284.044,1870.3749,
281.134,1905.6438,
278.223,1906.3584,
275.313,1928.4641,
272.402,1969.141,
269.492,1955.2015,
266.581,1870.2811,
263.670,1886.4551,
260.760,1861.8715,
257.849,1887.4769,
254.939,2037.189,
252.028,2020.305,
249.117,2020.8911,
246.207,2048.8767,
243.296,2121.3483,
240.386,2121.2891,
237.475,2120.5827,
234.565,2126.3551,
231.654,2127.8158,
228.743,2124.0974,
225.833,2134.2355,
222.922,2164.3968,
220.012,2170.2252,
217.101,2145.1356,
214.191,2132.8613,
211.280,2185.2387,
208.369,2181.0512,
205.459,2175.528,
202.548,2176.5094,
199.638,2196.1019,
196.727,2224.9023,
193.816,2247.0383,
190.906,2256.6583,
187.995,2271.8628,
185.085,2265.3036,
182.174,2247.6197,
179.264,2230.9961,
176.353,2277.8242,
173.442,2286.9971,
170.532,2252.6888,
167.621,2231.7805,
164.711,2138.8808,
161.800,2015.1501,
158.890,1883.4399,
155.979,1785.3736,
153.068,1630.9223,
150.158,1438.619,
147.247,1282.8234,
144.337,1098.12,
141.426,883.19976,
138.516,633.00472,
135.605,443.93615,
132.694,294.22879,
129.784,181.46677,
126.873,111.38404,
123.963,81.760106,
121.052,61.059745,
118.141,38.214881,
115.231,33.861578,
112.320,27.888641,
109.410,20.352382,
106.499,11.094364,
103.589,10.805763,
100.678,12.125,
97.767,12.125,
94.857,11.432011,
91.946,6.2876695,
89.036,0.36687698,
86.125,8.168135,
83.215,5.8776372,
80.304,1.8855673,
77.393,1.1773974,
74.483,7.6763496,
71.572,11.487352,
68.662,11.155255,
65.751,1.2649399,
62.840,4.3871258,
59.930,11.125,
57.019,11.125,
54.109,0.37610474,
51.198,-3.2556887,
48.288,5.1646371,
45.377,10.088284,
42.466,10.476123,
39.556,7.6645257,
36.645,4.8557648,
33.735,1.0095092,
30.824,-2.3167739,
27.914,-3.7191244,
25.003,-0.76181262,
22.092,4.031141,
19.182,10.651306,
16.271,26.739579,
13.361,130.06033,
10.450,322.13817,
7.539,665.01102,
4.629,808.85545,
1.718,758.5619,
-1.192,427.41824,
-4.103,164.54098,
-7.013,15.132485,
-9.924,-0.875,
