,PLDA7E~1,
Wavenumbers [1/cm],Intensity,
385.915,1405.8843,
383.004,1426.5711,
380.094,1427.5393,
377.183,1418.5096,
374.272,1429.5695,
371.362,1443.6489,
368.451,1451.3221,
365.541,1473.0877,
362.630,1486.1011,
359.719,1482.825,
356.809,1462.6311,
353.898,1489.5879,
350.988,1470.4182,
348.077,1450.9041,
345.167,1457.6216,
342.256,1450.1509,
339.345,1482.5431,
336.435,1503.5619,
333.524,1479.3288,
330.614,1489.761,
327.703,1509.429,
324.793,1513.6572,
321.882,1481.0397,
318.971,1497.3954,
316.061,1499.5818,
313.150,1495.3071,
310.240,1493.0808,
307.329,1523.7294,
304.418,1529.6167,
301.508,1517.8646,
298.597,1502.3159,
295.687,1519.2855,
292.776,1535.5,
289.866,1549.1138,
286.955,1563.8883,
284.044,1600.155,
281.134,1625.5543,
278.223,1642.3291,
275.313,1692.4353,
272.402,1737.2733,
269.492,1734.4338,
266.581,1674.527,
263.670,1667.9104,
260.760,1703.0892,
257.849,1740.8494,
254.939,1751.8576,
252.028,1757.0669,
249.117,1753.0612,
246.207,1756.2282,
243.296,1795.7582,
240.386,1858.7693,
237.475,1886.9265,
234.565,1876.2483,
231.654,1839.7291,
228.743,1823.9448,
225.833,1831.4154,
222.922,1860.0635,
220.012,1818.5358,
217.101,1802.0557,
214.191,1812.1136,
211.280,1855.7614,
208.369,1831.4147,
205.459,1849.1415,
202.548,1890.4847,
199.638,1858.5561,
196.727,1860.6432,
193.816,1869.7092,
190.906,1877.4983,
187.995,1920.2157,
185.085,1910.4115,
182.174,1897.6913,
179.264,1951.8987,
176.353,1953.5145,
173.442,1937.9479,
170.532,1909.4555,
167.621,1861.8711,
164.711,1793.8154,
161.800,1711.0675,
158.890,1614.624,
155.979,1466.2105,
153.068,1328.158,
150.158,1188.898,
147.247,994.33298,
144.337,828.31935,
141.426,663.93479,
138.516,489.01333,
135.605,363.81802,
132.694,242.64668,
129.784,139.47403,
126.873,100.85702,
123.963,70.806265,
121.052,47.767637,
118.141,32.061793,
115.231,27.026008,
112.320,25.423636,
109.410,23.681961,
106.499,11.575322,
103.589,12.361527,
100.678,16.086487,
97.767,18.930237,
94.857,14.149077,
91.946,6.3564478,
89.036,-0.98391883,
86.125,5.3989286,
83.215,6.4690796,
80.304,5.2817019,
77.393,3.1571921,
74.483,4.9654049,
71.572,8.1741127,
68.662,11.099523,
65.751,1.9156585,
62.840,4.2987218,
59.930,8.5017104,
57.019,2.8610545,
54.109,2,
51.198,1.3967814,
48.288,0.03397465,
45.377,4.2542431,
42.466,4.763342,
39.556,1.9639328,
36.645,-4.3557791,
33.735,-1.8460123,
30.824,0.67467816,
27.914,-3.5323733,
25.003,0.9810998,
22.092,1.7396681,
19.182,-2.4508113,
16.271,14.336952,
13.361,101.49847,
10.450,236.15814,
7.539,376.51953,
4.629,151.73956,
1.718,-195.63219,
-1.192,-530.26157,
-4.103,-509.80237,
-7.013,-327.6296,
-9.924,-4,
