,PL6C8D~1,
Wavenumbers [1/cm],Intensity,
816.680,1825.2917,
813.770,1812.2124,
810.859,1783.9229,
807.949,1774.9312,
805.038,1807.2953,
802.127,1769.4315,
799.217,1753.9487,
796.306,1747.6047,
793.396,1747.8216,
790.485,1748.7692,
787.574,1741.1864,
784.664,1749.3875,
781.753,1746.8491,
778.843,1763.4981,
775.932,1772.9986,
773.022,1754.6789,
770.111,1779.2063,
767.200,1788.4881,
764.290,1775.2723,
761.379,1768.6014,
758.469,1771.6897,
755.558,1755.5832,
752.648,1745.808,
749.737,1747.1389,
746.826,1743.7466,
743.916,1723.0761,
741.005,1679.6478,
738.095,1633.3708,
735.184,1554.9389,
732.274,1495.8988,
729.363,1500.4807,
726.452,1578.9545,
723.542,1667.9878,
720.631,1688.9303,
717.721,1724.8087,
714.810,1741.0228,
711.899,1734.578,
708.989,1754.7511,
706.078,1714.8099,
703.168,1724.3061,
700.257,1718.3093,
697.347,1703.6129,
694.436,1745.1331,
691.525,1717.8037,
688.615,1710.6172,
685.704,1719.804,
682.794,1729.1304,
679.883,1716.7308,
676.973,1713.5253,
674.062,1757.5407,
671.151,1750.4386,
668.241,1723.1699,
665.330,1767.7405,
662.420,1743.7786,
659.509,1733.7956,
656.598,1722.6528,
653.688,1712.105,
650.777,1712.902,
647.867,1713.6983,
644.956,1684.7749,
642.046,1632.878,
639.135,1603.9494,
636.224,1675.9267,
633.314,1686.2479,
630.403,1735.5806,
627.493,1761.3457,
624.582,1758.4676,
621.672,1792.5233,
618.761,1794.6349,
615.850,1798.1809,
612.940,1801.5581,
610.029,1805.9,
607.119,1824.0615,
604.208,1815.2248,
601.297,1826.329,
598.387,1838.722,
595.476,1832.3606,
592.566,1848.1019,
589.655,1803.579,
586.745,1778.309,
583.834,1779.5338,
580.923,1781.8276,
578.013,1773.9803,
575.102,1752.373,
572.192,1750.0227,
569.281,1769.063,
566.371,1753.4105,
563.460,1803.3742,
560.549,1806.8457,
557.639,1795.1262,
554.728,1814.0374,
551.818,1800.772,
548.907,1824.6892,
545.996,1839.5423,
543.086,1834.8684,
540.175,1830.1965,
537.265,1840.0149,
534.354,1854.4105,
531.444,1878.2506,
528.533,1912.0473,
525.622,1900.4081,
522.712,1886.9534,
519.801,1898.5871,
516.891,1933.5701,
513.980,1956.799,
511.070,1994.0924,
508.159,2020.3366,
505.248,2039.6348,
502.338,2060.8239,
499.427,2093.2408,
496.517,2125.6326,
493.606,2141.856,
490.695,2144.0801,
487.785,2188.728,
484.874,2195.2288,
481.964,2169.9583,
479.053,2134.5073,
476.143,2132.9714,
473.232,2135.7526,
470.321,2130.5495,
467.411,2116.2772,
464.500,2094.418,
461.590,2115.8587,
458.679,2123.5259,
455.769,2131.4913,
452.858,2149.295,
449.947,2182.144,
447.037,2230.1347,
444.126,2240.978,
441.216,2222.4737,
438.305,2271.9993,
435.395,2289.3652,
432.484,2284.4562,
429.573,2261.7099,
426.663,2226.7434,
423.752,2129.026,
