,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
1125.202,1456.7603,
1122.291,1447.1317,
1119.380,1464.4778,
1116.470,1449.4748,
1113.559,1480.8747,
1110.649,1483.4217,
1107.738,1494.6279,
1104.828,1491.8132,
1101.917,1474.0631,
1099.006,1488.8311,
1096.096,1506.3674,
1093.185,1469.4913,
1090.275,1515.9905,
1087.364,1488.516,
1084.453,1501.5605,
1081.543,1525.1868,
1078.632,1515.85,
1075.722,1497.3772,
1072.811,1498.8875,
1069.901,1474.4362,
1066.990,1502.5333,
1064.079,1519.1522,
1061.169,1546.8217,
1058.258,1559.2727,
1055.348,1561.5015,
1052.437,1582.0494,
1049.527,1555.5047,
1046.616,1604.1592,
1043.705,1604.2296,
1040.795,1627.5267,
1037.884,1621.9012,
1034.974,1615.6598,
1032.063,1639.0557,
1029.153,1643.2096,
1026.242,1639.7497,
1023.331,1661.2903,
1020.421,1652.3801,
1017.510,1656.1497,
1014.600,1672.9295,
1011.689,1696.7427,
1008.778,1723.7453,
1005.868,1718.8335,
1002.957,1742.0631,
1000.047,1803.137,
997.136,1865.1505,
994.226,1905.2248,
991.315,1923.5829,
988.404,1930.6794,
985.494,1919.9153,
982.583,1888.2228,
979.673,1884.3566,
976.762,1888.7347,
973.852,1886.7629,
970.941,1877.3648,
968.030,1871.7291,
965.120,1883.7825,
962.209,1921.2944,
959.299,1940.3735,
956.388,1914.267,
953.477,1909.3543,
950.567,1940.2392,
947.656,1942.8343,
944.746,1906.3034,
941.835,1902.1956,
938.925,1889.122,
936.014,1888.1891,
933.103,1895.7436,
930.193,1887.0403,
927.282,1836.6708,
924.372,1837.5164,
921.461,1813.3238,
918.551,1787.7779,
915.640,1765.0014,
912.729,1747.1364,
909.819,1738.181,
906.908,1742.3931,
903.998,1741.8296,
901.087,1760.7202,
898.176,1770.1934,
895.266,1783.8602,
892.355,1817.0962,
889.445,1819.614,
886.534,1879.7358,
883.624,1890.9522,
880.713,1908.4875,
877.802,1908.6028,
874.892,1855.8503,
871.981,1761.6719,
869.071,1678.9661,
866.160,1688.0836,
863.250,1762.5777,
860.339,1835.3019,
857.428,1860.2858,
854.518,1854.0954,
851.607,1835.7899,
848.697,1727.389,
845.786,1712.3199,
842.875,1735.634,
