,PLA9BE~1,
Wavenumbers [1/cm],Intensity,
944.746,978.50743,
941.835,951.27616,
938.925,957.50295,
936.014,962.98835,
933.103,959.17525,
930.193,950.40438,
927.282,934.85428,
924.372,913.71412,
921.461,932.35561,
918.551,915.6008,
915.640,889.07618,
912.729,875.92657,
909.819,874.77928,
906.908,888.25808,
903.998,886.61391,
901.087,883.45398,
898.176,895.83866,
895.266,911.6348,
892.355,913.47118,
889.445,915.98898,
886.534,926.85333,
883.624,941.11098,
880.713,928.62719,
877.802,904.74695,
874.892,885.09459,
871.981,846.33059,
869.071,690.94379,
866.160,719.19677,
863.250,805.33173,
860.339,887.13212,
857.428,928.83466,
854.518,906.10934,
851.607,875.32278,
848.697,812.22336,
845.786,766.27929,
842.875,759.88465,
839.965,800.14128,
837.054,883.49308,
834.144,927.41696,
831.233,933.33353,
828.323,925.07599,
825.412,920.5757,
822.501,920.04241,
819.591,886.98644,
816.680,900.4231,
813.770,865.15684,
810.859,847.86613,
807.949,852.24389,
805.038,844.60177,
802.127,841.30926,
799.217,846.96313,
796.306,843.32428,
793.396,842.50385,
790.485,845.8942,
787.574,838.77844,
784.664,859.28125,
781.753,865.01295,
778.843,884.13304,
775.932,894.97544,
773.022,877.38039,
770.111,879.83313,
767.200,876.19344,
764.290,865.17608,
761.379,860.75707,
758.469,855.583,
755.558,820.46195,
752.648,835.93941,
749.737,832.47211,
746.826,824.80401,
743.916,810.22713,
741.005,779.03918,
738.095,726.26718,
735.184,665.65546,
732.274,628.74898,
729.363,649.96797,
726.452,729.52478,
723.542,787.8011,
720.631,793.29362,
717.721,834.67204,
714.810,853.19894,
711.899,839.07922,
708.989,860.8662,
706.078,852.18567,
703.168,854.25055,
700.257,851.63656,
697.347,839.2179,
694.436,822.78559,
691.525,851.72258,
688.615,834.10137,
685.704,829.06557,
682.794,844.5106,
679.883,855.38726,
676.973,841.76396,
674.062,852.39972,
671.151,849.04175,
668.241,836.19124,
665.330,840.71851,
662.420,855.89441,
659.509,858.36507,
656.598,856.70175,
653.688,853.61974,
650.777,848.00091,
647.867,818.53678,
644.956,797.75955,
642.046,756.24675,
639.135,726.76873,
636.224,790.02387,
633.314,794.7875,
630.403,830.29022,
627.493,862.44964,
624.582,879.35486,
621.672,894.40275,
618.761,865.36237,
615.850,866.46877,
612.940,881.14762,
610.029,892.07934,
607.119,886.55193,
604.208,861.85955,
601.297,883.40662,
598.387,912.13368,
595.476,905,
592.566,905,
589.655,879.0844,
586.745,867.60381,
583.834,867.70624,
580.923,855.80097,
578.013,822.84214,
575.102,813.42641,
572.192,821.93211,
569.281,839.6872,
566.371,849.07868,
563.460,863.4039,
560.549,884.59292,
557.639,898.85149,
554.728,892.90146,
551.818,891.34083,
548.907,906.84474,
545.996,913.88968,
543.086,900.10859,
540.175,858.84035,
537.265,882.79833,
534.354,909.55579,
531.444,915.96831,
528.533,893.0902,
525.622,936.54325,
522.712,938.11221,
519.801,935.29128,
516.891,944.47767,
513.980,971.57803,
511.070,983.86086,
508.159,996.5962,
505.248,1011.508,
502.338,1028.0678,
499.427,1030.3833,
496.517,1044.5757,
493.606,1052.3081,
490.695,1046.3581,
487.785,1041.7393,
484.874,1071.3725,
481.964,1085.9236,
479.053,1085.2063,
476.143,1094.4218,
473.232,1058.3104,
470.321,1052.2718,
467.411,1046.5642,
464.500,1004.9503,
461.590,1042.4715,
458.679,1057.4024,
455.769,1059.7397,
452.858,1061.0563,
449.947,1100.0168,
447.037,1094.6513,
