,PLCDF0~1,
Wavenumbers [1/cm],Intensity,
470.321,1434.1653,
467.411,1425.5337,
464.500,1404.9353,
461.590,1417.1871,
458.679,1441.5362,
455.769,1453.584,
452.858,1444.0566,
449.947,1457.8074,
447.037,1460.0182,
444.126,1469.2371,
441.216,1485.3604,
438.305,1483.8366,
435.395,1495.4265,
432.484,1497.4575,
429.573,1480.7974,
426.663,1434.4288,
423.752,1399.2411,
420.842,1205.6907,
417.931,981.2825,
415.020,944.88131,
412.110,1098.727,
409.199,1264.6713,
406.289,1384.5285,
403.378,1402.4867,
400.468,1361.663,
397.557,1363.0212,
394.646,1403.5596,
391.736,1477.6149,
388.825,1508.5384,
385.915,1504.3202,
383.004,1488.6274,
380.094,1480.89,
377.183,1525.2861,
374.272,1587.018,
371.362,1628.625,
368.451,1626.8469,
365.541,1597.576,
362.630,1622.9457,
359.719,1644.7056,
356.809,1630.4438,
353.898,1627.4486,
350.988,1649.4094,
348.077,1660.784,
345.167,1643.0251,
342.256,1670.6667,
339.345,1663.7449,
336.435,1655.0665,
333.524,1665.709,
330.614,1636.6479,
327.703,1638.9199,
324.793,1647.8205,
321.882,1642.6376,
318.971,1647.8417,
316.061,1659.3913,
313.150,1674.9369,
310.240,1692.0056,
307.329,1674.7591,
304.418,1679.0238,
301.508,1686.7173,
298.597,1664.5048,
295.687,1684.2967,
292.776,1670.0415,
289.866,1647.4575,
286.955,1703.6006,
284.044,1735.0275,
281.134,1790.4675,
278.223,1862.8106,
275.313,1870.916,
272.402,1888.8903,
269.492,1891.1194,
266.581,1866.9465,
263.670,1815.4838,
260.760,1834.0575,
257.849,1885.1552,
254.939,1943.8658,
252.028,1948.9681,
249.117,1950.625,
246.207,1956.4967,
243.296,1979.1899,
240.386,1971.1771,
237.475,1949.8733,
234.565,1928.076,
231.654,1949.9875,
228.743,1919.5275,
225.833,1882.9536,
222.922,1861.0371,
220.012,1912.7646,
217.101,1899.6913,
214.191,1866.8765,
211.280,1861.0568,
208.369,1877.4453,
205.459,1869.655,
202.548,1857.2824,
199.638,1924.7678,
196.727,1858.531,
193.816,1844.4774,
190.906,1946.7204,
187.995,1892.4185,
185.085,1909.562,
182.174,1949.0373,
179.264,1946.8691,
176.353,1946.625,
173.442,1936.1108,
170.532,1916.4489,
167.621,1906.3552,
164.711,1870.5142,
161.800,1805.2349,
158.890,1701.5941,
155.979,1551.4661,
153.068,1432.9633,
150.158,1329.9969,
147.247,1173.4833,
144.337,960.18042,
141.426,743.58893,
138.516,547.87762,
135.605,398.37298,
132.694,279.1385,
129.784,187.22109,
126.873,123.57454,
123.963,79.895213,
121.052,51.242505,
118.141,37.678367,
115.231,33.361578,
112.320,29.50682,
109.410,25.125092,
106.499,17.291385,
103.589,12.823728,
100.678,11.439865,
97.767,13.572678,
94.857,10.160055,
91.946,6.6094456,
89.036,3.8507958,
86.125,5.2692064,
83.215,6.1559204,
80.304,4.4701058,
77.393,-1.9034236,
74.483,7.4520244,
71.572,9.363831,
68.662,3.625,
65.751,3.625,
62.840,7.9603179,
59.930,10.190279,
57.019,1.0242136,
54.109,4.4022868,
51.198,8.2282186,
48.288,9.5117512,
45.377,-4.5558102,
42.466,-2.1306132,
39.556,8.81917,
36.645,3.9038384,
33.735,4.7019939,
30.824,5.5205651,
27.914,2.0146889,
25.003,5.3608249,
22.092,10.531141,
19.182,16.991126,
16.271,28.182968,
13.361,127.45304,
10.450,290.07623,
7.539,478.62138,
4.629,468.76395,
1.718,272.29192,
-1.192,-188.52062,
-4.103,-246.15966,
-7.013,-170.5855,
-9.924,0.625,
