,PL6A3E~1,
Wavenumbers [1/cm],Intensity,
1486.113,754.04272,
1483.203,712.88112,
1480.292,678.77561,
1477.382,684.13223,
1474.471,722.69181,
1471.560,703.87269,
1468.650,672.81006,
1465.739,684.12068,
1462.829,691.44728,
1459.918,675.91771,
1457.008,681.36366,
1454.097,704.01953,
1451.186,703.89193,
1448.276,687.56634,
1445.365,693.80588,
1442.455,728.18467,
1439.544,726.10721,
1436.633,661.07187,
1433.723,678.48227,
1430.812,719.625,
1427.902,720.36914,
1424.991,751.6453,
1422.081,706.75115,
1419.170,710.40154,
1416.259,701.90424,
1413.349,722.28223,
1410.438,720.52786,
1407.528,716.625,
1404.617,664.37059,
1401.707,668.96036,
1398.796,736.30674,
1395.885,733.41996,
1392.975,713.20969,
1390.064,747.60872,
1387.154,696.97143,
1384.243,726.93522,
1381.332,722.85034,
1378.422,714.78941,
1375.511,679.19173,
1372.601,740.37021,
1369.690,742.19611,
1366.780,799.44357,
1363.869,781.20706,
1360.958,783.80997,
1358.048,831.9702,
1355.137,849.11132,
1352.227,835.96485,
1349.316,852.62176,
1346.406,888.49881,
1343.495,883.91242,
1340.584,864.48124,
1337.674,923.3034,
1334.763,920.48386,
1331.853,916.77493,
1328.942,948.64571,
1326.032,924.07828,
1323.121,965.04672,
1320.210,936.34239,
1317.300,936.05382,
1314.389,965.50027,
1311.479,964.20763,
1308.568,962.14779,
1305.657,1000.6156,
1302.747,1013.1111,
1299.836,977.64472,
1296.926,1023.5306,
1294.015,1086.0446,
1291.105,1092.1472,
1288.194,1130.9647,
1285.283,1143.489,
1282.373,1185.1249,
1279.462,1210.821,
1276.552,1230.7432,
1273.641,1245.9309,
1270.731,1240.7414,
1267.820,1237.122,
1264.909,1184.1743,
1261.999,1176.5543,
1259.088,1256.821,
1256.178,1201.6731,
1253.267,1195.461,
1250.356,1183.7572,
1247.446,1127.1665,
1244.535,1081.2188,
1241.625,1061.7435,
1238.714,1043.6432,
1235.804,1030.659,
1232.893,1019.3816,
1229.982,989.53301,
1227.072,986.81707,
1224.161,979.06047,
1221.251,948.58914,
1218.340,943.8075,
1215.430,921.85091,
1212.519,900.26672,
1209.608,895.78999,
1206.698,894.96553,
1203.787,904.35364,
1200.877,886.73644,
1197.966,888.53476,
1195.055,921.04845,
1192.145,946.15993,
1189.234,994.7965,
1186.324,1023.0801,
1183.413,1024.5336,
1180.503,1028.3819,
1177.592,1032.4732,
1174.681,996.13185,
1171.771,999.37774,
1168.860,988.66066,
1165.950,969.88663,
1163.039,952.35535,
1160.129,961.37138,
1157.218,964.8947,
1154.307,961.70628,
1151.397,952.72359,
1148.486,905.22729,
1145.576,893.47528,
1142.665,936.0951,
1139.754,926.60694,
1136.844,920.12349,
1133.933,910.41391,
1131.023,910.76225,
1128.112,900.84172,
1125.202,875.4559,
1122.291,890.49966,
1119.380,889.55571,
1116.470,882.49548,
1113.559,881.625,
1110.649,890.13799,
1107.738,903.19809,
1104.828,915.61819,
1101.917,911.38192,
1099.006,886.02703,
1096.096,892.57125,
1093.185,891.69324,
1090.275,918.33092,
1087.364,909.5303,
1084.453,909.93704,
1081.543,910.80457,
1078.632,903.68482,
1075.722,902.37724,
1072.811,903.70138,
1069.901,876.63029,
1066.990,898.06661,
1064.079,902.94449,
1061.169,921.95554,
1058.258,933.39014,
1055.348,933.50417,
1052.437,946.64107,
1049.527,941.5243,
1046.616,938.91781,
1043.705,959.43566,
1040.795,955.40893,
1037.884,949.11926,
1034.974,954.58376,
1032.063,968.6787,
1029.153,981.625,
1026.242,981.625,
1023.331,1006.6234,
1020.421,990.01485,
1017.510,986.22776,
1014.600,986.81863,
1011.689,982.76528,
1008.778,985.625,
1005.868,985.6945,
1002.957,993.43769,
1000.047,1031.025,
997.136,1088.0871,
994.226,1114.6097,
991.315,1126.0656,
988.404,1152.9244,
985.494,1097.8935,
982.583,1109.8853,
979.673,1108.6984,
976.762,1105.2766,
973.852,1108.9291,
970.941,1115.0322,
968.030,1112.2724,
965.120,1104.5892,
962.209,1096.0638,
959.299,1122.2467,
956.388,1116.2661,
953.477,1102.625,
950.567,1119.3561,
947.656,1164.5082,
944.746,1148.3666,
941.835,1140.3367,
938.925,1144.5475,
936.014,1159.7648,
933.103,1161.7384,
930.193,1137.033,
927.282,1110.1209,
924.372,1100.8192,
921.461,1079.7422,
918.551,1056.9398,
915.640,1039.6758,
912.729,1032.4301,
909.819,1034.1802,
906.908,1030.8105,
903.998,1045.7369,
901.087,1062.9916,
898.176,1062.9899,
895.266,1075.2559,
892.355,1116.6409,
889.445,1100.6948,
886.534,1126.506,
883.624,1129.6065,
880.713,1120.9697,
877.802,1105.9824,
874.892,1082.6165,
871.981,1040.3168,
869.071,942.57352,
866.160,912.51577,
863.250,981.586,
860.339,1071.8194,
857.428,1107.4162,
854.518,1088.5177,
851.607,1050.2425,
848.697,974.84329,
845.786,953.48536,
842.875,966.47003,
839.965,984.22238,
837.054,1032.9599,
834.144,1062.795,
831.233,1094.6231,
828.323,1105.1521,
825.412,1095.2199,
822.501,1075.1568,
819.591,1050.3648,
816.680,1054.4327,
813.770,1033.6974,
810.859,1008.8927,
807.949,1000.1372,
805.038,1017.5122,
802.127,1041.3829,
799.217,1012.3186,
796.306,1019.2197,
793.396,1018.2203,
790.485,998.15197,
787.574,1007.0645,
784.664,992.3025,
781.753,1017.1353,
778.843,1032.0952,
775.932,1032.3905,
773.022,1031.4002,
770.111,1042.8463,
767.200,1041.3411,
764.290,1047.5595,
761.379,1050.2618,
758.469,1042.8582,
755.558,1028.8195,
752.648,1035.3363,
749.737,1030.0971,
746.826,1012.6384,
743.916,997.46267,
741.005,995.8651,
738.095,962.57815,
735.184,905.71058,
732.274,846.76039,
729.363,839.52344,
726.452,906.9504,
723.542,986.27095,
720.631,989.86046,
717.721,1006.2375,
714.810,1031.1874,
711.899,1045.9814,
708.989,1021.7737,
706.078,1016.0159,
703.168,1014.625,
700.257,1003.4856,
697.347,990.01605,
694.436,999.14873,
691.525,1018.4401,
688.615,998.09746,
685.704,994.84903,
682.794,1011.0292,
679.883,1016.454,
676.973,1034.8855,
674.062,1045.0058,
671.151,1031.0918,
668.241,1008.8632,
665.330,1010.7973,
662.420,1035.558,
659.509,1027.9264,
656.598,1021.4905,
653.688,1019.8645,
650.777,1010.328,
647.867,1001.5684,
644.956,1004.5782,
642.046,974.87175,
639.135,938.68624,
636.224,976.63296,
633.314,978.22083,
630.403,1021.7834,
627.493,1053.9294,
624.582,1052.1513,
621.672,1027.5995,
618.761,1044.1036,
615.850,1065.0527,
612.940,1084.1142,
610.029,1091.4956,
607.119,1060.7,
604.208,1036.3246,
601.297,1035.1028,
598.387,1044.3448,
595.476,1050.9277,
592.566,1075.3268,
589.655,1069.9066,
586.745,1066.7948,
583.834,1062.5983,
580.923,1037.6203,
578.013,1036.8355,
575.102,1026.3004,
572.192,1020.4114,
569.281,1025.734,
566.371,1037.4734,
563.460,1044.9742,
560.549,1080.7599,
557.639,1097.3627,
554.728,1047.2308,
551.818,1040.9883,
548.907,1085.331,
545.996,1095.5743,
543.086,1069.148,
540.175,1085.4996,
537.265,1096.0406,
534.354,1096.6149,
531.444,1081.9214,
528.533,1054.66,
525.622,1097.3371,
522.712,1107.8385,
519.801,1116.6445,
516.891,1131.5031,
513.980,1140.7946,
511.070,1147.9641,
508.159,1160.6539,
505.248,1187.3978,
502.338,1234.2861,
499.427,1222.7086,
496.517,1236.029,
493.606,1254.0089,
490.695,1262.9132,
487.785,1250.5966,
484.874,1261.5495,
481.964,1266.9639,
479.053,1265.3604,
476.143,1268.4323,
473.232,1247.0429,
470.321,1242.5176,
467.411,1232.9489,
464.500,1193.1874,
461.590,1215.3939,
458.679,1219.9741,
455.769,1215.4744,
452.858,1213.4766,
449.947,1260.0764,
447.037,1286.0075,
444.126,1278.5099,
441.216,1251.5937,
438.305,1274.4516,
435.395,1311.7181,
432.484,1305.0366,
429.573,1273.6425,
426.663,1286.5649,
423.752,1241.5953,
420.842,1037.1239,
417.931,806.42062,
415.020,766.986,
412.110,941.94377,
409.199,1086.8205,
406.289,1193.7471,
403.378,1264.2715,
400.468,1159.9443,
397.557,1165.1862,
394.646,1219.4018,
391.736,1268.1562,
388.825,1284.7493,
385.915,1305.0586,
383.004,1313.4852,
380.094,1301.5463,
377.183,1319.6058,
374.272,1337.6517,
371.362,1369.5222,
368.451,1416.7072,
365.541,1368.6729,
362.630,1378.0209,
359.719,1400.4726,
356.809,1409.8969,
353.898,1414.3896,
350.988,1437.3245,
348.077,1446.9127,
345.167,1425.5872,
342.256,1424.8401,
339.345,1414.5278,
336.435,1410.3441,
333.524,1422.3197,
330.614,1412.6326,
327.703,1412.192,
324.793,1413.0783,
321.882,1408.7007,
318.971,1439.9253,
316.061,1432.5574,
313.150,1423.5559,
310.240,1455.4669,
307.329,1448.0494,
304.418,1461.0393,
301.508,1471.9604,
298.597,1439.382,
295.687,1447.4608,
292.776,1454.7083,
289.866,1460.7388,
286.955,1475.5133,
284.044,1506.72,
281.134,1544.3611,
278.223,1588.1397,
275.313,1646.3513,
272.402,1656.3014,
269.492,1634.9801,
266.581,1590.523,
263.670,1561.1158,
260.760,1599.6395,
257.849,1651.607,
254.939,1677.2928,
252.028,1690.6542,
249.117,1717.5527,
246.207,1748.5497,
243.296,1767.5826,
240.386,1765.707,
237.475,1739.037,
234.565,1701.0054,
231.654,1709.77,
228.743,1705.296,
225.833,1687.8194,
222.922,1660.1538,
220.012,1692.9388,
217.101,1692.8293,
214.191,1684.9034,
211.280,1695.8153,
208.369,1664.33,
205.459,1618.6812,
202.548,1590.4217,
199.638,1687.6587,
196.727,1667.8661,
193.816,1656.6864,
190.906,1697.4314,
187.995,1663.4023,
185.085,1691.8177,
182.174,1728.0061,
179.264,1696.2044,
176.353,1712.4891,
173.442,1711.6606,
170.532,1692.9772,
167.621,1713.1645,
164.711,1691.2955,
161.800,1628.5315,
158.890,1516.9737,
155.979,1368.5202,
153.068,1260.2463,
150.158,1174.9056,
147.247,1041.3665,
144.337,859.94711,
141.426,675.30837,
138.516,507.55582,
135.605,371.11594,
132.694,251.62891,
129.784,154.86912,
126.873,104.81003,
123.963,73.000335,
121.052,48.126323,
118.141,26.709263,
115.231,22.361578,
112.320,24.437723,
109.410,27.716026,
106.499,17.745853,
103.589,10.022455,
100.678,7.5263519,
97.767,12.502915,
94.857,9.1600548,
91.946,7.625,
89.036,6.7218167,
86.125,1.0481746,
83.215,1.7486814,
80.304,2.9067019,
77.393,0.78219213,
74.483,5.8660797,
