,PLC260~1,
Wavenumbers [1/cm],Intensity,
1229.982,2185.5588,
1227.072,2143.0091,
1224.161,2124.8709,
1221.251,2137.6347,
1218.340,2109.3138,
1215.430,2061.8216,
1212.519,2045.2442,
1209.608,2051.5194,
1206.698,2048.7873,
1203.787,2051.9749,
1200.877,2043.7303,
1197.966,2087.7891,
1195.055,2124.1299,
1192.145,2156.297,
1189.234,2279.8362,
1186.324,2302.178,
1183.413,2269,
1180.503,2281.8157,
1177.592,2291.8987,
1174.681,2237.5651,
1171.771,2206.6497,
1168.860,2191.4672,
1165.950,2178.7119,
1163.039,2170.4128,
1160.129,2188.0551,
1157.218,2188.5394,
1154.307,2182.9046,
1151.397,2193.8291,
1148.486,2176.6052,
1145.576,2145.4603,
1142.665,2133.0296,
1139.754,2123.8637,
1136.844,2117.0979,
1133.933,2091.5398,
1131.023,2067.4465,
1128.112,2077.9258,
1125.202,2108.6184,
1122.291,2097.624,
1119.380,2095.0346,
1116.470,2098.5648,
1113.559,2142.3019,
1110.649,2148.4515,
1107.738,2141.2493,
1104.828,2149.2347,
1101.917,2179.7935,
1099.006,2213.2475,
1096.096,2205.5375,
1093.185,2214.3176,
1090.275,2173.7272,
1087.364,2151.6498,
1084.453,2146,
1081.543,2160.0231,
1078.632,2180.5072,
1075.722,2187.3164,
1072.811,2192.9379,
1069.901,2192.0647,
1066.990,2205.7416,
1064.079,2213.0831,
1061.169,2238.749,
1058.258,2271.5515,
1055.348,2286.4725,
1052.437,2284.0676,
1049.527,2314.8322,
1046.616,2310.488,
1043.705,2333.123,
1040.795,2325.9529,
1037.884,2334.6893,
1034.974,2355.8415,
1032.063,2364.7154,
1029.153,2367.5193,
1026.242,2371.8441,
1023.331,2352.0013,
1020.421,2361.2449,
1017.510,2379.3261,
1014.600,2395.344,
1011.689,2405.1403,
1008.778,2412.2517,
1005.868,2437.0154,
1002.957,2438.7362,
1000.047,2539.464,
997.136,2630.4466,
994.226,2678.7075,
991.315,2672.8193,
988.404,2625.4331,
985.494,2606.789,
982.583,2597.3669,
979.673,2570.3924,
976.762,2580.3744,
973.852,2598.8621,
970.941,2607.371,
968.030,2613,
965.120,2612.8711,
962.209,2582.1796,
959.299,2600.3722,
956.388,2598.8007,
953.477,2589.589,
950.567,2607.0382,
947.656,2653.3208,
944.746,2617.6394,
941.835,2637.0551,
938.925,2626.8648,
936.014,2623.5524,
933.103,2624.4691,
930.193,2612.2071,
927.282,2592.208,
924.372,2651.4005,
921.461,2579.4688,
918.551,2565.5233,
915.640,2544.9791,
912.729,2507.2937,
909.819,2517.3319,
906.908,2504.6956,
903.998,2507.9768,
901.087,2512.819,
898.176,2515.4772,
895.266,2534.0917,
892.355,2583.523,
889.445,2639.7539,
886.534,2601.5959,
883.624,2645.8081,
880.713,2691.4142,
877.802,2626.5838,
874.892,2428.2891,
871.981,2248.9422,
869.071,2119.4532,
866.160,2286.0489,
863.250,2457.4935,
860.339,2559.2683,
857.428,2601.3826,
854.518,2600.9298,
851.607,2529.3719,
848.697,2394.5686,
845.786,2358.2017,
842.875,2424.2377,
839.965,2524.2382,
837.054,2571.9676,
834.144,2658.1578,
831.233,2670.3337,
828.323,2670.9674,
825.412,2649.2089,
822.501,2598.3405,
819.591,2605.7781,
816.680,2564.3333,
813.770,2577.1806,
810.859,2572.0479,
807.949,2547.6219,
805.038,2548.0819,
802.127,2581.8301,
799.217,2526.1141,
796.306,2506.5676,
793.396,2507.3893,
790.485,2510.1058,
787.574,2517.9689,
784.664,2517.1488,
781.753,2515.658,
778.843,2536.0735,
775.932,2562.9382,
773.022,2572.3516,
770.111,2561.7231,
767.200,2586.8846,
764.290,2573.6185,
761.379,2547.3656,
758.469,2542.0911,
755.558,2584.5592,
752.648,2603.2951,
749.737,2548.249,
746.826,2533.3177,
743.916,2555.9091,
741.005,2563.3406,
738.095,2539.7961,
735.184,2534.8548,
732.274,2514.0159,
729.363,2523.2347,
726.452,2582.5547,
723.542,2613.3117,
720.631,2588.2411,
717.721,2597.1854,
714.810,2618.7556,
711.899,2619.0792,
708.989,2559.3667,
706.078,2599.8664,
703.168,2600.8917,
700.257,2587.5737,
697.347,2569.6095,
694.436,2542.4763,
691.525,2523.1849,
688.615,2538.4962,
685.704,2553.8852,
682.794,2560.1702,
679.883,2563.6035,
676.973,2554.7884,
674.062,2574.6948,
671.151,2593.575,
668.241,2593.1848,
665.330,2565.0756,
662.420,2566.6731,
659.509,2572.7144,
656.598,2585.5205,
653.688,2590.1786,
650.777,2562.8659,
647.867,2529.4201,
644.956,2504.6638,
642.046,2487.3664,
639.135,2498.1225,
636.224,2574.2188,
633.314,2617.8854,
630.403,2621.9055,
627.493,2623.9133,
624.582,2639.4143,
621.672,2659.2141,
618.761,2676.7187,
615.850,2668.2253,
612.940,2668.9537,
610.029,2698.7076,
607.119,2738.9788,
604.208,2712.4694,
601.297,2728.4155,
598.387,2747.8278,
595.476,2729.8281,
592.566,2780.9876,
589.655,2727.8026,
586.745,2697.0378,
583.834,2701.4392,
580.923,2703.0095,
578.013,2704.5789,
575.102,2692.3811,
572.192,2694.4331,
569.281,2710.782,
566.371,2687.3033,
563.460,2723.8008,
560.549,2717.0979,
557.639,2706.6967,
554.728,2743.6058,
551.818,2737.3633,
548.907,2739.6565,
545.996,2758.3292,
543.086,2770.579,
540.175,2708.2873,
537.265,2730.0741,
534.354,2759.0642,
531.444,2792.2116,
528.533,2826.6823,
525.622,2794.0926,
522.712,2787,
519.801,2799.9839,
516.891,2818.8089,
513.980,2807.9688,
511.070,2824.6087,
508.159,2822.4487,
505.248,2824.2678,
502.338,2862.7396,
499.427,2922.1706,
496.517,2917.0707,
493.606,2923.545,
490.695,2971.6375,
487.785,2997.8104,
484.874,2968.3964,
481.964,2970.7639,
479.053,2997.2421,
476.143,2985.7227,
473.232,2946.1522,
470.321,2940.245,
467.411,2946.4544,
464.500,2936.3297,
461.590,2949.3473,
458.679,2953.5503,
455.769,2962.1917,
452.858,2980.3977,
449.947,2984.2173,
447.037,3035.9679,
444.126,3049.7758,
441.216,3028.1122,
438.305,3092.1145,
435.395,3043.304,
432.484,3045.5067,
429.573,3073.2498,
426.663,2997.2357,
423.752,2683.4382,
420.842,2305.673,
417.931,2048.8286,
415.020,2167.8908,
412.110,2608.0414,
409.199,2875.0903,
406.289,2986.754,
403.378,2985.7182,
400.468,2902.5589,
397.557,2941.297,
394.646,3030.7426,
391.736,3107.0624,
388.825,3140.2486,
385.915,3164.9014,
383.004,3183.4253,
380.094,3197.5374,
377.183,3208.0721,
374.272,3207.2005,
371.362,3194.2872,
368.451,3174.7385,
365.541,3236.2824,
362.630,3272.6647,
359.719,3281.3048,
356.809,3264.9483,
353.898,3297.1466,
350.988,3309.7974,
348.077,3311.8384,
345.167,3307.5999,
342.256,3279.9583,
339.345,3285.2858,
336.435,3308.6589,
333.524,3338.0135,
330.614,3306.717,
327.703,3298.0268,
324.793,3305.9604,
321.882,3325.9531,
318.971,3306.6236,
316.061,3304.8831,
313.150,3325.2428,
310.240,3374.2225,
307.329,3345.2706,
304.418,3353.0619,
301.508,3374.6369,
298.597,3365.7519,
295.687,3368.3862,
292.776,3388.3334,
289.866,3433.9284,
286.955,3528.4852,
284.044,3596.3949,
281.134,3616.8914,
278.223,3603.8202,
275.313,3643.6104,
272.402,3631.6684,
269.492,3598.9394,
266.581,3559.1592,
263.670,3547.3963,
260.760,3583.1787,
257.849,3645.9459,
254.939,3723.0035,
252.028,3692.1508,
249.117,3653.9608,
246.207,3635.6905,
243.296,3684.737,
240.386,3712.8547,
237.475,3696.186,
234.565,3649.885,
231.654,3649.1546,
228.743,3630.0129,
225.833,3572.3998,
222.922,3476.907,
220.012,3560.6908,
217.101,3591.9257,
214.191,3576.111,
211.280,3509.9119,
208.369,3552.0969,
205.459,3547.851,
202.548,3504.6184,
199.638,3490.831,
196.727,3524.8778,
193.816,3532.1325,
190.906,3485.9746,
187.995,3485.2506,
185.085,3493.5114,
182.174,3513.7736,
179.264,3553.5257,
176.353,3505.4561,
173.442,3434.6684,
170.532,3366.6204,
167.621,3406.274,
164.711,3276.6734,
161.800,3083.152,
158.890,2887.3861,
155.979,2743.7965,
153.068,2535.4908,
150.158,2265.7437,
147.247,1952.7165,
144.337,1617.5637,
141.426,1284.4136,
138.516,964.6801,
135.605,681.36275,
132.694,455.38423,
129.784,288.55437,
126.873,204.16905,
123.963,142.04346,
121.052,98.368166,
118.141,74.095499,
115.231,59.788593,
112.320,46.798189,
109.410,37,
106.499,37,
103.589,32.517964,
100.678,26.012161,
97.767,18.191848,
94.857,24.92989,
91.946,27.193778,
89.036,25.548408,
86.125,22.711587,
83.215,19.876319,
80.304,19.197163,
77.393,22.738013,
74.483,15.793515,
71.572,14.898817,
68.662,19.861465,
65.751,18.448563,
62.840,18.481702,
59.930,16.752566,
57.019,8.2915818,
54.109,11.777287,
51.198,10.77747,
48.288,1.0113249,
45.377,2.418081,
42.466,7.1221934,
39.556,12.309289,
36.645,8.0961472,
33.735,8.0384969,
30.824,7.8955651,
27.914,4.3896889,
25.003,5.245275,
22.092,3.7396681,
19.182,-1.5949544,
16.271,-19.781698,
13.361,-106.2341,
10.450,-285.07063,
7.539,-692.18849,
4.629,-1033.4442,
1.718,-1200.1181,
-1.192,-1024.4377,
-4.103,-639.22132,
-7.013,-282.17496,
-9.924,-1,
