,PLE573~1,
Wavenumbers [1/cm],Intensity,
220.012,3287.7628,
217.101,3290.375,
214.191,3288.8451,
211.280,3283.7528,
208.369,3297.5041,
205.459,3337.912,
202.548,3385.492,
199.638,3368.8021,
196.727,3340.0215,
193.816,3327.6965,
190.906,3345.1938,
187.995,3425.5606,
185.085,3437.7708,
182.174,3427.2309,
179.264,3452.5277,
176.353,3431.6662,
173.442,3420.9129,
170.532,3414.3701,
167.621,3319.9223,
164.711,3179.2757,
161.800,3024.5017,
158.890,2875.5181,
155.979,2651.3213,
153.068,2418.1848,
150.158,2172.8825,
147.247,1887.8554,
144.337,1579.5713,
141.426,1259.2154,
138.516,930.16237,
135.605,653.10923,
132.694,436.54028,
129.784,278.23252,
126.873,190.27155,
123.963,131.40195,
121.052,90.459877,
118.141,65.473307,
115.231,50.453023,
112.320,39.715005,
109.410,32.147803,
106.499,25.738406,
103.589,21.013473,
100.678,19.733109,
97.767,23.287796,
94.857,17.831088,
91.946,16.181222,
89.036,16.81051,
86.125,13.264484,
83.215,13.436841,
80.304,12.698971,
77.393,7.7417816,
74.483,8.030135,
71.572,11.636169,
68.662,16.751593,
65.751,10.393533,
62.840,11.265212,
59.930,12.87671,
57.019,7.2360545,
54.109,5.7778392,
51.198,6.2798278,
48.288,8.3976498,
45.377,11.211162,
42.466,10.726123,
39.556,6.5331028,
36.645,-4.7019407,
33.735,-1.3940184,
30.824,3.7123391,
27.914,1.6088133,
25.003,2.620275,
22.092,1.7604772,
19.182,-1.121577,
16.271,14.267206,
13.361,51.141432,
10.450,91.572154,
7.539,81.097423,
4.629,-130.22029,
1.718,-408.58602,
-1.192,-679.0781,
-4.103,-565.35365,
-7.013,-327.34253,
-9.924,-1.625,
