,PL9DE3~1,
Wavenumbers [1/cm],Intensity,
327.703,2263.5355,
324.793,2257.5545,
321.882,2262.8311,
318.971,2296.286,
316.061,2309.7033,
313.150,2309.6714,
310.240,2302.9924,
307.329,2357.0624,
304.418,2375.5583,
301.508,2367.8115,
298.597,2353.0032,
295.687,2351.75,
292.776,2368.4168,
289.866,2396.8878,
286.955,2421.2657,
284.044,2500.0174,
281.134,2564.8564,
278.223,2609.6958,
275.313,2670.8548,
272.402,2697.6917,
269.492,2721.6915,
266.581,2759.7377,
263.670,2871.4851,
260.760,2867.7056,
257.849,2838.856,
254.939,2850.5982,
252.028,2842.7877,
249.117,2862.1345,
246.207,2889.8865,
243.296,2894.2787,
240.386,2859.4884,
237.475,2814.2411,
234.565,2774.8559,
231.654,2794.5763,
228.743,2759.625,
225.833,2714.8954,
222.922,2679.8711,
220.012,2703.9135,
217.101,2718.62,
214.191,2706.7352,
211.280,2643.446,
208.369,2640.7684,
205.459,2615.7987,
202.548,2586.7779,
199.638,2644.8298,
196.727,2689.0181,
193.816,2714.5561,
190.906,2718.0389,
187.995,2697.7663,
185.085,2738.9813,
182.174,2789.42,
179.264,2777.133,
176.353,2765.4975,
173.442,2770.2642,
170.532,2782.4495,
167.621,2728.3763,
164.711,2670.1279,
161.800,2605.4362,
158.890,2531.3043,
155.979,2325.0753,
153.068,2123.1798,
150.158,1919.8762,
147.247,1667.875,
144.337,1382.5602,
141.426,1088.3333,
138.516,795.1248,
135.605,594.94201,
132.694,415.42487,
129.784,262.93509,
126.873,166.39256,
123.963,108.6223,
121.052,72.951059,
118.141,55.817411,
115.231,47.223156,
112.320,40.360913,
109.410,34.386447,
106.499,27.264895,
103.589,19.587201,
100.678,14.75,
97.767,14.75,
94.857,20.293912,
91.946,19.525113,
89.036,13.621021,
86.125,6.5289682,
83.215,6.8736814,
80.304,8.75,
77.393,8.75,
74.483,13.99108,
71.572,13.488831,
68.662,8.02707,
65.751,10.852874,
62.840,11.268298,
59.930,9.6262828,
57.019,5.3957909,
54.109,11.91593,
51.198,15.543563,
48.288,12.687713,
45.377,4.9505544,
42.466,5.4599741,
39.556,10.404644,
36.645,8.2980736,
33.735,7.2307515,
30.824,6.0873391,
27.914,3.9838133,
25.003,5.6179124,
