,PL680D~1,
Wavenumbers [1/cm],Intensity,
1448.276,719.34046,
1445.365,719.51955,
1442.455,730.03549,
1439.544,694.00393,
1436.633,664.06963,
1433.723,682.7534,
1430.812,674.06229,
1427.902,665.20543,
1424.991,721.12342,
1422.081,654.98169,
1419.170,659.24372,
1416.259,638.19323,
1413.349,635.89596,
1410.438,637.57478,
1407.528,617.27527,
1404.617,587.0869,
1401.707,636.40798,
1398.796,677.7142,
1395.885,641.61892,
1392.975,633.7717,
1390.064,679.52704,
1387.154,692.96812,
1384.243,676.01277,
1381.332,668.22304,
1378.422,638.97161,
1375.511,640.84517,
1372.601,688.79666,
1369.690,708.305,
1366.780,756.021,
1363.869,753.34546,
1360.958,778.90517,
1358.048,842.33994,
1355.137,848.5908,
1352.227,839.51561,
1349.316,885.64834,
1346.406,928.63982,
1343.495,932.34541,
1340.584,955.91085,
1337.674,952.66385,
1334.763,1002.4276,
1331.853,1043.2257,
1328.942,1054.6591,
1326.032,1052.6125,
1323.121,1062.2485,
1320.210,1079.8593,
1317.300,1086.2848,
1314.389,1096.6669,
1311.479,1122.603,
1308.568,1156.1651,
1305.657,1191.9562,
1302.747,1209.3283,
1299.836,1171.4771,
1296.926,1284.1569,
1294.015,1311.7366,
1291.105,1347.2161,
1288.194,1405.3908,
1285.283,1432.4791,
1282.373,1458.7577,
1279.462,1481.3062,
1276.552,1519.6074,
1273.641,1558.4303,
1270.731,1562.9347,
1267.820,1554.8363,
1264.909,1545.7976,
1261.999,1509.8403,
1259.088,1536.2919,
1256.178,1552.4348,
1253.267,1511.9121,
1250.356,1471.7848,
1247.446,1436.5794,
1244.535,1388.1697,
1241.625,1335.0936,
1238.714,1294.3546,
1235.804,1261.011,
1232.893,1231.5021,
1229.982,1221.4764,
1227.072,1209.7073,
1224.161,1178.6169,
1221.251,1154.2623,
1218.340,1155.6487,
1215.430,1137.3031,
1212.519,1114.3474,
1209.608,1114.545,
1206.698,1124.109,
1203.787,1120.6288,
1200.877,1113.7078,
1197.966,1111.0104,
1195.055,1168.0427,
1192.145,1200.4153,
1189.234,1252.6417,
1186.324,1272.5109,
1183.413,1278.5907,
1180.503,1298.9691,
1177.592,1299.309,
1174.681,1246.6079,
1171.771,1237.2774,
1168.860,1211.3778,
1165.950,1210.4876,
1163.039,1217.859,
1160.129,1223.8243,
1157.218,1214.8181,
1154.307,1209.1824,
1151.397,1212.8367,
1148.486,1186.8807,
1145.576,1153.3376,
1142.665,1163.9925,
1139.754,1192.5384,
1136.844,1146.3523,
1133.933,1133.8456,
1131.023,1149.8448,
1128.112,1152.7332,
1125.202,1129.0055,
1122.291,1097.8831,
1119.380,1119.1435,
1116.470,1146.5019,
1113.559,1134.41,
1110.649,1144.2816,
1107.738,1139.0154,
1104.828,1142.8546,
1101.917,1165.6502,
1099.006,1164.6174,
1096.096,1140.8963,
1093.185,1157.5784,
1090.275,1154.8286,
1087.364,1147.6999,
1084.453,1158.3741,
1081.543,1166.2457,
1078.632,1154.1,
1075.722,1145.9706,
1072.811,1189.5934,
1069.901,1129.3384,
1066.990,1165.2916,
1064.079,1184.4022,
1061.169,1193.2934,
1058.258,1200.2629,
1055.348,1211.0481,
1052.437,1226.203,
1049.527,1227.3379,
1046.616,1213.4367,
1043.705,1247.3302,
1040.795,1249.5744,
1037.884,1239.8176,
1034.974,1240.8338,
1032.063,1262.5592,
1029.153,1296.7591,
1026.242,1270.8104,
1023.331,1289.8737,
1020.421,1270.1736,
1017.510,1290.1299,
1014.600,1309.6457,
1011.689,1300.4542,
1008.778,1302.7242,
1005.868,1365.6974,
1002.957,1345.9092,
1000.047,1379.275,
997.136,1444.5597,
994.226,1486.6749,
991.315,1492.6572,
988.404,1485.4975,
985.494,1462.6257,
982.583,1451.4904,
979.673,1478.4092,
976.762,1470.0877,
973.852,1475.8814,
970.941,1496.3184,
968.030,1486.6727,
965.120,1479.8678,
962.209,1478.1628,
959.299,1482.8327,
956.388,1463.0364,
953.477,1470.1256,
950.567,1502.7836,
947.656,1503.0026,
944.746,1549.7282,
941.835,1530.01,
938.925,1518.9525,
936.014,1514.8633,
933.103,1511.4033,
930.193,1501.2818,
927.282,1476.5836,
924.372,1434.3032,
921.461,1421.511,
918.551,1389.2474,
915.640,1386.5725,
912.729,1406.7762,
909.819,1393.6534,
906.908,1399.5504,
903.998,1375.2187,
