,PLF92A~1,
Wavenumbers [1/cm],Intensity,
1631.642,1011.6896,
1628.732,1062.7813,
1625.821,1005.1813,
1622.911,1090.6404,
1620.000,1101.9864,
1617.089,1139.3688,
1614.179,1158.5892,
1611.268,1273.7008,
1608.358,1321.018,
1605.447,1292.0105,
1602.536,1326.4686,
1599.626,1337.4044,
1596.715,1329.049,
1593.805,1343.3286,
1590.894,1315.1822,
1587.984,1324.1164,
1585.073,1320.1693,
1582.162,1300.7575,
1579.252,1295.4884,
1576.341,1275.0984,
1573.431,1290.4875,
1570.520,1253.3199,
1567.610,1273.6549,
1564.699,1236.548,
1561.788,1219.5334,
1558.878,1212.6146,
1555.967,1212.4283,
1553.057,1223.0559,
1550.146,1214.605,
1547.235,1198.4508,
1544.325,1191.9939,
1541.414,1162.502,
1538.504,1154.5667,
1535.593,1150.1615,
1532.683,1135.5565,
1529.772,1143.9875,
1526.861,1140.2971,
1523.951,1120.0798,
1521.040,1093.329,
1518.130,1099.7043,
1515.219,1131.6052,
1512.309,1121.9043,
1509.398,1104.8209,
1506.487,1085.5498,
1503.577,1114.8634,
1500.666,1087.7746,
1497.756,1070.8032,
1494.845,1092.0455,
1491.934,1114.0463,
1489.024,1089.9839,
1486.113,1075.2168,
1483.203,1080.3422,
1480.292,1078.5795,
1477.382,1061.1518,
1474.471,1030.2667,
1471.560,1051.1516,
1468.650,1070.3243,
1465.739,1047.2244,
1462.829,1047.0454,
1459.918,1067.6223,
1457.008,1050.7401,
1454.097,1041.3762,
1451.186,1047.065,
1448.276,1042.67,
1445.365,1064.125,
1442.455,1078.6109,
1439.544,1111.0678,
1436.633,1097.2908,
1433.723,1130.5019,
1430.812,1122.8742,
1427.902,1081.6515,
1424.991,1061.7484,
1422.081,1097.8241,
1419.170,1097.6688,
1416.259,1115.7565,
1413.349,1131.4536,
1410.438,1113.4318,
1407.528,1118.2873,
1404.617,1112.0339,
1401.707,1123.8526,
1398.796,1144.5411,
1395.885,1139.5108,
1392.975,1127.6457,
1390.064,1136.3689,
1387.154,1166.9567,
1384.243,1155.8823,
1381.332,1119.133,
1378.422,1106.2648,
1375.511,1167.1556,
1372.601,1138.6347,
1369.690,1186.7011,
1366.780,1253.7356,
1363.869,1253.869,
1360.958,1258.6885,
1358.048,1274.8046,
1355.137,1287.9075,
1352.227,1278.4844,
1349.316,1286.3989,
1346.406,1317.1843,
1343.495,1310.3324,
1340.584,1343.9109,
1337.674,1327.4098,
1334.763,1313.5131,
1331.853,1323.7127,
1328.942,1348.1405,
1326.032,1357.65,
1323.121,1358.384,
1320.210,1351.4658,
1317.300,1318.0232,
1314.389,1330.5284,
1311.479,1374.7948,
1308.568,1389.329,
1305.657,1376.0105,
1302.747,1357.8082,
1299.836,1390.582,
1296.926,1409.3641,
1294.015,1436.0245,
1291.105,1462.6607,
1288.194,1478.1061,
1285.283,1534.8252,
1282.373,1570.6796,
1279.462,1604.3794,
1276.552,1598.6446,
1273.641,1573.0599,
1270.731,1569.9519,
1267.820,1543.3327,
1264.909,1538.0804,
1261.999,1495.5231,
1259.088,1533.8322,
1256.178,1548.1154,
1253.267,1570.8393,
1250.356,1562.9027,
1247.446,1537.9365,
1244.535,1515.2143,
1241.625,1495.4361,
1238.714,1475.2091,
1235.804,1456.0085,
1232.893,1430.0064,
1229.982,1399.7451,
1227.072,1359.0061,
1224.161,1381.3401,
1221.251,1324.3307,
1218.340,1327.094,
1215.430,1312.0477,
1212.519,1287.7667,
1209.608,1286.125,
1206.698,1288.1676,
1203.787,1291.0094,
1200.877,1275.6295,
1197.966,1299.9068,
1195.055,1333.5484,
1192.145,1372.9355,
1189.234,1376.3395,
1186.324,1439.2223,
1183.413,1457.5869,
1180.503,1425.3015,
1177.592,1446.7612,
