,PL7E8B~1,
Wavenumbers [1/cm],Intensity,
790.485,1265.5731,
787.574,1275.037,
784.664,1233.2113,
781.753,1252.4644,
778.843,1290.6192,
775.932,1305.8227,
773.022,1282.7662,
770.111,1290.1244,
767.200,1313.4644,
764.290,1297.5099,
761.379,1282.5943,
758.469,1281.2304,
755.558,1264.2117,
752.648,1250.3634,
749.737,1263.2919,
746.826,1268.8277,
743.916,1260.8782,
741.005,1241.3803,
738.095,1177.242,
735.184,1103.1244,
732.274,1067.6847,
729.363,1090.5582,
726.452,1163.6116,
723.542,1229.9818,
720.631,1206.8661,
717.721,1244.4526,
714.810,1263.0171,
711.899,1246.2785,
708.989,1283.397,
706.078,1270.8042,
703.168,1279.7694,
700.257,1279.3736,
697.347,1259.7997,
694.436,1232.3015,
691.525,1257.2194,
688.615,1248.16,
685.704,1229.696,
682.794,1227.8589,
679.883,1264.0483,
676.973,1251.2264,
674.062,1282.4433,
671.151,1272.6952,
668.241,1243.2489,
665.330,1267.0956,
662.420,1255.9133,
659.509,1251.0853,
656.598,1254.3852,
653.688,1264.0756,
650.777,1275.22,
647.867,1263.275,
644.956,1234.0015,
642.046,1190.6761,
639.135,1162.6862,
636.224,1200.8478,
633.314,1245.3084,
630.403,1278.4998,
627.493,1281.7187,
624.582,1278.3399,
621.672,1348.8273,
618.761,1310.5883,
615.850,1303.1349,
612.940,1319.9202,
610.029,1339.8108,
607.119,1316.9116,
604.208,1303.2648,
601.297,1314.5776,
598.387,1321.1661,
595.476,1299.8534,
592.566,1323.4654,
589.655,1314.6672,
586.745,1302.4174,
583.834,1295.8446,
580.923,1296.4876,
578.013,1273.7303,
575.102,1260.1684,
572.192,1267.8445,
569.281,1288.9536,
566.371,1274.0838,
563.460,1288.8508,
560.549,1312.6798,
557.639,1331.1621,
554.728,1331.1469,
551.818,1307.7374,
548.907,1333.7051,
545.996,1341.5725,
543.086,1327.3224,
540.175,1349.1244,
537.265,1365.1106,
534.354,1364.103,
531.444,1357.0677,
528.533,1356.5079,
525.622,1368.9231,
522.712,1383.1533,
519.801,1386.4243,
516.891,1384.7897,
513.980,1410.3414,
511.070,1421.0772,
508.159,1453.279,
505.248,1480.1185,
502.338,1468.7035,
499.427,1539.712,
496.517,1555.2311,
493.606,1557.3359,
490.695,1569.4066,
487.785,1589.4212,
484.874,1619.1202,
481.964,1595.0041,
479.053,1555.7014,
476.143,1618.6743,
473.232,1567.9503,
470.321,1554.8968,
467.411,1559.8261,
464.500,1548.2371,
461.590,1532.9223,
458.679,1536.8794,
455.769,1542.0497,
452.858,1542.1245,
449.947,1575.7375,
447.037,1596.5805,
444.126,1590.0977,
441.216,1568.3874,
438.305,1595.8169,
435.395,1610.1152,
432.484,1617.7088,
429.573,1623.11,
426.663,1633.752,
423.752,1562.7908,
420.842,1362.6512,
417.931,1166.3653,
415.020,1183.0492,
412.110,1337.9954,
409.199,1457.7056,
406.289,1545.7632,
403.378,1613.4355,
400.468,1557.4919,
397.557,1553.507,
394.646,1579.2842,
391.736,1615.1944,
388.825,1664.2195,
385.915,1690.3333,
383.004,1683.2069,
380.094,1641.9667,
377.183,1687.8678,
374.272,1723.4218,
371.362,1750.5718,
368.451,1767.0719,
365.541,1725.0419,
362.630,1737.1133,
359.719,1773.4952,
356.809,1813.6703,
353.898,1814.4191,
350.988,1822.7623,
348.077,1830.7866,
345.167,1833.5872,
342.256,1832.8401,
339.345,1841.1279,
336.435,1840.5748,
333.524,1818.6855,
330.614,1788.8793,
327.703,1789.8931,
324.793,1801.9451,
321.882,1808.5258,
318.971,1767.6365,
316.061,1794.6434,
313.150,1840.1655,
310.240,1848.3287,
307.329,1857.9153,
304.418,1857.5214,
301.508,1845.9296,
298.597,1820.7554,
295.687,1835.556,
292.776,1856.5417,
289.866,1875.7148,
286.955,1880.8859,
284.044,1937.9174,
281.134,2000.248,
278.223,2057.6308,
275.313,2105.5263,
272.402,2109.2351,
269.492,2080.5442,
266.581,2030.0964,
263.670,2050.6815,
260.760,2103.6395,
257.849,2159.9696,
254.939,2198.1315,
252.028,2134.9267,
249.117,2136.2073,
246.207,2178.7473,
243.296,2225.5976,
240.386,2215.6062,
237.475,2183.8054,
234.565,2154.7127,
231.654,2212.413,
228.743,2145.2242,
225.833,2093.3327,
222.922,2107.5718,
220.012,2084.9866,
217.101,2066.8293,
214.191,2045.3527,
211.280,2011.1619,
208.369,2021.4085,
205.459,2023.6325,
202.548,2019.2545,
199.638,2028.688,
196.727,2018.5245,
193.816,2033.7068,
190.906,2088.9901,
187.995,2070.8895,
185.085,2075.9735,
182.174,2093.9139,
179.264,2113.4285,
176.353,2093.8385,
173.442,2084.5255,
170.532,2089.709,
167.621,2090.43,
164.711,2051.2074,
161.800,1982.9383,
158.890,1887.2145,
155.979,1744.3132,
153.068,1616.8551,
150.158,1487.5687,
147.247,1281.5164,
144.337,1052.7193,
141.426,830.11521,
138.516,627.95188,
135.605,460.67442,
132.694,318.45734,
129.784,203.54866,
126.873,131.32054,
123.963,80.204511,
121.052,48.94224,
118.141,39.661514,
115.231,31.808726,
112.320,30.319544,
109.410,30.443316,
106.499,19.048832,
103.589,14.944237,
100.678,13.081757,
97.767,11.659881,
94.857,11.625,
91.946,10.415667,
89.036,7.1573272,
86.125,-2.0623413,
83.215,1.4651239,
80.304,6.1461346,
77.393,4.7297948,
74.483,11.831485,
71.572,12.363831,
68.662,6.34793,
65.751,3.5221257,
62.840,6.4786159,
59.930,8.5648518,
57.019,0.80894998,
54.109,0.22216085,
51.198,3.0378742,
48.288,8.5683756,
45.377,1.5345949,
42.466,2.3349741,
39.556,6.7040514,
36.645,1.0865297,
33.735,2.7404908,
30.824,4.0787912,
27.914,-0.82943553,
25.003,6.7192872,
22.092,10.979191,
19.182,9.78518,
16.271,14.681611,
13.361,84.901192,
10.450,193.76891,
7.539,281.75665,
4.629,239.56805,
1.718,95.236346,
-1.192,-176.65002,
-4.103,-171.26881,
-7.013,-100.68371,
-9.924,1.625,
