,PLABB4~1,
Wavenumbers [1/cm],Intensity,
1093.185,6080.2162,
1090.275,6131.6683,
1087.364,6181.6118,
1084.453,6278.7449,
1081.543,6370.674,
1078.632,6431.7528,
1075.722,6475.1048,
1072.811,6443.2068,
1069.901,6405.6565,
1066.990,6346.2918,
1064.079,6341.7217,
1061.169,6328.2014,
1058.258,6310.4871,
1055.348,6318.2213,
1052.437,6351.6467,
1049.527,6371.0764,
1046.616,6376.2894,
1043.705,6466.2837,
1040.795,6450.7337,
1037.884,6462.2766,
1034.974,6518.8479,
1032.063,6551.3444,
1029.153,6542.899,
1026.242,6593.0665,
1023.331,6619.8734,
1020.421,6655.5475,
1017.510,6703.0518,
1014.600,6744.2546,
1011.689,6797.7984,
1008.778,6899.8819,
1005.868,7000.6434,
1002.957,7197.6645,
1000.047,7444.8191,
997.136,7671.5318,
994.226,7830.5357,
991.315,7863.1226,
988.404,7780.2797,
985.494,7796.8201,
982.583,7749.7095,
979.673,7756.0446,
976.762,7721.5392,
973.852,7731.8879,
970.941,7778.0967,
968.030,7788.0024,
965.120,7868.0218,
962.209,7902.976,
959.299,7913.8327,
956.388,7923.1545,
953.477,7912.8449,
950.567,7889.0907,
947.656,7886.3179,
944.746,7882.0702,
941.835,7970.9545,
938.925,7969.5013,
936.014,7958.3808,
933.103,7941.9265,
930.193,7902.0857,
927.282,7858.3051,
924.372,7700.1766,
921.461,7592.9798,
918.551,7468.3447,
915.640,7357.9557,
912.729,7248.0822,
909.819,7102.0932,
906.908,7065.8689,
903.998,7096.4849,
901.087,7086.4163,
898.176,7106.8927,
895.266,7177.3759,
892.355,7270.3245,
889.445,7347.5371,
886.534,7399.6371,
883.624,7495.9975,
880.713,7566.9653,
877.802,7553.5354,
874.892,7435.9803,
871.981,7256.8233,
869.071,7169.9403,
866.160,7195.5826,
863.250,7319.2398,
860.339,7409.8634,
857.428,7394.3705,
854.518,7364.6604,
851.607,7288.11,
848.697,7130.4334,
845.786,7065.9129,
842.875,7102.1794,
839.965,7199.1283,
837.054,7342.1913,
834.144,7370.3689,
831.233,7312.5462,
828.323,7294.723,
825.412,7272.1712,
822.501,7175.2149,
819.591,7066.1302,
816.680,6925.0542,
813.770,6838.8753,
810.859,6740.6401,
807.949,6648.6774,
805.038,6613.6117,
802.127,6545.2921,
799.217,6547.0743,
796.306,6526.037,
793.396,6486.0732,
790.485,6462.8252,
787.574,6505.3385,
784.664,6543.8837,
781.753,6647.4967,
778.843,6746.8237,
775.932,6810.4427,
773.022,6820.59,
770.111,6747.8256,
767.200,6664.4598,
764.290,6621.3829,
761.379,6594.0896,
758.469,6586.6866,
755.558,6636.2492,
752.648,6548.272,
749.737,6543.278,
746.826,6483.6716,
743.916,6391.4007,
741.005,6333.1935,
738.095,6194.3625,
735.184,6045.589,
732.274,6032.8432,
729.363,6149.5703,
726.452,6320.1307,
723.542,6382.454,
720.631,6499.0268,
717.721,6584.2854,
714.810,6620.3523,
711.899,6622.0136,
708.989,6639.766,
706.078,6610.2268,
703.168,6626.5566,
700.257,6604.7435,
