,PL5ACF~1,
Wavenumbers [1/cm],Intensity,
889.445,7299.2023,
886.534,7411.1228,
883.624,7504.5702,
880.713,7586.2027,
877.802,7546.139,
874.892,7320.2491,
871.981,7021.7262,
869.071,6787.8105,
866.160,6943.1985,
863.250,7195.8497,
860.339,7374.9619,
857.428,7418.1106,
854.518,7370.2671,
851.607,7198.0288,
848.697,6935.08,
845.786,6803.3017,
842.875,6907.1847,
839.965,7176.3237,
837.054,7319.2083,
834.144,7404.5698,
831.233,7374.5867,
828.323,7325.5323,
825.412,7283.4738,
822.501,7243.3988,
819.591,7205.3844,
816.680,7064.8267,
813.770,6914.347,
810.859,6803.7359,
807.949,6746.9109,
805.038,6716.9092,
802.127,6606.6102,
799.217,6613.394,
796.306,6554.5468,
793.396,6525.1052,
790.485,6557.0923,
787.574,6562.3051,
784.664,6616.4325,
781.753,6718.8458,
778.843,6818.1591,
775.932,6872.7068,
773.022,6866.2069,
770.111,6846.585,
767.200,6802.6165,
764.290,6690.4329,
761.379,6659.2122,
758.469,6696.3009,
755.558,6597.01,
752.648,6555.4653,
749.737,6544.6388,
746.826,6514.8105,
743.916,6437.8532,
741.005,6300.5989,
738.095,6100.0653,
735.184,5964.7007,
732.274,5947.0708,
729.363,6078.8437,
726.452,6316.8311,
723.542,6458.4749,
720.631,6536.5876,
717.721,6603.5048,
714.810,6631.1591,
711.899,6639.8738,
708.989,6719.7594,
706.078,6705.8265,
703.168,6650.029,
700.257,6629.0397,
697.347,6641.3811,
694.436,6619.7263,
691.525,6600.4349,
688.615,6651.5942,
685.704,6676.9112,
682.794,6667.484,
679.883,6671.566,
676.973,6745.2921,
674.062,6773.0116,
671.151,6735.102,
668.241,6691.0684,
665.330,6727.9137,
662.420,6572.9597,
659.509,6592.0445,
656.598,6638.56,
653.688,6717.1503,
650.777,6904.277,
647.867,6905.0733,
644.956,6859.4329,
642.046,6724.6983,
639.135,6574.0404,
636.224,6573.5007,
633.314,6623.5188,
630.403,6603.7334,
627.493,6578.9456,
624.582,6570.4826,
621.672,6549.0987,
618.761,6558.8892,
615.850,6573.8207,
612.940,6611.5974,
610.029,6662.8304,
607.119,6642.3,
604.208,6567.1186,
601.297,6553.2026,
598.387,6562.6575,
595.476,6547.8099,
592.566,6564.3383,
589.655,6515.4188,
586.745,6476.4008,
583.834,6462.25,
580.923,6462.3069,
578.013,6471.7237,
575.102,6476.5444,
572.192,6498.2579,
569.281,6549.5754,
566.371,6634.8814,
563.460,6662.2976,
560.549,6619.0857,
557.639,6596.1348,
554.728,6684.8322,
551.818,6757.4016,
548.907,6792.7512,
545.996,6806.0276,
543.086,6801.7138,
540.175,6776.0185,
537.265,6806.8426,
534.354,6871.9275,
531.444,6922.2994,
528.533,6923.0441,
525.622,7004.5186,
522.712,7069.5768,
519.801,7140.7293,
516.891,7228.4737,
513.980,7338.4237,
511.070,7355.9978,
508.159,7436.6158,
505.248,7582.5888,
502.338,7768.2155,
499.427,7835.3649,
496.517,7939.7954,
493.606,8052.0129,
490.695,8148.99,
487.785,8197.4868,
484.874,8197.4953,
481.964,8204.0472,
479.053,8206.3799,
476.143,8152.6226,
473.232,8137.0201,
470.321,8120.0856,
467.411,8108.7696,
464.500,8113.6379,
461.590,8128.9527,
458.679,8221.2971,
455.769,8350.9068,
452.858,8478.9542,
449.947,8504.9279,
447.037,8605.5114,
444.126,8696.8257,
441.216,8757.4362,
438.305,8816.1049,
435.395,8773.766,
432.484,8805.5953,
429.573,8867.3698,
426.663,8782.234,
423.752,8335.1786,
420.842,7809.4992,
417.931,7444.4322,
415.020,7561.2193,
412.110,8432.9432,
409.199,8966.8977,
406.289,9189.5442,
403.378,9180.4944,
400.468,8957.476,
397.557,9023.5279,
394.646,9224.0879,
391.736,9416.3224,
388.825,9418.5851,
385.915,9417.1212,
383.004,9444.0899,
380.094,9521.1254,
377.183,9616.6899,
374.272,9712.1831,
371.362,9786.1437,
368.451,9827.8061,
365.541,9886.3479,
362.630,9941.0331,
359.719,9964.9629,
356.809,9948.3763,
353.898,10000.043,
350.988,10029.982,
348.077,10031.634,
345.167,10004.007,
342.256,10018.948,
339.345,10056.199,
336.435,10079.976,
333.524,10068.387,
330.614,10136.197,
327.703,10173.166,
324.793,10200.624,
321.882,10236.517,
318.971,10346.546,
316.061,10458.474,
313.150,10562.117,
310.240,10645.234,
307.329,10766.88,
304.418,10827.473,
301.508,10827.496,
298.597,10768.263,
295.687,10780.858,
292.776,10770.5,
289.866,10781.46,
286.955,10958.015,
284.044,11139.477,
281.134,11282.09,
278.223,11384.154,
275.313,11479.208,
272.402,11535.847,
269.492,11553.061,
266.581,11525.893,
263.670,11422.968,
260.760,11605.86,
257.849,11868,
254.939,12061.745,
252.028,12093.928,
249.117,12136.314,
246.207,12183.668,
243.296,12223.93,
240.386,12310.527,
237.475,12412.646,
234.565,12507.86,
231.654,12518.086,
228.743,12488.029,
225.833,12491.996,
222.922,12556.813,
220.012,12590.326,
217.101,12676.82,
214.191,12787.16,
211.280,12893.369,
208.369,12842.042,
205.459,12831.616,
202.548,12857.244,
199.638,12845.634,
196.727,12872.061,
193.816,12898.367,
190.906,12909.844,
187.995,12898.259,
185.085,12913.164,
182.174,12964.024,
179.264,13073.885,
176.353,13063.823,
173.442,13064.665,
170.532,13072.121,
167.621,12933.693,
164.711,12718.608,
161.800,12366.554,
158.890,11805.166,
155.979,11135.99,
153.068,10338.567,
150.158,9366.3913,
147.247,8009.4616,
144.337,6641.6013,
141.426,5272.6466,
138.516,3906.9688,
135.605,2813.7616,
132.694,1935.6871,
129.784,1267.7848,
126.873,865.16674,
123.963,581.2301,
121.052,384.05688,
118.141,272.68817,
115.231,223.93122,
112.320,183.0682,
109.410,148.65943,
106.499,119.46107,
103.589,110.44873,
100.678,104.4473,
97.767,94.49417,
94.857,81.776197,
91.946,79.071776,
89.036,81.669429,
86.125,71.740555,
