,PLB20C~1,
Wavenumbers [1/cm],Intensity,
848.697,6654.0438,
845.786,6597.4785,
842.875,6699.1716,
839.965,6859.9797,
837.054,6914.7111,
834.144,6966.9225,
831.233,7029.7879,
828.323,6989.8524,
825.412,6890.8946,
822.501,6816.4865,
819.591,6768.5553,
816.680,6638.9197,
813.770,6558.2578,
810.859,6456.4752,
807.949,6349.6591,
805.038,6293.3595,
802.127,6229.1556,
799.217,6226.852,
796.306,6194.6383,
793.396,6181.5831,
790.485,6206.3895,
787.574,6227.2148,
784.664,6255.9187,
781.753,6310.7778,
778.843,6377.7622,
775.932,6458.2355,
773.022,6524.5433,
770.111,6430.5218,
767.200,6386.8207,
764.290,6385.5268,
761.379,6362.0095,
758.469,6314.9621,
755.558,6314.8184,
752.648,6204.0324,
749.737,6198.4447,
746.826,6196.4019,
743.916,6114.598,
741.005,5926.3213,
738.095,5848.3811,
735.184,5676.8064,
732.274,5659.4558,
729.363,5779.458,
726.452,5958.2908,
723.542,6103.1722,
720.631,6189.108,
717.721,6274.4195,
714.810,6299.949,
711.899,6288.9469,
708.989,6382.5501,
706.078,6363.0924,
703.168,6328.9784,
700.257,6300.6358,
697.347,6269.5182,
694.436,6206.9542,
691.525,6237.4988,
688.615,6228.4022,
685.704,6216.9665,
682.794,6236.5928,
679.883,6311.5307,
676.973,6342.7841,
674.062,6354.8677,
671.151,6366.0149,
668.241,6350.8707,
665.330,6268.5745,
662.420,6235.8265,
659.509,6257.6969,
656.598,6279.7507,
653.688,6320.0211,
650.777,6432.7442,
647.867,6509.988,
644.956,6411.9631,
642.046,6269.8141,
639.135,6178.3478,
636.224,6213.2921,
633.314,6246.6375,
630.403,6229.7029,
627.493,6206.748,
624.582,6196.0061,
621.672,6186.5022,
618.761,6216.5226,
615.850,6207.9424,
612.940,6228.9861,
610.029,6294.0478,
607.119,6269.5693,
604.208,6233.0444,
601.297,6231.5879,
598.387,6241.5453,
595.476,6234.0108,
592.566,6222.2048,
589.655,6211.0545,
586.745,6166.6339,
583.834,6124.1279,
580.923,6155.6132,
578.013,6070.8619,
575.102,6088.2762,
572.192,6160.9991,
569.281,6240.0934,
566.371,6251.0501,
563.460,6264.118,
560.549,6244.7611,
557.639,6235.7759,
554.728,6285.2638,
551.818,6350.8103,
548.907,6387.0639,
545.996,6389.8501,
543.086,6378.5,
540.175,6408.0885,
537.265,6402.8822,
534.354,6448.789,
531.444,6509.1073,
528.533,6543.6567,
525.622,6593.3173,
522.712,6656.9125,
519.801,6740.7694,
516.891,6825.0376,
513.980,6844.395,
511.070,6974.3162,
508.159,7079.7022,
505.248,7178.6866,
502.338,7309.1297,
499.427,7411.7834,
496.517,7494.5593,
493.606,7555.2956,
490.695,7602.5723,
487.785,7684.9399,
484.874,7683.9081,
481.964,7665.743,
479.053,7658.847,
476.143,7691.1015,
473.232,7601.0413,
470.321,7610.8632,
467.411,7653.3,
464.500,7637.851,
461.590,7706.0019,
458.679,7776.8527,
455.769,7860.0833,
452.858,7951.0338,
449.947,7969.3682,
447.037,8065.9594,
444.126,8153.1129,
441.216,8206.6654,
438.305,8250.0955,
435.395,8271.8603,
432.484,8332.6358,
429.573,8380.9197,
426.663,8272.9797,
423.752,7923.7845,
420.842,7468.3186,
417.931,7129.9205,
415.020,7227.7487,
412.110,7983.9549,
409.199,8459.6358,
406.289,8646.2328,
403.378,8578.8253,
400.468,8490.374,
397.557,8582.9501,
394.646,8747.762,
391.736,8884.1592,
388.825,8853.99,
385.915,8846.1894,
383.004,8860.8311,
380.094,8902.2654,
377.183,9042.226,
374.272,9167.4271,
371.362,9239.242,
368.451,9240.9547,
365.541,9303.9997,
362.630,9386.6739,
359.719,9419.2234,
356.809,9368.7561,
353.898,9395.7129,
350.988,9446.5239,
348.077,9463.6676,
345.167,9420.1362,
342.256,9499.3254,
339.345,9472.7018,
336.435,9435.7872,
333.524,9454.0175,
330.614,9482.3335,
327.703,9500.8797,
324.793,9550.3404,
321.882,9666.3323,
318.971,9751.8282,
316.061,9815.307,
313.150,9875.3749,
310.240,9953.2971,
307.329,10106.199,
304.418,10150.623,
301.508,10114.993,
298.597,10050.576,
295.687,10060.702,
292.776,10095.208,
289.866,10158.658,
286.955,10279.809,
284.044,10414.77,
281.134,10531.262,
278.223,10625.628,
275.313,10711.103,
272.402,10763.979,
269.492,10727.972,
266.581,10597.491,
263.670,10616.606,
260.760,10801.825,
