,PLDF41~1,
Wavenumbers [1/cm],Intensity,
886.534,6801.3668,
883.624,6884.9854,
880.713,6957.6931,
877.802,6944.961,
874.892,6781.271,
871.981,6476.9239,
869.071,6203.7439,
866.160,6357.8432,
863.250,6614.5473,
860.339,6805.1101,
857.428,6866.8096,
854.518,6821.0792,
851.607,6638.024,
848.697,6367.7025,
845.786,6284.2854,
842.875,6368.8955,
839.965,6530.255,
837.054,6744.2727,
834.144,6735.1564,
831.233,6712.7098,
828.323,6675.1736,
825.412,6643.8334,
822.501,6619.6937,
819.591,6527.137,
816.680,6412.1953,
813.770,6281.0021,
810.859,6185.9832,
807.949,6143.9969,
805.038,6137.8861,
802.127,6117.3079,
799.217,6040.0905,
796.306,6011.5371,
793.396,5992.245,
790.485,5958.2153,
787.574,5935.9522,
784.664,6056.5087,
781.753,6140.7765,
778.843,6213.032,
775.932,6269.6464,
773.022,6289.2312,
770.111,6223.8249,
767.200,6181.3094,
764.290,6123.1448,
761.379,6080.316,
758.469,6053.1912,
755.558,6002.4511,
752.648,5971.4962,
749.737,5997.3617,
746.826,5989.6653,
743.916,5940.7124,
741.005,5865.6409,
738.095,5673.2261,
735.184,5511.6534,
732.274,5491.0842,
729.363,5593.9921,
726.452,5757.1555,
723.542,5877.7551,
720.631,6002.8785,
717.721,6064.5802,
714.810,6080.7102,
711.899,6081.8305,
708.989,6105.2313,
706.078,6118.9971,
703.168,6085.3345,
700.257,6034.9704,
697.347,5997.5924,
694.436,5999.3133,
691.525,6033.877,
688.615,6027.539,
685.704,6034.4843,
682.794,6055.0771,
679.883,6060.0783,
676.973,6120.1811,
674.062,6147.0509,
671.151,6141.7868,
668.241,6110.3184,
665.330,6063.2573,
662.420,6018.5283,
659.509,6023.3435,
656.598,6056.4745,
653.688,6115.3698,
650.777,6204.4002,
647.867,6264.1248,
644.956,6242.7026,
642.046,6089.1182,
639.135,5906.5672,
636.224,5922.6615,
633.314,5979.825,
630.403,5980.1859,
627.493,5974.9839,
624.582,5978.8436,
621.672,5963.0037,
618.761,5977.5738,
615.850,5990.0888,
612.940,6000.815,
610.029,6015.6881,
607.119,6053.5904,
604.208,6028.2645,
601.297,6026.8439,
598.387,6038.8082,
595.476,6041.855,
592.566,6036.3456,
589.655,5969.2902,
586.745,5906.4689,
583.834,5877.9625,
580.923,5901.2044,
578.013,5872.954,
575.102,5888.8921,
572.192,5920.6664,
569.281,5951.5772,
566.371,5980.5343,
563.460,6005.2445,
560.549,6005.604,
557.639,6017.3229,
554.728,6076.0502,
551.818,6102.581,
548.907,6118.735,
545.996,6153.7566,
543.086,6198.7105,
540.175,6200.2678,
537.265,6216.3091,
534.354,6233.9139,
531.444,6244.8177,
528.533,6250.935,
525.622,6357.2397,
522.712,6436.1963,
519.801,6496.8153,
516.891,6543.4177,
513.980,6578.261,
511.070,6663.7836,
508.159,6745.1765,
505.248,6849.2015,
502.338,7010.5379,
499.427,7118.5944,
496.517,7245.7991,
493.606,7324.7399,
490.695,7333.5147,
487.785,7348.9105,
484.874,7390.1484,
481.964,7415.5278,
479.053,7414.7561,
476.143,7387.1095,
473.232,7304.8018,
470.321,7297.7038,
467.411,7319.3228,
464.500,7310.9046,
461.590,7450.2693,
458.679,7531.1974,
455.769,7611.6894,
452.858,7713.3294,
449.947,7722.4966,
447.037,7780.197,
444.126,7878.8538,
441.216,7974.5274,
438.305,7912.049,
435.395,7963.0379,
432.484,7995.6253,
429.573,7994.0025,
426.663,7979.5598,
423.752,7627.5732,
420.842,7146.5611,
417.931,6779.5075,
415.020,6864.4436,
412.110,7718.2411,
409.199,8232.8198,
406.289,8400.5907,
403.378,8266.0804,
400.468,8179.1411,
397.557,8200.2192,
394.646,8333.9123,
391.736,8572.7513,
388.825,8615.7424,
385.915,8645.9374,
383.004,8678.2221,
380.094,8722.9087,
377.183,8772.5721,
374.272,8874.3054,
371.362,8971.6269,
368.451,9028.2868,
365.541,9043.2975,
362.630,9100.9066,
359.719,9142.7113,
356.809,9136.6015,
353.898,9140.3455,
350.988,9109.9108,
348.077,9113.8679,
345.167,9187.8074,
342.256,9176.6014,
339.345,9173.9064,
336.435,9161.8833,
333.524,9129.5159,
330.614,9133.9869,
327.703,9180.0413,
324.793,9225.2107,
321.882,9233.7211,
318.971,9376.4621,
316.061,9468.3466,
313.150,9552.8678,
310.240,9679.7696,
307.329,9753.6948,
304.418,9783.1988,
301.508,9782.0273,
298.597,9769.4402,
295.687,9749.4123,
292.776,9772.0418,
289.866,9848.2916,
286.955,9999.7303,
284.044,10125.105,
281.134,10192.04,
278.223,10225.47,
275.313,10376.525,
272.402,10419.993,
269.492,10405.245,
266.581,10354.271,
263.670,10338.833,
260.760,10511.463,
257.849,10721.621,
254.939,10859.591,
252.028,10882.367,
249.117,10922.353,
246.207,10981.778,
243.296,11064.499,
240.386,11175.242,
237.475,11215.16,
234.565,11191.34,
231.654,11184.766,
228.743,11152.88,
225.833,11162.999,
222.922,11236.152,
220.012,11209.924,
217.101,11260.261,
214.191,11323.998,
211.280,11332.727,
208.369,11348.85,
205.459,11328.427,
202.548,11287.127,
199.638,11291.481,
196.727,11308.509,
193.816,11325.191,
190.906,11335.994,
187.995,11325.134,
185.085,11360.149,
182.174,11419.633,
179.264,11479.623,
176.353,11558.783,
173.442,11598.65,
170.532,11592.167,
167.621,11547.466,
164.711,11321.469,
161.800,10974.772,
158.890,10524.942,
155.979,9956.9749,
153.068,9229.5226,
150.158,8345.4746,
147.247,7282.1873,
144.337,6028.7986,
141.426,4760.6146,
138.516,3556.2373,
135.605,2549.8397,
132.694,1745.8031,
129.784,1137.8783,
126.873,771.01672,
123.963,521.1014,
121.052,345.31504,
118.141,236.80193,
115.231,199.42534,
112.320,165.31138,
109.410,134.46621,
106.499,108.82862,
103.589,100.01347,
100.678,94.11554,
97.767,85.584289,
94.857,75.673153,
91.946,69.359446,
89.036,65.697613,
86.125,61.442381,
83.215,54.003956,
80.304,47.896135,
77.393,46.479795,
74.483,47.68527,
71.572,48.012648,
68.662,47.09793,
65.751,44.272126,
62.840,37.594576,
59.930,32.87329,
57.019,38.513945,
54.109,29.820426,
51.198,25.486265,
48.288,30.346688,
45.377,26.829797,
42.466,26.199439,
39.556,26.684289,
36.645,22.471147,
33.735,19.298006,
30.824,15.828791,
27.914,10.920564,
25.003,14.110825,
22.092,17.989523,
19.182,20.665631,
16.271,-1.0185628,
13.361,-71.157865,
10.450,-212.47476,
7.539,-542.77792,
4.629,-943.58323,
1.718,-1184.7431,
-1.192,-1009.0627,
-4.103,-638.43038,
-7.013,-288.36778,
-9.924,-1.625,
