,PLA0AC~1,
Raman shift [1/cm],Intensity,
1160.129,6199.9917,
1157.218,6137.378,
1154.307,6060.443,
1151.397,5979.8862,
1148.486,5892.6264,
1145.576,5878.4971,
1142.665,5748.8618,
1139.754,5711.2753,
1136.844,5637.8959,
1133.933,5570.4156,
1131.023,5526.1295,
1128.112,5493.9126,
1125.202,5482.6853,
1122.291,5522.6263,
1119.380,5526.6447,
1116.470,5579.5964,
1113.559,5562.1543,
1110.649,5595.7254,
1107.738,5572.6521,
1104.828,5541.6148,
1101.917,5554.1961,
1099.006,5551.5891,
1096.096,5517.4688,
1093.185,5539.4189,
1090.275,5557.3104,
1087.364,5572.7891,
1084.453,5528.0657,
1081.543,5495.6983,
1078.632,5500.6777,
1075.722,5494.2534,
1072.811,5500.9866,
1069.901,5527.1844,
1066.990,5554.9916,
1064.079,5613.5246,
1061.169,5659.6647,
1058.258,5701.6872,
1055.348,5746.8833,
1052.437,5781.8485,
1049.527,5818.4411,
1046.616,5878.3903,
1043.705,5898.9988,
1040.795,5919.0876,
1037.884,5957.9635,
1034.974,5997.1804,
1032.063,6028.6706,
1029.153,6073.8787,
1026.242,6063.4992,
1023.331,6057.292,
1020.421,6107.0134,
1017.510,6164.9827,
1014.600,6223.9989,
1011.689,6284.0844,
1008.778,6342.6132,
1005.868,6423.6347,
1002.957,6703.2498,
1000.047,6974.7171,
997.136,7252.7678,
994.226,7388.125,
991.315,7356.4617,
988.404,7262.3995,
985.494,7148.4947,
982.583,7075.6874,
979.673,7043.9072,
976.762,7012.0538,
973.852,6995.567,
970.941,6983.3806,
968.030,6952.5238,
965.120,6949.2718,
962.209,6984.226,
959.299,6985.1673,
956.388,6960.1665,
953.477,6992.2704,
950.567,7045.0411,
947.656,6995.2472,
944.746,7026.6808,
941.835,6999.7815,
938.925,7025.3695,
936.014,7059.8289,
933.103,7063.3543,
930.193,7022.3442,
927.282,6953.0756,
924.372,6841.4555,
921.461,6760.1126,
918.551,6677.4507,
915.640,6620.6769,
912.729,6565.4336,
909.819,6459.8958,
906.908,6397.5564,
903.998,6421.9627,
901.087,6488.3201,
898.176,6575.5708,
895.266,6645.5514,
892.355,6687.5586,
889.445,6780.7173,
886.534,6853.7589,
883.624,6853.9955,
880.713,6949.1962,
877.802,7021.7654,
874.892,6976.515,
871.981,6986.6713,
869.071,6967.4568,
866.160,6928.2471,
863.250,6908.4556,
860.339,6923.7397,
857.428,6956.1685,
854.518,6948.0809,
851.607,6808.2933,
848.697,6784.8128,
845.786,6810.0354,
842.875,6828.5809,
839.965,6817.79,
837.054,6806.6133,
834.144,6761.0319,
831.233,6786.7892,
828.323,6790.7716,
825.412,6739.1334,
822.501,6658.3803,
819.591,6654.2483,
816.680,6557.1697,
813.770,6488.0168,
810.859,6400.6587,
807.949,6346.969,
805.038,6392.2555,
802.127,6335.4597,
799.217,6300.3094,
796.306,6273.0978,
793.396,6250.0028,
790.485,6238.7578,
787.574,6256.2184,
784.664,6258.6787,
781.753,6201.4204,
