,PL57AE~1,
Raman shift [1/cm],Intensity,
665.330,1505.7721,
662.420,1561.6833,
659.509,1545.188,
656.598,1552.9262,
653.688,1584.8151,
650.777,1587.8001,
647.867,1607.7083,
644.956,1605.9335,
642.046,1578.4929,
639.135,1541.352,
636.224,1527.2603,
633.314,1554.2542,
630.403,1568.8107,
627.493,1551.8487,
624.582,1513.2999,
621.672,1500.628,
618.761,1531.2825,
615.850,1538.3701,
612.940,1532.7097,
610.029,1526.9141,
607.119,1531.6519,
604.208,1527.1549,
601.297,1530.6087,
598.387,1531.5389,
595.476,1520.8678,
592.566,1528.7385,
589.655,1508.0967,
586.745,1474.4266,
583.834,1439.3179,
580.923,1414.8881,
578.013,1375.6514,
575.102,1399.5403,
572.192,1447.2766,
569.281,1490.3588,
566.371,1508.3591,
563.460,1550.3367,
560.549,1567.6123,
557.639,1571.6163,
554.728,1582.6031,
551.818,1606.0126,
548.907,1608.6873,
545.996,1612.1793,
543.086,1615.2599,
540.175,1592.6792,
537.265,1572.2937,
534.354,1606.7653,
531.444,1632.5202,
528.533,1592.3457,
525.622,1595.4495,
522.712,1591.8777,
519.801,1593.3257,
516.891,1608.8893,
513.980,1652.2499,
511.070,1624.4294,
508.159,1628.3174,
505.248,1644.8717,
502.338,1639.4805,
499.427,1685.7904,
496.517,1661.923,
493.606,1642.2008,
490.695,1660.0507,
487.785,1673.907,
484.874,1703.9126,
481.964,1685.4875,
479.053,1644.3762,
476.143,1670.4869,
473.232,1680.0384,
470.321,1664.1485,
467.411,1642.0989,
464.500,1635.4074,
461.590,1607.0751,
458.679,1648.6515,
455.769,1683.1388,
452.858,1666.4664,
449.947,1631.3256,
447.037,1647.7887,
444.126,1656.8402,
441.216,1646.6542,
438.305,1649.7019,
435.395,1644.8799,
432.484,1652.9606,
429.573,1670.255,
426.663,1679.3767,
423.752,1599.2244,
420.842,1555.448,
417.931,1561.0697,
415.020,1617.1882,
412.110,1672.5328,
409.199,1706.7949,
406.289,1715.4836,
403.378,1695.0507,
400.468,1673.1269,
397.557,1648.6439,
394.646,1610.8467,
391.736,1551.4349,
388.825,1498.6387,
385.915,1416.0686,
383.004,1376.2564,
380.094,1429.5762,
377.183,1536.4279,
374.272,1641.5715,
371.362,1721.313,
368.451,1761.1736,
365.541,1778.4359,
362.630,1781.4863,
359.719,1775.3895,
356.809,1764.8046,
353.898,1776.0366,
350.988,1768.8178,
348.077,1761.577,
345.167,1765.9575,
342.256,1782.393,
339.345,1786.0621,
336.435,1779.8507,
333.524,1766.219,
330.614,1769.1996,
327.703,1804.5231,
324.793,1823.9776,
321.882,1786.2079,
318.971,1820.4063,
316.061,1848.7277,
313.150,1863.1226,
310.240,1853.4751,
307.329,1885.9983,
304.418,1870.8559,
