,PL8D1F~1,
Wavenumbers [1/cm],Intensity,
813.770,2108.2939,
810.859,2073.2341,
807.949,2057.6055,
805.038,2060.74,
802.127,2032.7537,
799.217,2023.4165,
796.306,2032.4764,
793.396,2041.5143,
790.485,2038.124,
787.574,2024.8998,
784.664,2071.6462,
781.753,2084.1509,
778.843,2097.887,
775.932,2110.7423,
773.022,2110.3498,
770.111,2098.9037,
767.200,2105.7381,
764.290,2071.7187,
761.379,2059.3042,
758.469,2076.9397,
755.558,2060.8332,
752.648,2051.058,
749.737,2062.1808,
746.826,2034.1584,
743.916,1987.7028,
741.005,1962.0462,
738.095,1881.6704,
735.184,1859.2539,
732.274,1824.1488,
729.363,1838.1451,
726.452,1922.3409,
723.542,1940.1476,
720.631,2020.6371,
717.721,2049.1349,
714.810,2053.267,
711.899,2056.63,
708.989,2063.0854,
706.078,2059.1185,
703.168,2047.195,
700.257,2017.021,
697.347,1991.9503,
694.436,2020.0377,
691.525,2016.8225,
688.615,1999.7733,
685.704,2004.8026,
682.794,2023.6569,
679.883,2021.296,
676.973,2002.8645,
674.062,2033.5814,
671.151,2054.0017,
668.241,2041.7831,
665.330,1998.4065,
662.420,1983.2306,
659.509,2008.062,
656.598,2025.856,
653.688,2038.0168,
650.777,2069.2618,
647.867,2014.3152,
644.956,1973.0249,
642.046,1903.7148,
639.135,1848.5226,
636.224,1914.3399,
633.314,1957.2125,
630.403,1978.1756,
627.493,1998.5676,
624.582,2007.5884,
621.672,1951.3568,
618.761,1928.6066,
615.850,1963.4491,
612.940,2011.4695,
610.029,2033.338,
607.119,1998.5943,
604.208,2003.6452,
601.297,2001.6413,
598.387,1993.8319,
595.476,1989.5363,
592.566,2004.4906,
589.655,1975.3784,
586.745,1960.7288,
583.834,1959.2942,
580.923,1942.035,
578.013,1927.125,
575.102,1942.0534,
572.192,1966.129,
569.281,1982.719,
566.371,1974.8928,
563.460,1988.2344,
560.549,1979.9939,
557.639,1970.4963,
554.728,1984.2874,
551.818,1971.022,
548.907,2013.2216,
545.996,2036.2932,
543.086,2028.6349,
540.175,2035.6427,
537.265,2041.9192,
534.354,2065.6977,
531.444,2091.0262,
528.533,2098.697,
525.622,2064.5553,
522.712,2114.7666,
519.801,2165.4908,
516.891,2183.3689,
513.980,2164.7858,
511.070,2209.6119,
508.159,2251.5706,
505.248,2284.387,
502.338,2311.0001,
499.427,2375.0622,
496.517,2400.6098,
493.606,2428.997,
490.695,2472.125,
487.785,2472.125,
484.874,2488.2806,
481.964,2464.7333,
479.053,2427.5825,
476.143,2462.9088,
473.232,2415.4861,
470.321,2425.8062,
467.411,2450.7935,
464.500,2433.2692,
461.590,2478.4479,
458.679,2494.4268,
455.769,2512.2481,
452.858,2542.0231,
449.947,2512.2298,
447.037,2568.6213,
444.126,2617.2583,
441.216,2635.0937,
438.305,2657.9516,
435.395,2659.8137,
432.484,2667.0433,
429.573,2661.6173,
426.663,2590.9242,
423.752,2322.8954,
420.842,2053.8518,
417.931,1875.5891,
415.020,1898.3398,
412.110,2348.3355,
409.199,2599.6775,
406.289,2686.9273,
403.378,2676.8253,
400.468,2588.374,
397.557,2616.1673,
394.646,2703.8706,
391.736,2797.8353,
388.825,2788.7845,
385.915,2807.4127,
383.004,2833.8347,
380.094,2854.9677,
377.183,2891.0865,
374.272,2925.5501,
371.362,2951.7172,
368.451,2965.4441,
365.541,2970.6979,
362.630,2992.8821,
359.719,3005.9815,
356.809,2993.2252,
353.898,2945.3021,
350.988,2955.4519,
348.077,2989.9358,
345.167,3025.7087,
342.256,3017.491,
339.345,2986.4276,
336.435,2983.3324,
333.524,3040.8901,
330.614,3033.4386,
327.703,3056.2819,
324.793,3068.2666,
321.882,3034.2494,
318.971,3085.5469,
316.061,3122.6576,
313.150,3151.2083,
310.240,3177.1824,
307.329,3221.7179,
304.418,3221.3428,
301.508,3185.9465,
298.597,3132.6365,
295.687,3161.987,
292.776,3176.875,
289.866,3192.5623,
286.955,3275.2996,
284.044,3309.2625,
281.134,3331.7525,
278.223,3350.3884,
275.313,3365.8624,
