,PLB1A0~1,
Wavenumbers [1/cm],Intensity,
487.785,3510.4176,
484.874,3512.7288,
481.964,3516.5278,
479.053,3516.8593,
476.143,3493.8204,
473.232,3493.0944,
470.321,3486.0764,
467.411,3472.8033,
464.500,3456.5883,
461.590,3465.0115,
458.679,3486.085,
455.769,3544.8539,
452.858,3639.2955,
449.947,3638.5315,
447.037,3648.0832,
444.126,3673.5992,
441.216,3708.7562,
438.305,3722.471,
435.395,3724.375,
432.484,3710.6222,
429.573,3656.2296,
426.663,3505.7217,
423.752,2818.2734,
420.842,1971.8716,
417.931,1345.6953,
415.020,1459.449,
412.110,2539.5779,
409.199,3197.9444,
406.289,3428.3608,
403.378,3289.7987,
400.468,3119.6999,
397.557,3224.7614,
394.646,3505.1996,
391.736,3858.872,
388.825,3905.6343,
385.915,3946.5169,
383.004,3983.7955,
380.094,4017.0679,
377.183,4011.0481,
374.272,4053.3402,
371.362,4073.304,
368.451,4034.4722,
365.541,4068.9968,
362.630,4084.9299,
359.719,4091.2629,
356.809,4095.4592,
353.898,4129.9039,
350.988,4134.4926,
348.077,4129.7942,
345.167,4127.5046,
342.256,4110.3221,
339.345,4089.9635,
336.435,4091.6426,
333.524,4132.7843,
330.614,4177.4936,
327.703,4173.4058,
324.793,4166.9444,
321.882,4197.4183,
318.971,4215.2609,
316.061,4273.1363,
313.150,4338.2297,
310.240,4373.1092,
307.329,4352.9359,
304.418,4415.9597,
301.508,4510.0396,
298.597,4542.618,
295.687,4553.5019,
292.776,4587.3752,
289.866,4649.6148,
286.955,4745.6491,
284.044,4800.4875,
281.134,4871.0313,
278.223,4955.3329,
275.313,4989.2283,
272.402,4952.8073,
269.492,4843.7461,
266.581,4669.3858,
263.670,4571.6068,
260.760,4740.3135,
257.849,4983.2487,
254.939,5163.0499,
252.028,5207.358,
249.117,5269.0577,
246.207,5375.0841,
243.296,5574.9302,
240.386,5673.428,
237.475,5723.9797,
234.565,5749.613,
231.654,5814.6172,
228.743,5839.307,
225.833,5886.0968,
