,PL1AF9~1,
Raman shift [1/cm],Intensity,
484.874,3010.7781,
481.964,3019.6389,
479.053,2979.7028,
476.143,2910.5861,
473.232,2918.4799,
470.321,2931.0352,
467.411,2939.25,
464.500,2939.153,
461.590,2935.3243,
458.679,2944.1553,
455.769,2931.7708,
452.858,2895.0444,
449.947,2969.9097,
447.037,2986.4635,
444.126,2978.3773,
441.216,2965.6312,
438.305,2979.346,
435.395,3013.3762,
432.484,2999.4103,
429.573,2961.5751,
426.663,2984.3793,
423.752,2972.999,
420.842,2949.4392,
417.931,2919.2003,
415.020,2887.3493,
412.110,2997.4552,
409.199,3054.3869,
406.289,3074.9397,
403.378,3086.2423,
400.468,3083.9743,
397.557,3044.6888,
394.646,2997.4762,
391.736,2968.1293,
388.825,2964.3581,
385.915,2942.4944,
383.004,2919.6813,
380.094,2914.2771,
377.183,3032.4159,
374.272,3115.7286,
371.362,3179.1472,
368.451,3229.0676,
365.541,3226.0655,
362.630,3283.1515,
359.719,3328.8823,
356.809,3322.8422,
353.898,3316.103,
350.988,3337.5769,
348.077,3334.8885,
345.167,3281.5366,
342.256,3306.9369,
339.345,3339.7588,
336.435,3373.3537,
333.524,3401.2165,
330.614,3368.4297,
327.703,3391.6213,
324.793,3421.7033,
321.882,3417.3329,
318.971,3451.5313,
316.061,3495.4787,
313.150,3523.0143,
310.240,3502.9772,
307.329,3527.2623,
304.418,3555.4881,
301.508,3563.6623,
298.597,3512.5735,
295.687,3499.4459,
292.776,3557.3337,
289.866,3678.0348,
286.955,3838.3383,
284.044,4016.2123,
281.134,4178.4561,
278.223,4323.7762,
275.313,4477.779,
272.402,4530.0007,
269.492,4610.1554,
266.581,4757.8204,
263.670,4835.7495,
260.760,4891.1601,
257.849,4956.6646,
254.939,5057.9404,
252.028,5151.9021,
249.117,5120.0964,
246.207,5048.7735,
243.296,5081.7151,
240.386,5068.9252,
237.475,5051.0295,
234.565,5021.9858,
231.654,4931.4182,
228.743,4861.0422,
225.833,4790.0163,
222.922,4711.2943,
220.012,4647.91,
217.101,4571.3084,
214.191,4527.675,
211.280,4575.6875,
208.369,4533.4987,
205.459,4436.5902,
202.548,4340.2946,
199.638,4433.1777,
196.727,4393.476,
193.816,4386.9748,
190.906,4470.9295,
187.995,4433.2802,
185.085,4413.1572,
182.174,4407.2088,
179.264,4414.4365,
176.353,4511.3668,
173.442,4552.923,
170.532,4523.1013,
167.621,4453.1667,
164.711,4395.358,
161.800,4298.5631,
158.890,4117.9115,
155.979,3887.4034,
153.068,3586.6755,
150.158,3219.3508,
147.247,2784.9897,
144.337,2293.999,
141.426,1807.5401,
138.516,1354.4649,
135.605,962.0055,
132.694,662.8148,
129.784,440.49811,
126.873,272.4426,
123.963,191.01718,
121.052,141.36883,
118.141,106.38763,
115.231,76.406045,
112.320,60.860913,
109.410,54.886447,
106.499,47.764895,
103.589,40.647455,
100.678,34.348648,
97.767,29.372085,
94.857,27.864022,
91.946,27.25,
89.036,27.024204,
86.125,25.605794,
83.215,23.657239,
80.304,22.010567,
77.393,21.302397,
74.483,20.594865,
71.572,19.887648,
68.662,18.903663,
65.751,15.371407,
62.840,20.512126,
59.930,24.627993,
57.019,14.756845,
54.109,7.8755524,
51.198,6.9644835,
48.288,13.306624,
45.377,20.340405,
42.466,22.013342,
39.556,19.44417,
36.645,14.528838,
33.735,17.403988,
30.824,19.482904,
27.914,13.873502,
25.003,18.2311,
22.092,19.312573,
19.182,16.165315,
16.271,44.14492,
13.361,178.31573,
10.450,425.8541,
7.539,882.55235,
4.629,1151.5006,
1.718,1141.9366,
-1.192,651.844,
-4.103,318.83708,
-7.013,101.07882,
-9.924,2.25,
