,PL425B~1,
Wavenumbers [1/cm],Intensity,
1407.528,1164.7627,
1404.617,1137.8862,
1401.707,1139.8084,
1398.796,1143.5315,
1395.885,1138.0473,
1392.975,1162.2091,
1390.064,1167.1292,
1387.154,1109.6781,
1384.243,1130.1195,
1381.332,1097.176,
1378.422,1085.1178,
1375.511,1213.4568,
1372.601,1330.6963,
1369.690,1301.0678,
1366.780,1372.9115,
1363.869,1415.2943,
1360.958,1446.6076,
1358.048,1526.7309,
1355.137,1554.0497,
1352.227,1563.4936,
1349.316,1632.8276,
1346.406,1694.6931,
1343.495,1710.4687,
1340.584,1747.6779,
1337.674,1801.0393,
1334.763,1857.1231,
1331.853,1899.7758,
1328.942,1875.7055,
1326.032,2033.1773,
1323.121,2098.3976,
1320.210,2151.1189,
1317.300,2157.154,
1314.389,2227.696,
1311.479,2325.0338,
1308.568,2379.5169,
1305.657,2450.2909,
1302.747,2514.8227,
1299.836,2580.8761,
1296.926,2737.5165,
1294.015,2823.9329,
1291.105,2948.1342,
1288.194,3088.3052,
1285.283,3172.4842,
1282.373,3254.8826,
1279.462,3312.4604,
1276.552,3370.4529,
1273.641,3440.4152,
1270.731,3455.3895,
1267.820,3396.0458,
1264.909,3400.0504,
1261.999,3470.2323,
1259.088,3490.299,
1256.178,3439.2562,
1253.267,3331.5318,
1250.356,3208.7162,
1247.446,3084.1184,
1244.535,2964.5671,
1241.625,2848.0187,
1238.714,2723.7957,
1235.804,2602.3691,
1232.893,2535.6279,
1229.982,2519.7403,
1227.072,2438.2622,
1224.161,2378.7078,
1221.251,2348.3983,
1218.340,2267.0016,
1215.430,2250.7236,
1212.519,2263.2558,
1209.608,2237.8443,
1206.698,2208.7766,
1203.787,2209.0729,
1200.877,2193.9547,
1197.966,2249.7026,
1195.055,2287.4832,
1192.145,2399.4394,
1189.234,2505.8672,
1186.324,2545.591,
1183.413,2556.6574,
1180.503,2563.4294,
1177.592,2550.803,
1174.681,2544.8253,
1171.771,2518.82,
1168.860,2489.3481,
1165.950,2510.6887,
1163.039,2531.1665,
1160.129,2523.9333,
1157.218,2494.7898,
1154.307,2470.5318,
1151.397,2467.0641,
1148.486,2468.2032,
1145.576,2447.457,
1142.665,2400.3976,
1139.754,2400.5681,
1136.844,2346.1761,
1133.933,2351.2388,
1131.023,2352.6162,
1128.112,2322.9298,
1125.202,2306.0507,
1122.291,2302.7534,
1119.380,2311.9417,
1116.470,2356.9507,
1113.559,2340.0758,
1110.649,2361.6584,
1107.738,2330.9555,
1104.828,2301.4864,
1101.917,2308.695,
1099.006,2295.1288,
1096.096,2306.3712,
1093.185,2287.9331,
1090.275,2342.3396,
1087.364,2346.5804,
1084.453,2380.7476,
1081.543,2432.411,
1078.632,2456.4259,
1075.722,2451.4493,
1072.811,2467.1349,
1069.901,2447.9231,
1066.990,2425.4834,
1064.079,2393.96,
1061.169,2404.1444,
1058.258,2407.2545,
1055.348,2404.7254,
1052.437,2447.1881,
1049.527,2441.1042,
1046.616,2456.7431,
1043.705,2461.5831,
1040.795,2459.3075,
1037.884,2478.741,
1034.974,2497.2655,
1032.063,2493.2615,
1029.153,2498.4202,
1026.242,2547.7227,
1023.331,2563.6658,
1020.421,2577.6536,
1017.510,2574.0959,
1014.600,2603.872,
1011.689,2640.9569,
1008.778,2618.2967,
1005.868,2669.9942,
1002.957,2725.0569,
1000.047,2823.044,
997.136,2950.4721,
994.226,2993.7465,
991.315,2993.8143,
