,PLEC39~1,
Wavenumbers [1/cm],Intensity,
1963.448,1404.3897,
1960.538,1407.9266,
1957.627,1411.7833,
1954.716,1455.7073,
1951.806,1417.8077,
1948.895,1396.5303,
1945.985,1401.4853,
1943.074,1374.3912,
1940.164,1373.5195,
1937.253,1376.0483,
1934.342,1362.1283,
1931.432,1353.3312,
1928.521,1384.0553,
1925.611,1384.773,
1922.700,1333.0539,
1919.790,1340.9478,
1916.879,1343.0697,
1913.968,1370.9656,
1911.058,1349.1982,
1908.147,1356.2511,
1905.237,1374.6691,
1902.326,1329.0889,
1899.415,1285.0207,
1896.505,1239.6084,
1893.594,1273.5245,
1890.684,1306.2223,
1887.773,1285.2934,
1884.863,1311.7175,
1881.952,1353.6223,
1879.041,1370.5649,
1876.131,1363.2275,
1873.220,1324.3892,
1870.310,1341.278,
1867.399,1382.3603,
1864.489,1348.2337,
1861.578,1352.0386,
1858.667,1336.5209,
1855.757,1362.9785,
1852.846,1383.4821,
1849.936,1363.6286,
1847.025,1350.1143,
1844.114,1389.5436,
1841.204,1398.486,
1838.293,1374.9834,
1835.383,1413.9645,
1832.472,1396.487,
1829.562,1366.7224,
1826.651,1383.0944,
1823.740,1386.6322,
1820.830,1419.7247,
1817.919,1424.2994,
1815.009,1418.7188,
1812.098,1403.6378,
1809.188,1401.062,
1806.277,1431.3139,
1803.366,1438.0998,
1800.456,1443.8351,
1797.545,1442.5673,
1794.635,1457.484,
1791.724,1465.3882,
1788.813,1509.9833,
1785.903,1444.3993,
1782.992,1381.4903,
1780.082,1269.2412,
1777.171,1108.3239,
1774.261,1111.3258,
1771.350,1256.3585,
1768.439,1425.7942,
1765.529,1481.6342,
1762.618,1502.3019,
1759.708,1527.7608,
1756.797,1519.6894,
1753.887,1528.7697,
1750.976,1526.9241,
1748.065,1550.2642,
1745.155,1555.2259,
1742.244,1528.798,
1739.334,1566.9294,
1736.423,1611.6093,
1733.512,1618.0894,
1730.602,1606.5278,
1727.691,1612.2119,
1724.781,1631.5181,
1721.870,1663.3621,
1718.960,1621.4883,
1716.049,1646.2369,
1713.138,1678.6499,
1710.228,1671.6861,
1707.317,1697.4217,
