,PL0CF0~1,
Raman shift [1/cm],Intensity,
743.916,3692.5902,
741.005,3547.7484,
738.095,3337.4723,
735.184,3105.1327,
732.274,3077.1933,
729.363,3233.4213,
726.452,3477.6823,
723.542,3661.4146,
720.631,3760.9511,
717.721,3782.1987,
714.810,3806.8123,
711.899,3850.7376,
708.989,3834.5991,
706.078,3803.2492,
703.168,3759.0667,
700.257,3730.5491,
697.347,3723.7174,
694.436,3723.9326,
691.525,3703.0337,
688.615,3733.719,
685.704,3744.571,
682.794,3743.202,
679.883,3778.5444,
676.973,3712.832,
674.062,3738.423,
671.151,3753.925,
668.241,3750.7415,
665.330,3766.5168,
662.420,3745.7498,
659.509,3773.2466,
656.598,3771.5935,
653.688,3758.8425,
650.777,3802.6629,
647.867,3777.9768,
644.956,3792.932,
642.046,3807.9876,
639.135,3810.6616,
636.224,3807.5597,
633.314,3819.4688,
630.403,3821.3176,
627.493,3821.2681,
624.582,3827.2674,
621.672,3848.6513,
618.761,3901.9358,
615.850,3911.3372,
612.940,3900.377,
610.029,3895.1033,
607.119,3922.7404,
604.208,3933.3101,
601.297,3935.0044,
598.387,3935.2198,
595.476,3937.4202,
592.566,3915.3823,
589.655,3933.5283,
586.745,3920.3298,
583.834,3876.0816,
580.923,3835.4384,
578.013,3825.2369,
575.102,3803.5716,
572.192,3800.2185,
569.281,3833.4194,
566.371,3910.8991,
563.460,3934.0203,
560.549,3947.8092,
557.639,3943.4147,
554.728,3916.3633,
551.818,4009.2209,
548.907,4034.3753,
545.996,4039.4439,
543.086,4036.9638,
540.175,4011.2685,
537.265,3997.1873,
534.354,4019.0896,
531.444,4073.3658,
528.533,4140.644,
525.622,4072.3606,
522.712,4078.1296,
519.801,4109.0665,
516.891,4158.1587,
513.980,4260.3657,
511.070,4249.7783,
508.159,4283.0483,
505.248,4330.5029,
502.338,4338.0363,
499.427,4390.5208,
496.517,4470.6817,
493.606,4500.974,
490.695,4469.9146,
487.785,4537.6562,
484.874,4578.2263,
