,PL56DB~1,
Raman shift [1/cm],Intensity,
915.640,3448.3572,
912.729,3364.8208,
909.819,3344.8671,
906.908,3398.7823,
903.998,3375.503,
901.087,3413.3054,
898.176,3460.701,
895.266,3490.7806,
892.355,3509.2471,
889.445,3538.6214,
886.534,3604.7049,
883.624,3630.5338,
880.713,3660.2264,
877.802,3666.4226,
874.892,3627.2931,
871.981,3589.1779,
869.071,3564.9509,
866.160,3569.0295,
863.250,3589.0003,
860.339,3591.2209,
857.428,3571.8109,
854.518,3583.8112,
851.607,3551.3605,
848.697,3522.3642,
845.786,3505.0034,
842.875,3498.75,
839.965,3508.4493,
837.054,3552.4616,
834.144,3526.7703,
831.233,3529.7494,
828.323,3513.4726,
825.412,3489.8523,
822.501,3477.3456,
819.591,3441.8104,
816.680,3426.3269,
813.770,3387.6659,
810.859,3335.1632,
807.949,3297.0256,
805.038,3301.9314,
802.127,3336.5028,
799.217,3289.8088,
796.306,3302.2637,
793.396,3323.1927,
790.485,3307.9046,
787.574,3258.9716,
784.664,3238.4688,
781.753,3227.3692,
778.843,3232.5715,
775.932,3244.8364,
773.022,3255.5539,
770.111,3280.0813,
767.200,3303.8281,
764.290,3280.7003,
761.379,3269.7783,
758.469,3285.4944,
755.558,3279.972,
752.648,3253.9047,
749.737,3250.0556,
746.826,3226.0403,
743.916,3199.1461,
741.005,3199.1735,
738.095,3167.5103,
735.184,3061.4965,
732.274,3054.4074,
729.363,3094.8369,
726.452,3118.9891,
723.542,3142.4616,
720.631,3188.8578,
717.721,3231.3923,
714.810,3247.0398,
711.899,3229.0965,
708.989,3191.978,
706.078,3190.1474,
703.168,3201.2872,
700.257,3190.1843,
697.347,3167.2279,
694.436,3179.1172,
691.525,3155.8068,
688.615,3139.4296,
685.704,3137.9303,
682.794,3145.9202,
679.883,3148.921,
676.973,3130.4895,
674.062,3136.3212,
671.151,3124.2168,
668.241,3112.4712,
665.330,3146.2206,
662.420,3135.0383,
659.509,3147.9883,
656.598,3134.247,
653.688,3125.2238,
650.777,3192.6969,
647.867,3161.6401,
644.956,3141.1287,
642.046,3138.1398,
639.135,3150.571,
636.224,3168.6863,
633.314,3155.9833,
630.403,3191.7699,
627.493,3206.8437,
624.582,3200.11,
621.672,3255.5496,
618.761,3234.9518,
615.850,3244.2796,
612.940,3289.8543,
610.029,3352.5391,
607.119,3357.2769,
604.208,3318.6993,
601.297,3318.204,
598.387,3335.7564,
595.476,3341.3442,
592.566,3347.6408,
589.655,3352.6373,
586.745,3322.6363,
583.834,3277.6758,
580.923,3266.7737,
578.013,3270.6974,
575.102,3279.7802,
572.192,3297.5404,
569.281,3317.0628,
566.371,3307.6713,
563.460,3354.7218,
560.549,3384.9829,
557.639,3402.4641,
554.728,3419.666,
551.818,3402.4991,
548.907,3437.7524,
545.996,3488.0213,
543.086,3523.8915,
540.175,3505.9826,
537.265,3517.0627,
534.354,3548.3396,
531.444,3593.9774,
528.533,3644.357,
525.622,3652.8924,
522.712,3696.0092,
519.801,3746.4266,
516.891,3793.5143,
513.980,3836.8749,
511.070,3915.4108,
508.159,3983.5226,
505.248,4043.0279,
502.338,4102.5574,
499.427,4164.3039,
496.517,4227.6994,
493.606,4285.9585,
490.695,4324.6147,
487.785,4287.6648,
484.874,4336.0328,
481.964,4354.5375,
479.053,4332.1311,
476.143,4304.4845,
473.232,4286.2037,
470.321,4251.5286,
467.411,4226.8152,
464.500,4241.2264,
461.590,4220.5514,
458.679,4218.0518,
455.769,4233.6676,
452.858,4263.1021,
449.947,4276.0889,
447.037,4312.1218,
444.126,4316.7439,
441.216,4289.2052,
438.305,4297.5864,
435.395,4294.1605,
432.484,4268.8286,
429.573,4248.4651,
426.663,4298.6344,
423.752,4297.8681,
420.842,4232.2706,
417.931,4157.1809,
415.020,4158.6977,
412.110,4278.0029,
409.199,4387.2756,
406.289,4443.943,
403.378,4407.686,
400.468,4388.7861,
397.557,4393.033,
394.646,4404.0967,
391.736,4407.9914,
388.825,4415.5338,
385.915,4405.5095,
383.004,4412.4537,
380.094,4455.2912,
377.183,4426.6971,
374.272,4488.7687,
371.362,4548.9273,
368.451,4553.4369,
365.541,4581.2067,
362.630,4609.5071,
359.719,4642.1403,
356.809,4681.6951,
353.898,4730.367,
350.988,4723.1355,
348.077,4702.5555,
345.167,4697.5881,
342.256,4753.6182,
339.345,4812.796,
336.435,4852.4156,
333.524,4856.9614,
330.614,4863.6678,
327.703,4934.5463,
324.793,4967.2683,
321.882,4874.0096,
318.971,4981.0654,
316.061,5011.8902,
313.150,5011.9857,
310.240,5032.0228,
307.329,5108.5015,
304.418,5152.4286,
301.508,5151.6176,
298.597,5087.2014,
295.687,5156.2464,
292.776,5223.4168,
289.866,5314.4572,
286.955,5536.0748,
284.044,5620.8799,
281.134,5710.9961,
278.223,5832.1206,
275.313,5971.3862,
272.402,6048.3841,
269.492,6153.4082,
266.581,6312.0561,
263.670,6400.2777,
260.760,6500.9732,
257.849,6612.3501,
254.939,6734.1746,
252.028,6757.4653,
249.117,6827.8785,
246.207,6904.4018,
243.296,6914.6503,
240.386,6909.2201,
237.475,6896.9137,
234.565,6879.7591,
231.654,6860.7691,
228.743,6796.9117,
225.833,6733.5415,
222.922,6690.8711,
220.012,6714.9135,
217.101,6681.0392,
214.191,6640.5913,
211.280,6650.0483,
208.369,6602.3074,
205.459,6609.093,
202.548,6647.9812,
199.638,6608.7961,
196.727,6641.0851,
193.816,6667.4388,
190.906,6660.9182,
187.995,6694.2233,
185.085,6722.3,
182.174,6737.2241,
179.264,6724.2143,
176.353,6729.7986,
173.442,6747.8898,
170.532,6766.1974,
167.621,6709.9614,
164.711,6641.6677,
161.800,6498.6391,
158.890,6220.1045,
155.979,5809.6171,
153.068,5355.9299,
150.158,4840.565,
147.247,4163.536,
144.337,3422.21,
141.426,2686.0389,
138.516,1987.7868,
135.605,1436.7582,
132.694,995.75662,
129.784,659.21782,
126.873,446.10913,
123.963,302.02459,
121.052,201.95371,
118.141,141.98594,
115.231,114.74833,
112.320,92.735466,
109.410,75.431961,
106.499,63.325322,
103.589,59.629491,
100.678,54.675674,
97.767,44.011611,
94.857,34.741142,
91.946,33.571776,
89.036,37.524204,
86.125,36.105794,
83.215,32.033558,
80.304,28.75,
77.393,28.75,
74.483,31.37054,
71.572,29.126479,
68.662,22.47293,
65.751,19.647126,
62.840,20.676808,
59.930,21.25171,
57.019,15.611055,
54.109,12.361357,
51.198,8.6387351,
48.288,3.7952995,
45.377,9.4223241,
42.466,10.101123,
39.556,7.8651186,
36.645,8.5673088,
33.735,9.2692485,
30.824,10.191774,
27.914,11.594124,
25.003,13.617912,
22.092,12.812573,
19.182,9.2991887,
16.271,26.086952,
13.361,66.888096,
10.450,107.74051,
7.539,72.824744,
4.629,-124.70862,
1.718,-383.35575,
-1.192,-651.05925,
-4.103,-511.45653,
-7.013,-277.94507,
-9.924,-0.25,
