,PL4BF0~1,
Raman shift [1/cm],Intensity,
528.533,6605.3582,
525.622,6640.2758,
522.712,6650.9088,
519.801,6714.7396,
516.891,6820.3527,
513.980,6847.453,
511.070,6911.1532,
508.159,7009.9427,
505.248,7133.6884,
502.338,7268.0379,
499.427,7376.0944,
496.517,7429.1982,
493.606,7453.5954,
490.695,7469.1544,
487.785,7499.946,
484.874,7475.1487,
481.964,7465.5195,
479.053,7480.9423,
476.143,7506.2851,
473.232,7476.9406,
470.321,7447.8448,
467.411,7430.1283,
464.500,7431.6507,
461.590,7462.2803,
458.679,7450.5141,
455.769,7481.1346,
452.858,7590.0787,
449.947,7649.6654,
447.037,7694.0333,
444.126,7716.7235,
441.216,7722.1239,
438.305,7735.0767,
435.395,7770.3125,
432.484,7772.0384,
429.573,7769.2227,
426.663,7852.0781,
423.752,7874.9156,
420.842,7903.3392,
417.931,7942.8805,
415.020,7992.1737,
412.110,8044.3563,
409.199,8124.9776,
406.289,8204.8797,
403.378,8250.6086,
400.468,8171.9852,
397.557,8179.7806,
394.646,8189.058,
391.736,8130.6476,
388.825,8154.783,
385.915,8121.9605,
383.004,8099.4389,
380.094,8136.8637,
377.183,8254.25,
374.272,8373.7199,
371.362,8437.1622,
368.451,8416.5649,
365.541,8460.8465,
362.630,8492.5397,
359.719,8522.7855,
356.809,8558.0045,
353.898,8593.198,
350.988,8648.4439,
348.077,8686.875,
345.167,8689.8645,
342.256,8748.8829,
339.345,8757.9035,
336.435,8752.263,
333.524,8757.1434,
330.614,8797.3818,
327.703,8828.871,
324.793,8834.2432,
321.882,8798.0787,
318.971,8882.0877,
316.061,8935.2907,
313.150,8964.5702,
310.240,8976.4441,
307.329,9014.0361,
304.418,9050.7608,
301.508,9053.0472,
298.597,8963.4568,
295.687,9017.5039,
292.776,9036.8749,
289.866,9073.9415,
286.955,9316.2434,
284.044,9498.2474,
281.134,9660.8949,
278.223,9817.2035,
275.313,9990.3645,
272.402,10205.793,
269.492,10370.996,
266.581,10456.915,
263.670,10569.398,
260.760,10699.038,
257.849,10815.077,
254.939,10892.869,
252.028,11024.167,
249.117,11096.716,
246.207,11124.254,
243.296,11125.718,
240.386,11142.2,
237.475,11145.112,
234.565,11137.14,
231.654,11145.175,
228.743,11117.531,
225.833,11089.777,
222.922,11077.811,
220.012,11119.339,
217.101,11135.329,
214.191,11139.623,
211.280,11145.443,
208.369,11162.695,
205.459,11173.271,
202.548,11182.892,
199.638,11217.723,
196.727,11288.835,
193.816,11331.059,
190.906,11322.516,
187.995,11397.815,
185.085,11465.013,
182.174,11506.957,
179.264,11492.502,
176.353,11499.846,
173.442,11497.261,
170.532,11485.807,
167.621,11502.39,
164.711,11326.08,
161.800,11007.06,
