,PLIQUI~2,
Wavenumbers [1/cm],Intensity,
1049.527,5967.9839,
1046.616,6032.2773,
1043.705,6084.2044,
1040.795,6107.7161,
1037.884,6125.132,
1034.974,6152.1417,
1032.063,6169.4388,
1029.153,6147.4588,
1026.242,6205.4109,
1023.331,6274.9957,
1020.421,6276.6493,
1017.510,6320.8043,
1014.600,6368.3815,
1011.689,6390.1924,
1008.778,6408.3423,
1005.868,6373.4035,
1002.957,6474.0649,
1000.047,6777.0601,
997.136,7122.9542,
994.226,7375.7141,
991.315,7457.1436,
988.404,7396.7982,
985.494,7371.752,
982.583,7338.3463,
979.673,7319.5987,
976.762,7361.4682,
973.852,7366.2113,
970.941,7385.3304,
968.030,7506.7831,
965.120,7457.5752,
962.209,7475.4786,
959.299,7484.166,
956.388,7452.3422,
953.477,7468.6579,
950.567,7542.7869,
947.656,7571.0382,
944.746,7521.7639,
941.835,7525.9785,
938.925,7560.4025,
936.014,7563.8427,
933.103,7537.7886,
930.193,7502.3148,
927.282,7445.0675,
924.372,7289.4759,
921.461,7164.1948,
918.551,7097.4533,
915.640,7006.8092,
912.729,6890.2264,
909.819,6825.6078,
906.908,6796.123,
903.998,6773.8205,
901.087,6781.8666,
898.176,6847.7178,
895.266,6932.1309,
892.355,6987.8083,
889.445,7048.2355,
886.534,7059.3533,
883.624,7218.9427,
880.713,7238.8505,
877.802,7087.2303,
874.892,6795.2951,
871.981,6302.2142,
869.071,5951.3408,
866.160,6132.6758,
863.250,6601.6273,
860.339,6990.4296,
857.428,7092.5085,
854.518,7047.4229,
851.607,6802.7945,
848.697,6395.2691,
845.786,6251.8155,
842.875,6385.7537,
839.965,6666.5505,
837.054,6986.6582,
834.144,7000.7469,
831.233,7031.498,
828.323,7006.4288,
825.412,6946.5383,
822.501,6885.1378,
819.591,6777.7059,
816.680,6698.3781,
813.770,6607.4522,
810.859,6521.1809,
807.949,6471.2561,
805.038,6469.1416,
802.127,6391.7676,
799.217,6396.4263,
796.306,6367.0133,
793.396,6366.027,
790.485,6390.6017,
787.574,6341.3647,
784.664,6416.815,
781.753,6491.5595,
778.843,6581.29,
775.932,6659.8577,
773.022,6695.1052,
770.111,6686.1119,
767.200,6636.0147,
764.290,6553.4662,
761.379,6515.5283,
758.469,6518.6884,
755.558,6465.3573,
752.648,6427.0709,
749.737,6399.9163,
746.826,6360.1281,
743.916,6328.7338,
741.005,6318.3599,
738.095,6175.4696,
735.184,6128.4675,
732.274,6153.8387,
729.363,6217.7607,
726.452,6297.0878,
723.542,6405.5465,
720.631,6478.7794,
717.721,6496.6358,
714.810,6527.6191,
711.899,6584.1337,
708.989,6595.4306,
706.078,6610.7248,
703.168,6573.8162,
700.257,6505.4177,
697.347,6446.8042,
694.436,6451.3254,
691.525,6444.895,
688.615,6446.0156,
685.704,6479.4453,
682.794,6512.3724,
679.883,6486.5369,
676.973,6576.2904,
674.062,6555.577,
671.151,6554.9782,
668.241,6557.4839,
665.330,6477.6134,
662.420,6480.0096,
659.509,6487.4842,
656.598,6499.7222,
