,PLD7AB~1,
Raman shift [1/cm],Intensity,
432.484,1706.6634,
429.573,1684.855,
426.663,1686.3753,
423.752,1659.3007,
420.842,1619.1855,
417.931,1597.1353,
415.020,1638.0867,
412.110,1736.8045,
409.199,1789.6149,
406.289,1791.5113,
403.378,1742.4052,
400.468,1714.4334,
397.557,1714.2405,
394.646,1704.7232,
391.736,1652.6851,
388.825,1533.5166,
385.915,1477.2123,
383.004,1469.9217,
380.094,1502.9531,
377.183,1590.2404,
374.272,1712.7433,
371.362,1801.3865,
368.451,1814.9985,
365.541,1806.7426,
362.630,1819.7947,
359.719,1845.8185,
356.809,1876.9563,
353.898,1867.9707,
350.988,1850.3104,
348.077,1834.8863,
345.167,1829.6731,
342.256,1852.8322,
339.345,1864.8143,
336.435,1867.8344,
333.524,1862.5605,
330.614,1832.7543,
327.703,1851.7373,
324.793,1876.4377,
321.882,1870.5162,
318.971,1877.2072,
316.061,1907.3339,
313.150,1941.35,
310.240,1956.9344,
307.329,1944.6365,
304.418,1944.9714,
301.508,1921.9615,
298.597,1810.8989,
295.687,1737.8394,
292.776,1722.0834,
289.866,1794.812,
286.955,2043.0238,
284.044,2254.3348,
281.134,2419.8192,
278.223,2537.2003,
275.313,2603.5173,
272.402,2709.2827,
269.492,2790.3921,
266.581,2823.9714,
263.670,2844.5565,
260.760,2888.1116,
257.849,2931.7386,
254.939,2958.1584,
252.028,2998.3115,
249.117,2991.5723,
246.207,2965.8788,
243.296,2967.3429,
240.386,2929.6265,
237.475,2888.7539,
234.565,2853.1993,
231.654,2838.5916,
228.743,2805.5809,
225.833,2772.5237,
222.922,2749.5044,
220.012,2792.4892,
217.101,2752.5213,
214.191,2681.4193,
211.280,2631.2244,
208.369,2593.8593,
205.459,2546.7577,
202.548,2507.3942,
199.638,2547.3049,
196.727,2545.1281,
193.816,2505.5916,
190.906,2433.4046,
187.995,2487.7065,
185.085,2500.8257,
182.174,2496.0671,
179.264,2501.8492,
176.353,2483.2766,
173.442,2456.91,
170.532,2425.1316,
167.621,2387.6409,
164.711,2372.2443,
161.800,2326.9488,
158.890,2208.1938,
155.979,2071.0353,
153.068,1905.9659,
150.158,1713.2678,
147.247,1488.5488,
144.337,1242.211,
141.426,987.82619,
138.516,730.46223,
135.605,516.53316,
132.694,342.19407,
129.784,210.25987,
126.873,142.32254,
123.963,99.477423,
121.052,69.567902,
118.141,49.578646,
115.231,41.683726,
112.320,33.840005,
109.410,28.181776,
106.499,31.742552,
103.589,21.29491,
100.678,12.5,
97.767,12.5,
94.857,18.043912,
91.946,18.887557,
89.036,16.387102,
86.125,15.677897,
83.215,16.561841,
80.304,15.584539,
77.393,9.919179,
74.483,14.085945,
71.572,12.876479,
68.662,6.8463375,
65.751,10.378593,
62.840,10.536596,
59.930,9.8745724,
57.019,11.284736,
54.109,12.694322,
51.198,12.293563,
48.288,9.4773502,
45.377,6.663838,
42.466,11.271071,
39.556,17.773221,
