,PLC6F4~1,
Raman shift [1/cm],Intensity,
676.973,2320.9265,
674.062,2308.4288,
671.151,2300.8083,
668.241,2317.0599,
665.330,2376.0336,
662.420,2334.4995,
659.509,2327.2699,
656.598,2330.5965,
653.688,2336.0704,
650.777,2343.405,
647.867,2355.35,
644.956,2366.049,
642.046,2337.4175,
639.135,2290.6288,
636.224,2293.2188,
633.314,2336.8854,
630.403,2381.699,
627.493,2404.6159,
624.582,2411.0629,
621.672,2442.7426,
618.761,2453.8792,
615.850,2443.7763,
612.940,2450.4183,
610.029,2481.8956,
607.119,2469.2615,
604.208,2480.7802,
601.297,2486.4985,
598.387,2482.9871,
595.476,2473.2971,
592.566,2476.4454,
589.655,2451.7323,
586.745,2426.2828,
583.834,2409.4629,
580.923,2404.3222,
578.013,2457.6842,
575.102,2428.9809,
572.192,2399.1437,
569.281,2409.6082,
566.371,2446.3915,
563.460,2450.7055,
560.549,2472.4403,
557.639,2500.1027,
554.728,2514.3942,
551.818,2520.6367,
548.907,2509.2023,
545.996,2536.7686,
543.086,2595.1809,
540.175,2605.3033,
537.265,2557.4733,
534.354,2576.1251,
531.444,2603.247,
528.533,2578.6622,
525.622,2587.9736,
522.712,2614.8769,
519.801,2668.4243,
516.891,2730.7216,
513.980,2739.2388,
511.070,2793.5304,
508.159,2843.2213,
505.248,2883.7656,
502.338,2917.6266,
499.427,2973.1985,
496.517,2998.7475,
493.606,3049.0615,
490.695,3126.5438,
487.785,3087.2845,
484.874,3066.7831,
481.964,3081.8403,
479.053,3106.0941,
476.143,3073.0717,
473.232,3068.8418,
470.321,3056.8087,
467.411,3026.2587,
464.500,2972.7454,
461.590,3041.662,
458.679,3029.0829,
455.769,3029.4654,
452.858,3086.3637,
449.947,3080.2523,
447.037,3071.1121,
444.126,3101.4909,
441.216,3163.852,
438.305,3174.5191,
435.395,3195.0135,
432.484,3210.001,
429.573,3215.58,
426.663,3209.4989,
423.752,3248.7529,
420.842,3239.5122,
417.931,3226.7458,
415.020,3292.7229,
412.110,3330.849,
409.199,3338.621,
406.289,3344.807,
403.378,3380.918,
400.468,3356.7262,
397.557,3366.9952,
394.646,3394.2351,
391.736,3421.1066,
388.825,3393.2001,
385.915,3352.5362,
383.004,3328.5687,
380.094,3343.9925,
377.183,3422.25,
374.272,3482.5374,
371.362,3513.5284,
368.451,3509.8632,
365.541,3507.6116,
362.630,3526.6647,
359.719,3548.0314,
356.809,3562.1748,
353.898,3598.1171,
350.988,3615.0523,
348.077,3613.7398,
345.167,3596.5298,
342.256,3606.9887,
339.345,3595.6513,
336.435,3593.2709,
333.524,3620.3523,
330.614,3631.5297,
327.703,3669.3981,
324.793,3686.2747,
321.882,3640.9784,
318.971,3632.0571,
316.061,3665.1352,
313.150,3707.85,
310.240,3723.4344,
307.329,3760.4465,
304.418,3754.9381,
301.508,3728.8338,
298.597,3720.6893,
295.687,3764.0206,
292.776,3778.3333,
289.866,3797.18,
286.955,3930.8893,
284.044,4043.6099,
281.134,4143.5454,
278.223,4230.0536,
275.313,4291.9494,
272.402,4376.4511,
269.492,4445.7438,
266.581,4488.8347,
263.670,4556.4712,
260.760,4635.5517,
257.849,4695.1325,
254.939,4709.8102,
252.028,4770.803,
249.117,4812.7299,
246.207,4826.2871,
243.296,4792.6134,
240.386,4768.7573,
237.475,4770.294,
234.565,4789.3098,
231.654,4784.9275,
228.743,4727.6139,
225.833,4660.0838,
222.922,4601.1019,
220.012,4603.2876,
217.101,4607.9257,
214.191,4616.3712,
211.280,4630.9205,
208.369,4586.2487,
205.459,4562.8022,
202.548,4560.3733,
199.638,4556.745,
196.727,4621.6886,
193.816,4651.9386,
190.906,4611.4983,
187.995,4654.2157,
185.085,4663.7986,
182.174,4661.1341,
179.264,4672.6984,
176.353,4672.7184,
173.442,4691.9407,
170.532,4719.2713,
167.621,4652.9416,
164.711,4597.6847,
161.800,4497.8893,
158.890,4304.2826,
155.979,4093.01,
153.068,3804.2507,
150.158,3433.2834,
147.247,2952.9733,
144.337,2484.6497,
141.426,1989.3832,
138.516,1445.2628,
135.605,1041.8443,
132.694,718.64549,
129.784,468.83,
126.873,298.6291,
123.963,202.54043,
121.052,136.45304,
118.141,87.193806,
115.231,79.183726,
112.320,64.56183,
109.410,47.636447,
106.499,40.514895,
103.589,44.04229,
100.678,43.925674,
97.767,33.261611,
94.857,33.692989,
91.946,32.387557,
89.036,29.209715,
86.125,24.245278,
83.215,23.53092,
80.304,24.239433,
77.393,24.947603,
74.483,21.724325,
71.572,20,
68.662,19.515128,
65.751,14.56997,
62.840,13,
59.930,13.749145,
57.019,16.569473,
54.109,12.819874,
51.198,11.206437,
48.288,13.983013,
45.377,11.872878,
42.466,14.709974,
39.556,19.539526,
36.645,16.730765,
33.735,10.807515,
30.824,5.779113,
27.914,5.0779378,
25.003,6.245275,
22.092,5.3854772,
19.182,2.2288286,
16.271,9.22373,
13.361,16.636038,
10.450,5.572485,
7.539,-95.683243,
4.629,-368.80334,
1.718,-656.23389,
-1.192,-839.5829,
-4.103,-597.44843,
-7.013,-296.79049,
-9.924,-1,
