,PLAB12~1,
Wavenumbers [1/cm],Intensity,
775.932,2967.4937,
773.022,2986.3085,
770.111,2956.0581,
767.200,2962.3744,
764.290,2943.0406,
761.379,2924.2429,
758.469,2915.3961,
755.558,2898.5835,
752.648,2918.134,
749.737,2901.7635,
746.826,2886.3378,
743.916,2884.3507,
741.005,2891.7161,
738.095,2880.3499,
735.184,2826.0856,
732.274,2805,
729.363,2797.9392,
726.452,2799.7872,
723.542,2887.2017,
720.631,2908.8199,
717.721,2911.7086,
714.810,2926.3692,
711.899,2948.6733,
708.989,2930.114,
706.078,3003.7199,
703.168,2981.9234,
700.257,2945.6857,
697.347,2931,
694.436,2931.0218,
691.525,2931.8256,
688.615,2927.5976,
685.704,2923.2732,
682.794,2919.1277,
679.883,2915.0905,
676.973,2961.57,
674.062,2949.3052,
671.151,2953.6565,
668.241,2966.8996,
665.330,2939.6386,
662.420,2910.8843,
659.509,2920.8733,
656.598,2922.6433,
653.688,2928.6429,
650.777,2982.5391,
647.867,3027.9298,
644.956,2935.2211,
642.046,2798.2015,
639.135,2692.3231,
636.224,2686.744,
633.314,2835.2105,
630.403,2907.2902,
627.493,2949.4356,
624.582,2975.9983,
621.672,2962.5344,
618.761,2945.2813,
615.850,2982.4261,
612.940,3031.0029,
610.029,3058.9207,
607.119,3064.4481,
604.208,3040.1495,
601.297,3039.9704,
598.387,3050.2866,
595.476,3046.2461,
592.566,2995.8738,
589.655,3002.5494,
586.745,2974.9806,
583.834,2937.2225,
580.923,2970.0332,
578.013,2975.5263,
575.102,2982.1623,
572.192,2975.2815,
569.281,2959.7962,
566.371,2980.927,
563.460,2975.2398,
560.549,3011.9568,
557.639,3056.4171,
554.728,3063.1971,
551.818,3066.3183,
548.907,3104.1742,
545.996,3116.3363,
543.086,3114.4407,
540.175,3190.748,
537.265,3157.6132,
534.354,3160.0575,
531.444,3178.3933,
528.533,3184.0417,
525.622,3212.7518,
522.712,3246.9107,
519.801,3273.0195,
516.891,3297.2684,
513.980,3353.0177,
511.070,3417.1652,
508.159,3437.2243,
505.248,3458.2881,
502.338,3538.0844,
499.427,3575.1324,
496.517,3616.6767,
493.606,3663.2085,
490.695,3711.0654,
487.785,3740.3175,
484.874,3750.1698,
481.964,3731.8208,
479.053,3704.2063,
476.143,3713.4218,
473.232,3688.8209,
470.321,3669.2685,
467.411,3672.6761,
464.500,3713.0388,
461.590,3714.5703,
458.679,3756.2721,
455.769,3801.9724,
452.858,3829.9884,
449.947,3849.0867,
447.037,3871.8096,
444.126,3911.7273,
441.216,3959.2646,
438.305,3960.7884,
435.395,3952.4767,
432.484,3960.5026,
429.573,3935.7545,
426.663,3754.841,
423.752,3115.1125,
420.842,2306.9373,
417.931,1691.2706,
415.020,1773.1733,
412.110,2858.7875,
409.199,3501.9655,
406.289,3720.8732,
403.378,3603.5287,
400.468,3464.4257,
397.557,3556.7638,
394.646,3797.5091,
