,PLE6E5~1,
Wavenumbers [1/cm],Intensity,
938.925,3416.6021,
936.014,3393.2696,
933.103,3387.4885,
930.193,3420.7389,
927.282,3371.642,
924.372,3307.3759,
921.461,3271.8782,
918.551,3212.1647,
915.640,3160.827,
912.729,3138.2465,
909.819,3132.1242,
906.908,3124.5423,
903.998,3117.7621,
901.087,3150.4963,
898.176,3187.304,
895.266,3217.5514,
892.355,3239.9262,
889.445,3228.1764,
886.534,3260.685,
883.624,3320.2787,
880.713,3318.5658,
877.802,3185.1284,
874.892,2875.6555,
871.981,2386.1154,
869.071,2046.9378,
866.160,2340.6944,
863.250,2784.2913,
860.339,3109.3502,
857.428,3229.0815,
854.518,3224.3629,
851.607,2921.4896,
848.697,2590.5591,
845.786,2475.0233,
842.875,2629.4885,
839.965,2951.1119,
837.054,3193.5902,
834.144,3235.0278,
831.233,3241.1251,
828.323,3249.0273,
825.412,3251.6857,
822.501,3232.1674,
819.591,3199.1114,
816.680,3158.8621,
813.770,3112.7878,
810.859,3085.2589,
807.949,3073.9908,
805.038,3062.229,
802.127,3054.8208,
799.217,3051.8888,
796.306,3058.5034,
793.396,3077.7511,
790.485,3092.3864,
787.574,3068.246,
784.664,3097.77,
781.753,3134.6612,
778.843,3161.3969,
775.932,3181.7668,
773.022,3201.2518,
770.111,3202.0694,
767.200,3177.763,
764.290,3186.3056,
761.379,3185.9151,
758.469,3159.3821,
755.558,3130.3681,
752.648,3138.5142,
749.737,3116.6246,
746.826,3122.3076,
743.916,3131.1183,
741.005,3093.7974,
738.095,3037.7779,
735.184,3028.2648,
732.274,2996.0971,
729.363,3008.8089,
726.452,3092.6333,
723.542,3112.0587,
720.631,3138.3548,
717.721,3167.3203,
714.810,3199.8749,
711.899,3218.4715,
708.989,3181.353,
706.078,3196.3498,
703.168,3187.3734,
700.257,3191.5022,
697.347,3203.4734,
694.436,3183.0595,
691.525,3180.6481,
688.615,3180.7539,
685.704,3178.1031,
682.794,3184.8908,
679.883,3219.9087,
676.973,3215.1005,
674.062,3230.0771,
671.151,3233.4267,
668.241,3215.1656,
665.330,3180.4275,
662.420,3186.8174,
659.509,3209.0777,
656.598,3216.3648,
653.688,3214.2658,
650.777,3227.666,
647.867,3214.1284,
644.956,3118.8716,
642.046,2953.9149,
639.135,2822.5051,
636.224,2903.9048,
633.314,3059.5168,
630.403,3172.4351,
627.493,3234.6472,
624.582,3252.7719,
621.672,3251.1879,
618.761,3260.2443,
615.850,3293.9803,
612.940,3314.3435,
610.029,3305.9141,
607.119,3310.6519,
604.208,3286.2745,
601.297,3301.5494,
598.387,3321.3924,
595.476,3305.4909,
592.566,3288.1754,
589.655,3278.6461,
586.745,3246.4831,
583.834,3228.2288,
580.923,3295.9449,
578.013,3266.125,
575.102,3269.5968,
572.192,3266.6919,
569.281,3246.5468,
566.371,3248.8947,
563.460,3276.6383,
560.549,3310.5398,
557.639,3335.4678,
554.728,3339.9626,
551.818,3353.228,
548.907,3379.8921,
545.996,3388.9044,
543.086,3384.4934,
540.175,3409.4101,
537.265,3432.1291,
534.354,3415.5422,
531.444,3404.5006,
528.533,3444.4225,
525.622,3518.9134,
522.712,3518.7427,
519.801,3525.3096,
516.891,3558.2897,
513.980,3583.8414,
511.070,3603.0293,
508.159,3635.436,
505.248,3703.6837,
502.338,3825.0572,
499.427,3822.7417,
496.517,3891.135,
493.606,3960.6131,
490.695,3992.5901,
487.785,3988.7411,
484.874,4013.974,
481.964,4028.5403,
479.053,4018.0935,
476.143,3972.0158,
473.232,3939.6294,
470.321,3938.3431,
467.411,3933.1696,
464.500,3886.9395,
461.590,3919.1006,
458.679,3963.8942,
455.769,4010.1385,
452.858,4052.8515,
449.947,4107.8546,
447.037,4150.6765,
444.126,4192.5674,
441.216,4219.3357,
438.305,4162.9527,
435.395,4185.9399,
432.484,4200.0412,
429.573,4161.2696,
426.663,4007.7212,
423.752,3268.4144,
420.842,2359.4332,
417.931,1687.1691,
415.020,1806.9897,
412.110,2966.3422,
409.199,3675.6993,
406.289,3917.0578,
403.378,3741.7075,
400.468,3618.4804,
397.557,3717.9454,
394.646,3972.4853,
391.736,4308.9117,
388.825,4364.7248,
385.915,4400.284,
383.004,4431.4022,
380.094,4468.4302,
377.183,4494.0144,
374.272,4513.6089,
371.362,4537.3697,
368.451,4569.8089,
365.541,4581.0669,
362.630,4593.9573,
359.719,4611.8919,
356.809,4633.0408,
353.898,4598.5961,
350.988,4588.04,
348.077,4595.8373,
345.167,4617.7305,
342.256,4629.6836,
339.345,4644.8165,
336.435,4659.2889,
333.524,4669.5613,
330.614,4651.6776,
327.703,4655.8797,
324.793,4680.0769,
321.882,4723.1611,
318.971,4738.0299,
316.061,4759.2394,
313.150,4805.6868,
310.240,4900.6777,
307.329,4910.5567,
304.418,4977.4144,
301.508,5043.2942,
298.597,5002.5713,
295.687,5014.0243,
292.776,5062.3752,
289.866,5133.8258,
286.955,5198.8336,
284.044,5258.0924,
281.134,5350.4442,
278.223,5462.0051,
275.313,5488.5319,
272.402,5435.4538,
269.492,5325.0016,
266.581,5169.9796,
263.670,5056.0267,
260.760,5208.0487,
257.849,5446.1577,
254.939,5643.5721,
252.028,5677.9742,
249.117,5739.4624,
246.207,5847.3718,
243.296,6037.7014,
240.386,6139.749,
237.475,6229.6116,
234.565,6306.5407,
231.654,6321.8788,
228.743,6386.114,
225.833,6446.6747,
222.922,6485.7262,
220.012,6562.9531,
217.101,6633.2709,
214.191,6710.942,
211.280,6813.5143,
208.369,6885.7151,
205.459,6952.259,
202.548,7012.6459,
199.638,7056.1849,
196.727,7089.3261,
193.816,7143.8498,
190.906,7232.8581,
187.995,7339.2897,
185.085,7435.232,
182.174,7499.362,
179.264,7492.8572,
176.353,7515.193,
173.442,7524.4994,
170.532,7509.0522,
167.621,7431.1869,
164.711,7214.6138,
161.800,6903.446,
158.890,6509.0353,
155.979,6131.336,
153.068,5696.5157,
150.158,5186.6044,
147.247,4531.114,
144.337,3781.2016,
141.426,3020.3962,
138.516,2285.5826,
135.605,1614.4909,
132.694,1094.8884,
129.784,709.53378,
126.873,449.94165,
123.963,304.93564,
121.052,209.34568,
118.141,144.3806,
115.231,120.67618,
112.320,101.80501,
109.410,86.53425,
106.499,73.003301,
103.589,57.799402,
100.678,47.581757,
97.767,46.159881,
94.857,48.203967,
91.946,44.69078,
89.036,36.431531,
86.125,25.793452,
83.215,28.965124,
80.304,31.970106,
77.393,25.596576,
74.483,29.710945,
71.572,28.863831,
68.662,23.055733,
65.751,22.349281,
62.840,19.71649,
59.930,16.001283,
57.019,11.770791,
54.109,17.693769,
51.198,20.918563,
48.288,18.085363,
45.377,13.161716,
42.466,14.010535,
39.556,18.125,
36.645,18.125,
33.735,22.278988,
30.824,25.683226,
27.914,24.280876,
25.003,22.257088,
22.092,22.739523,
19.182,27.040315,
16.271,55.01992,
13.361,203.5203,
10.450,522.53089,
7.539,1280.2031,
4.629,1928.393,
1.718,2293.1806,
-1.192,2104.2544,
-4.103,1296.2314,
-7.013,550.25135,
-9.924,1.125,
