,PLC19D~1,
Wavenumbers [1/cm],Intensity,
1529.772,6388.9068,
1526.861,6326.9382,
1523.951,6317.6315,
1521.040,6351.9629,
1518.130,6312.8742,
1515.219,6202.1713,
1512.309,6144.8716,
1509.398,6079.1154,
1506.487,5966.6054,
1503.577,5860.0242,
1500.666,5780.0042,
1497.756,5751.809,
1494.845,5716.6469,
1491.934,5582.4075,
1489.024,5630.5321,
1486.113,5546.019,
1483.203,5399.8077,
1480.292,5348.3095,
1477.382,5281.6314,
1474.471,5169.0255,
1471.560,5175.5333,
1468.650,5086.0757,
1465.739,5008.7875,
1462.829,4999.4118,
1459.918,4985.4653,
1457.008,4920.4955,
1454.097,4869.9392,
1451.186,4884.3003,
1448.276,4908.25,
1445.365,4933.3258,
1442.455,4972.8573,
1439.544,4932.5388,
1436.633,4918.5221,
1433.723,4923.7666,
1430.812,4886.3582,
1427.902,4900.5882,
1424.991,4914.8047,
1422.081,4911.5801,
1419.170,4957.0452,
1416.259,4956.1494,
1413.349,4937.6347,
1410.438,4989.6319,
1407.528,4948.5883,
1404.617,4912.25,
1401.707,4881.5135,
1398.796,4878.3234,
1395.885,4923.0257,
1392.975,4919.9155,
1390.064,4864.424,
1387.154,4865.5311,
1384.243,4901.3193,
1381.332,4917.6686,
1378.422,4978.8627,
1375.511,5165.2821,
1372.601,5263.1717,
1369.690,5333.8272,
1366.780,5486.8163,
1363.869,5531.5148,
1360.958,5613.476,
1358.048,5762.8261,
1355.137,5887.7157,
1352.227,5969.8515,
1349.316,6064.9643,
1346.406,6177.8619,
1343.495,6268.9173,
1340.584,6353.6419,
1337.674,6427.0421,
1334.763,6528.9549,
1331.853,6626.3142,
1328.942,6637.3657,
1326.032,6813.6084,
1323.121,6976.2501,
1320.210,7116.4744,
1317.300,7241.3899,
1314.389,7398.5715,
1311.479,7552.2981,
1308.568,7683.9533,
1305.657,7844.5081,
1302.747,8014.2399,
1299.836,8188.0685,
1296.926,8425.1631,
1294.015,8638.4462,
1291.105,8946.6342,
1288.194,9200.5144,
1285.283,9448.2868,
1282.373,9639.7886,
1279.462,9862.7176,
1276.552,10031.667,
1273.641,10103.304,
1270.731,10144.838,
1267.820,10169.725,
1264.909,10245.227,
1261.999,10144.315,
1259.088,10173.503,
1256.178,9944.0068,
1253.267,9772.5252,
1250.356,9477.6025,
1247.446,9085.7688,
1244.535,8747.5808,
1241.625,8433.7505,
1238.714,8093.8596,
1235.804,7811.5902,
1232.893,7562.777,
1229.982,7434.7612,
1227.072,7272.7103,
1224.161,7136.8554,
1221.251,7009.7632,
1218.340,6932.1422,
1215.430,6827.2202,
1212.519,6728.1041,
1209.608,6684.9975,
