,PLD84B~1,
Raman shift [1/cm],Intensity,
720.631,3704.8548,
717.721,3750.4328,
714.810,3775.5796,
711.899,3771.0012,
708.989,3772.6151,
706.078,3755.7976,
703.168,3751.0178,
700.257,3744.4364,
697.347,3720.4092,
694.436,3666.236,
691.525,3688.7426,
688.615,3675.3866,
685.704,3657.2862,
682.794,3657.9228,
679.883,3691.9133,
676.973,3698.3243,
674.062,3696.4346,
671.151,3719.6098,
668.241,3733.9946,
665.330,3679.2511,
662.420,3713.5966,
659.509,3743.4825,
656.598,3763.549,
653.688,3770.0945,
650.777,3762.084,
647.867,3775.6216,
644.956,3816.3932,
642.046,3778.6791,
639.135,3710.2322,
636.224,3776.5613,
633.314,3763.8583,
630.403,3761.8074,
627.493,3782.2128,
624.582,3819.9816,
621.672,3848.4934,
618.761,3862.544,
615.850,3878.7467,
612.940,3907.7509,
610.029,3940.6793,
607.119,3916.9904,
604.208,3922.4351,
601.297,3908.6754,
598.387,3910.5427,
595.476,3953.5396,
592.566,3910.2509,
589.655,3883.8362,
586.745,3867.1155,
583.834,3846.987,
580.923,3805.4828,
578.013,3781.9408,
575.102,3764.1532,
572.192,3803.5011,
569.281,3891.4528,
566.371,3901.6269,
563.460,3910.3852,
560.549,3931.6543,
557.639,3946.5966,
554.728,3938.6306,
551.818,3986.2298,
548.907,4010.6415,
545.996,4014.5707,
543.086,3998.4046,
540.175,3960.251,
537.265,4008.3246,
534.354,4036.6554,
531.444,4059.8366,
528.533,4097.232,
525.622,4105.7674,
522.712,4124.0073,
519.801,4152.9552,
516.891,4191.3893,
513.980,4234.7499,
511.070,4304.1293,
508.159,4330.1923,
505.248,4337.8884,
502.338,4367.1613,
499.427,4419.6458,
496.517,4481.1401,
493.606,4498.445,
490.695,4468.5418,
487.785,4525.5064,
484.874,4540.441,
481.964,4519.5389,
479.053,4498.8628,
476.143,4554.1561,
473.232,4541.0787,
470.321,4524.8935,
467.411,4510.5728,
464.500,4499.2844,
461.590,4525.3195,
458.679,4528.2226,
455.769,4509.5019,
452.858,4482.6697,
449.947,4540.7284,
447.037,4562.9399,
444.126,4560.3826,
441.216,4548.9905,
438.305,4574.1343,
435.395,4575.0025,
432.484,4541.5351,
429.573,4501.7726,
426.663,4523.8166,
423.752,4489.3592,
420.842,4444.8538,
417.931,4414.5034,
415.020,4428.1539,
412.110,4566.8999,
409.199,4655.7668,
406.289,4700.7906,
403.378,4716.543,
400.468,4692.3512,
397.557,4662.0024,
394.646,4628.7738,
391.736,4594.5485,
388.825,4529.6847,
385.915,4481.8865,
383.004,4462.0503,
380.094,4483.226,
377.183,4632.2163,
374.272,4739.8442,
371.362,4801.8059,
368.451,4819.7708,
365.541,4871.5578,
362.630,4896.5498,
359.719,4928.4145,
356.809,4980.5861,
353.898,4946.8902,
350.988,4975.5991,
348.077,5011.6907,
345.167,5019.1275,
342.256,4969.821,
339.345,5003.4539,
336.435,5048.6785,
333.524,5056.8364,
330.614,5063.5428,
327.703,5098.4829,
324.793,5118.7978,
321.882,5087.7638,
318.971,5145.0089,
316.061,5172.9263,
313.150,5206.1059,
310.240,5284.7702,
307.329,5261.8981,
304.418,5267.1274,
301.508,5272.2342,
298.597,5221.8858,
295.687,5236.5877,
292.776,5310.2087,
289.866,5447.6435,
286.955,5670.7386,
284.044,5822.1674,
281.134,5940.1327,
278.223,6061.7494,
275.313,6329.2279,
272.402,6482.0549,
269.492,6589.9642,
266.581,6680.4551,
263.670,6789.9969,
260.760,6886.9229,
257.849,6977.9335,
254.939,7067.4672,
252.028,7123.6372,
249.117,7151.0206,
246.207,7152.5639,
243.296,7129.1387,
240.386,7121.4011,
237.475,7072.1384,
234.565,6996.1296,
231.654,6986.6346,
228.743,6893.1415,
225.833,6778.9759,
222.922,6672.2513,
220.012,6664.2372,
217.101,6611.0813,
214.191,6549.4455,
211.280,6518.892,
208.369,6500.4775,
205.459,6467.8715,
202.548,6428.3687,
199.638,6415.307,
196.727,6454.1125,
193.816,6468.0688,
