,PLDE21~1,
Raman shift [1/cm],Intensity,
281.134,2433.98,
278.223,2595.1913,
275.313,2651.1923,
272.402,2771.048,
269.492,2870.8628,
266.581,2920.3648,
263.670,2953.4479,
260.760,2961.4329,
257.849,2986.176,
254.939,3061.032,
252.028,3069.9623,
249.117,3042.3926,
246.207,3009.7882,
243.296,3024.429,
240.386,2986.1675,
237.475,2951.1693,
234.565,2922.213,
231.654,2879.1204,
228.743,2847.5606,
225.833,2814.8405,
222.922,2778.7474,
220.012,2794.7756,
217.101,2766.1406,
214.191,2712.8595,
211.280,2652.4801,
208.369,2639.2534,
205.459,2625.8172,
202.548,2603.727,
199.638,2555.8341,
196.727,2558.6768,
193.816,2539.7039,
190.906,2476.5395,
187.995,2548.9419,
185.085,2530.0244,
182.174,2492.753,
179.264,2536.119,
176.353,2499.9901,
173.442,2479.9005,
170.532,2478.9515,
167.621,2427.0412,
164.711,2358.341,
161.800,2297.6948,
158.890,2264.5874,
155.979,2123.3188,
153.068,1954.0622,
150.158,1762.1115,
147.247,1545.2899,
144.337,1255.5422,
141.426,967.79991,
138.516,716.88797,
135.605,500.90933,
132.694,338.83234,
129.784,223.78429,
126.873,150.84104,
123.963,103.563,
121.052,72.201059,
118.141,55.067411,
115.231,47.894296,
112.320,36.950917,
109.410,25.863645,
106.499,25.15149,
103.589,23.319237,
100.678,21.456757,
97.767,20.034881,
94.857,20,
91.946,19.193778,
89.036,17.43551,
86.125,13.889484,
83.215,15.123681,
80.304,17,
77.393,17,
74.483,15.68973,
71.572,14.275296,
68.662,12.653663,
65.751,9.1214071,
62.840,7.036596,
59.930,6.3745724,
57.019,7.7847364,
54.109,9.7914825,
51.198,11.904828,
48.288,14.011325,
45.377,15.418081,
42.466,15.587781,
39.556,14.424407,
36.645,10.913456,
33.735,15.711733,
30.824,22.104435,
27.914,25.610311,
25.003,32.849012,
22.092,39.260332,
19.182,45.167026,
16.271,80.841023,
13.361,315.84398,
10.450,807.69792,
7.539,1904.053,
4.629,2888.104,
1.718,3391.8313,
-1.192,2898.9501,
-4.103,1773.1861,
-7.013,756.52768,
-9.924,8.1191178E-17,
