,PL9A1E~1,
Raman shift [1/cm],Intensity,
767.200,3716.7523,
764.290,3725.32,
761.379,3732.5543,
758.469,3714.7164,
755.558,3684.4995,
752.648,3625.848,
749.737,3610.9861,
746.826,3587.8038,
743.916,3534.2106,
741.005,3446.9615,
738.095,3338.17,
735.184,3203.6899,
732.274,3168.9233,
729.363,3269.3424,
726.452,3456.2598,
723.542,3528.2958,
720.631,3574.2996,
717.721,3590.6871,
714.810,3587.5398,
711.899,3582.2005,
708.989,3599.1459,
706.078,3621.6865,
703.168,3551.9546,
700.257,3516.0397,
697.347,3534.9021,
694.436,3536.2025,
691.525,3497.6199,
688.615,3490.5078,
685.704,3498.5888,
682.794,3504.9734,
679.883,3494.7546,
676.973,3505.9738,
674.062,3513.9927,
671.151,3508.4834,
668.241,3492.9615,
665.330,3480.9517,
662.420,3516.8947,
659.509,3531.2342,
656.598,3521.402,
653.688,3508.3109,
650.777,3524.764,
647.867,3510.4301,
644.956,3484.9606,
642.046,3478.7128,
639.135,3501.4073,
636.224,3547.2142,
633.314,3540.0687,
630.403,3534.1115,
627.493,3566.9689,
624.582,3619.6591,
621.672,3599.0673,
618.761,3610.409,
615.850,3640.1464,
612.940,3678.3267,
610.029,3713.0913,
607.119,3724.1461,
604.208,3700.3995,
601.297,3704.2085,
598.387,3710.7976,
595.476,3684.9706,
592.566,3607.838,
589.655,3655.1517,
586.745,3650.0608,
583.834,3598.2737,
580.923,3591.1126,
578.013,3568.3553,
575.102,3602.9748,
572.192,3635.751,
569.281,3643.4838,
566.371,3661.4841,
563.460,3671.0102,
560.549,3683.9956,
557.639,3702.844,
554.728,3729.157,
551.818,3775.1957,
548.907,3752.3417,
545.996,3751.0783,
543.086,3791.6447,
540.175,3835.2489,
537.265,3828.1101,
534.354,3861.3751,
531.444,3890.1689,
528.533,3874.6579,
525.622,3950.7007,
522.712,3956.3284,
519.801,3993.93,
516.891,4076.1098,
513.980,4124.8905,
511.070,4201.7978,
508.159,4265.2021,
505.248,4317.0228,
502.338,4365.9218,
499.427,4423.0374,
496.517,4508.957,
493.606,4564.596,
490.695,4572.4922,
487.785,4610.212,
484.874,4593.6322,
481.964,4588.725,
479.053,4605.685,
476.143,4632.5637,
473.232,4563.029,
470.321,4526.005,
467.411,4513.2109,
464.500,4505.1421,
461.590,4540.3661,
458.679,4589.3209,
455.769,4629.1266,
452.858,4644.5002,
449.947,4627.6937,
447.037,4611.508,
444.126,4615.45,
441.216,4641.4092,
438.305,4671.1246,
435.395,4689.674,
432.484,4716.4206,
429.573,4744.4925,
426.663,4749.8135,
423.752,4757.9216,
420.842,4777.6907,
417.931,4791.8633,
415.020,4772.9043,
412.110,4792.0036,
409.199,4898.5164,
406.289,4983.5556,
403.378,4926.4191,
400.468,4976.3147,
397.557,4979.9104,
394.646,4970.6741,
391.736,4976.5257,
388.825,4953.8987,
385.915,4933.9452,
383.004,4951.3754,
380.094,5026.8988,
377.183,5078.8197,
374.272,5132.873,
371.362,5195.3884,
368.451,5265.3412,
365.541,5266.8423,
362.630,5286.9147,
359.719,5332.2548,
356.809,5401.0235,
353.898,5397.2795,
350.988,5392.4526,
348.077,5390.9925,
345.167,5392.4876,
342.256,5337.9516,
339.345,5392.9305,
336.435,5440.26,
333.524,5401.203,
330.614,5399.7127,
327.703,5423.8934,
324.793,5456.0149,
321.882,5481.3005,
318.971,5502.1169,
316.061,5559.5464,
313.150,5616.1762,
310.240,5628.7922,
307.329,5713.5772,
304.418,5757.7369,
301.508,5772.2192,
298.597,5779.6234,
295.687,5815.4665,
292.776,5883.0836,
289.866,6006.2506,
286.955,6252.9849,
284.044,6422.3399,
281.134,6579.4916,
278.223,6745.0753,
275.313,6955.8159,
272.402,7107.1362,
269.492,7230.8274,
266.581,7343.2841,
263.670,7511.6404,
260.760,7640.697,
257.849,7735.5501,
254.939,7796.4623,
252.028,7845.7476,
249.117,7884.3504,
246.207,7907.6818,
243.296,7905.4857,
240.386,7869.9884,
237.475,7809.7578,
234.565,7717.2523,
231.654,7552.1856,
228.743,7493.0845,
225.833,7450.8583,
222.922,7391.377,
220.012,7308.3217,
217.101,7233.1599,
214.191,7155.7114,
211.280,7064.0511,
208.369,7039.084,
205.459,7011.086,
202.548,6988.6428,
199.638,7025.6509,
196.727,6968.1376,
193.816,6973.832,
190.906,7096.32,
187.995,7041.2941,
185.085,7063.3885,
182.174,7125.9001,
179.264,7187.3352,
176.353,7180.1529,
173.442,7191.103,
170.532,7218.0335,
167.621,7164.6813,
164.711,7069.3126,
161.800,6921.2918,
158.890,6701.7749,
155.979,6293.4324,
153.068,5809.563,
150.158,5250.4314,
147.247,4575.5563,
144.337,3796.7905,
141.426,3004.4274,
138.516,2238.0707,
135.605,1638.1181,
132.694,1134.8751,
129.784,732.21626,
126.873,475.48465,
123.963,325.36994,
121.052,227.17042,
118.141,166.48875,
115.231,121.48407,
112.320,88.422743,
109.410,67.977289,
106.499,66.552979,
103.589,64.569237,
100.678,60.533783,
97.767,53.424407,
94.857,44.934131,
91.946,37.218891,
89.036,32.040285,
86.125,37.004722,
83.215,36.657239,
80.304,31.419077,
77.393,20.088358,
74.483,33.007834,
71.572,36.988831,
68.662,29.933918,
65.751,16.511347,
62.840,20.920636,
59.930,28.564424,
57.019,22.218686,
54.109,21.25,
51.198,20.345172,
48.288,18.233013,
45.377,16.122878,
42.466,14.013342,
39.556,13.516304,
36.645,21.240397,
33.735,17.538267,
30.824,12.25,
27.914,12.25,
25.003,15.985825,
22.092,20.187427,
19.182,24.501711,
16.271,32.196103,
13.361,104.36911,
10.450,233.38389,
7.539,431.70546,
4.629,458.4664,
1.718,312.73282,
-1.192,-86.730996,
-4.103,-125.59661,
-7.013,-82.483405,
-9.924,-1.75,
