,PL2F1D~1,
Raman shift [1/cm],Intensity,
732.274,3078.9203,
729.363,3117.9186,
726.452,3272.1725,
723.542,3383.8688,
720.631,3368.5929,
717.721,3402.0992,
714.810,3412.966,
711.899,3398.5545,
708.989,3469.5639,
706.078,3399.4853,
703.168,3373.4989,
700.257,3368,
697.347,3367.7826,
694.436,3366.2581,
691.525,3338.9287,
688.615,3311.617,
685.704,3313.2459,
682.794,3324.9788,
679.883,3302.865,
676.973,3322.0979,
674.062,3340.6759,
671.151,3357.3283,
668.241,3371.0972,
665.330,3382.2479,
662.420,3408.6061,
659.509,3397.4918,
656.598,3381.076,
653.688,3379.8214,
650.777,3405.0549,
647.867,3377.1834,
644.956,3386.4788,
642.046,3378.1723,
639.135,3357.821,
636.224,3376.0477,
633.314,3385.575,
630.403,3384.4527,
627.493,3388.5293,
624.582,3409.4177,
621.672,3456.1454,
618.761,3499.0367,
615.850,3536.2435,
612.940,3552.2431,
610.029,3546.0522,
607.119,3552.3692,
604.208,3574.3004,
601.297,3586.4896,
598.387,3570.2224,
595.476,3524.9368,
592.566,3566.6514,
589.655,3583.0705,
586.745,3544.1692,
583.834,3492.0504,
580.923,3510.1185,
578.013,3529.7368,
575.102,3541.3095,
572.192,3532.4232,
569.281,3513.624,
566.371,3544.9289,
563.460,3522.6031,
560.549,3518.8219,
557.639,3550.7078,
554.728,3617.5073,
551.818,3609.7041,
548.907,3598.8588,
545.996,3625.2695,
543.086,3674.6579,
540.175,3668.4287,
537.265,3641.2017,
534.354,3663.1082,
531.444,3680.2311,
528.533,3644.6487,
525.622,3681.8942,
522.712,3707.5958,
519.801,3754.5149,
516.891,3815.9126,
513.980,3835.27,
511.070,3889.1217,
508.159,3951.1156,
505.248,4008.2692,
502.338,4047.7063,
499.427,4037.6725,
496.517,4074.0303,
493.606,4125.872,
490.695,4175.633,
487.785,4223.3601,
484.874,4203.8586,
481.964,4185.6778,
479.053,4179.713,
476.143,4174.3373,
473.232,4176.8776,
470.321,4124.9632,
467.411,4080.1435,
464.500,4113.1164,
