,PL9BEC~1,
Raman shift [1/cm],Intensity,
397.557,1657.6864,
394.646,1639.9315,
391.736,1628.5687,
388.825,1501.8578,
385.915,1415.131,
383.004,1396.7528,
380.094,1463.5023,
377.183,1539.5024,
374.272,1620.8736,
371.362,1700.7634,
368.451,1769.0293,
365.541,1742.7605,
362.630,1756.9284,
359.719,1779.9524,
356.809,1792.3985,
353.898,1788.6545,
350.988,1753.4483,
348.077,1736.5318,
345.167,1766.571,
342.256,1785.2477,
339.345,1765.1162,
336.435,1763.1668,
333.524,1816.7424,
330.614,1820.4682,
327.703,1812.3837,
324.793,1804.3984,
321.882,1806.6953,
318.971,1835.6896,
316.061,1841.7185,
313.150,1852.6369,
310.240,1900.8744,
307.329,1910.486,
304.418,1922.2881,
301.508,1895.0126,
298.597,1753.593,
295.687,1718.5988,
292.776,1754.2919,
289.866,1862.1285,
286.955,2063.8006,
284.044,2265.9298,
281.134,2415.503,
278.223,2515.7622,
275.313,2632.9221,
272.402,2730.2379,
269.492,2810.508,
266.581,2871.5184,
263.670,2884.0164,
260.760,2966.5049,
257.849,3020.9177,
254.939,2970.2798,
252.028,3004.3696,
249.117,3021.7364,
246.207,3022.458,
243.296,3006.3532,
240.386,2940.6318,
237.475,2887.7998,
234.565,2848.9974,
231.654,2794.2187,
228.743,2761.9117,
225.833,2740.2222,
222.922,2725.8968,
220.012,2731.7252,
217.101,2701.2378,
214.191,2658.664,
211.280,2628.8381,
208.369,2597.694,
205.459,2540.1067,
202.548,2482.7727,
199.638,2529.9399,
196.727,2477.9699,
193.816,2443.4618,
190.906,2468.5488,
187.995,2466.3767,
185.085,2457.1136,
182.174,2449.9756,
179.264,2458.6488,
176.353,2430.1492,
173.442,2410.7245,
170.532,2403.1888,
167.621,2382.2805,
164.711,2344.5654,
161.800,2290.3112,
158.890,2216.1793,
155.979,2051.7177,
153.068,1871.0728,
150.158,1678.813,
147.247,1474.1966,
144.337,1186.6095,
141.426,913.54206,
138.516,702.05915,
135.605,494.3217,
132.694,338.42405,
129.784,228.10614,
126.873,158.73854,
123.963,103.08288,
121.052,65.675926,
118.141,50.683984,
115.231,42.808726,
112.320,34.965005,
109.410,28.352289,
106.499,26.927979,
103.589,22.142964,
100.678,17.810135,
97.767,15.677322,
94.857,19.089945,
91.946,18.609446,
89.036,15.399204,
86.125,13.980794,
83.215,14.15592,
80.304,12.230673,
77.393,5.1489738,
74.483,9.2109447,
71.572,12.349704,
68.662,13.555733,
65.751,12.849281,
62.840,8.7713841,
59.930,5.9360034,
57.019,10.871577,
54.109,9.2363566,
51.198,6.4185629,
48.288,3.6306624,
45.377,4.3340405,
42.466,7.098316,
39.556,10.279644,
36.645,8.1730736,
33.735,10.221242,
30.824,12.845887,
27.914,13.547062,
25.003,23.5872,
22.092,28.010477,
19.182,25.082657,
16.271,39.07246,
13.361,164.31907,
10.450,422.25282,
7.539,966.24049,
4.629,1492.8034,
1.718,1743.0816,
-1.192,1382.6579,
-4.103,830.43632,
-7.013,351.00577,
-9.924,1.625,
