,PLCF6D~1,
Raman shift [1/cm],Intensity,
1154.307,3991.0517,
1151.397,3977.6614,
1148.486,3957.7799,
1145.576,3928.3353,
1142.665,3915.9046,
1139.754,3870.1254,
1136.844,3828.3614,
1133.933,3805.4909,
1131.023,3781.4075,
1128.112,3774.0161,
1125.202,3771.7205,
1122.291,3705.4006,
1119.380,3771.364,
1116.470,3719.2948,
1113.559,3767.0024,
1110.649,3836.5723,
1107.738,3841.299,
1104.828,3813.8013,
1101.917,3803.5791,
1099.006,3795.8649,
1096.096,3764.9176,
1093.185,3798.2817,
1090.275,3800.875,
1087.364,3801.5611,
1084.453,3795.6879,
1081.543,3811.9096,
1078.632,3817.8776,
1075.722,3773.1914,
1072.811,3780.9848,
1069.901,3810.6756,
1066.990,3833.8916,
1064.079,3866.7761,
1061.169,3898.1009,
1058.258,3935.3197,
1055.348,3972.3421,
1052.437,3995.7464,
1049.527,4036.647,
1046.616,4056.6301,
1043.705,4131.3269,
1040.795,4129.2503,
1037.884,4135.5988,
1034.974,4164.1856,
1032.063,4182.9749,
1029.153,4194.3291,
1026.242,4206.4385,
1023.331,4254.372,
1020.421,4265.2692,
1017.510,4300.0518,
1014.600,4314.61,
1011.689,4336.6446,
1008.778,4445.1641,
1005.868,4512.0179,
1002.957,4639.3503,
1000.047,4853.2511,
997.136,5016.9105,
994.226,5115.2283,
991.315,5121.6448,
988.404,5028.4987,
985.494,4972.8611,
982.583,4882.9227,
979.673,4838.4142,
976.762,4806.9135,
973.852,4839.2861,
970.941,4903.2099,
968.030,4918.1294,
965.120,4930.5564,
962.209,4854.6801,
959.299,4849.6657,
956.388,4867.4341,
953.477,4907.2359,
950.567,4937.1566,
947.656,4908.6576,
944.746,4922.2505,
941.835,4953.6479,
938.925,4976.6682,
936.014,4983.8633,
933.103,4949.331,
930.193,4868.8981,
927.282,4793.2875,
924.372,4800.8979,
921.461,4765.055,
918.551,4661.8303,
915.640,4592.2006,
912.729,4563.0647,
909.819,4503.8775,
906.908,4526.623,
903.998,4529.4657,
901.087,4590.3431,
898.176,4625.8294,
895.266,4632.9056,
892.355,4662.8375,
889.445,4753.4783,
886.534,4722.1499,
883.624,4766.3374,
880.713,4821.4964,
877.802,4858.1702,
874.892,4874.8165,
871.981,4886.8491,
869.071,4843.4077,
866.160,4871.0629,
863.250,4869.0521,
860.339,4836.0502,
857.428,4799.3705,
854.518,4771.6343,
851.607,4763.3136,
848.697,4772.8801,
845.786,4784.1026,
842.875,4781.1363,
839.965,4772.0597,
837.054,4804.6052,
834.144,4780.5714,
831.233,4773.2085,
828.323,4718.4612,
825.412,4646.811,
822.501,4620.4071,
819.591,4673.2967,
816.680,4574.7146,
813.770,4537.9715,
810.859,4513.2766,
807.949,4474.5115,
805.038,4427.979,
802.127,4420.5708,
799.217,4423.602,
796.306,4406.1451,
793.396,4379.8062,
790.485,4359.1904,
787.574,4353.093,
784.664,4358.8337,
781.753,4345.1134,
778.843,4353.0676,
775.932,4379.06,
773.022,4407.4541,
770.111,4443.4275,
767.200,4448.1589,
764.290,4440.2068,
761.379,4414.5755,
758.469,4382.3638,
755.558,4371.319,
752.648,4319.1843,
749.737,4310.1806,
746.826,4288.9626,
743.916,4247.4007,
741.005,4191.6695,
738.095,4074.7592,
735.184,3878.5348,
732.274,3824.8073,
729.363,3927.95,
726.452,4123.8946,
723.542,4267.9666,
720.631,4297.2821,
717.721,4317.0504,
714.810,4331.8238,
711.899,4337.2413,
708.989,4325.9444,
706.078,4275.3929,
703.168,4284.1277,
700.257,4264.4567,
697.347,4237.0903,
694.436,4308.9367,
691.525,4274.373,
688.615,4276.3087,
685.704,4261.5854,
682.794,4229.4921,
679.883,4210.8297,
676.973,4187.59,
674.062,4194.9986,
671.151,4212.8333,
668.241,4242.1229,
665.330,4288.9464,
662.420,4248.2111,
659.509,4230.351,
656.598,4242.185,
653.688,4269.4759,
650.777,4284.2809,
647.867,4266.7617,
644.956,4276.4963,
642.046,4273.6808,
639.135,4272.9669,
636.224,4329.883,
633.314,4331.4708,
630.403,4331.875,
627.493,4323.0413,
624.582,4321.4116,
621.672,4377.6432,
618.761,4452.0692,
615.850,4474.875,
612.940,4465.9951,
610.029,4457.687,
607.119,4510.5923,
604.208,4539.3054,
601.297,4545.3854,
598.387,4537.5755,
595.476,4526.6522,
592.566,4524.291,
589.655,4501.8467,
586.745,4483.7994,
583.834,4465.9937,
580.923,4430.9508,
578.013,4443.5066,
575.102,4449.1694,
572.192,4454.8051,
569.281,4471.9982,
566.371,4528.3471,
563.460,4500.0125,
560.549,4502.9298,
557.639,4520.3379,
554.728,4527.2019,
551.818,4659.0753,
548.907,4646.4349,
545.996,4618.3198,
543.086,4624.9342,
540.175,4666.9811,
537.265,4666.9779,
534.354,4696.4781,
531.444,4729.6616,
528.533,4740.7929,
525.622,4795.8852,
522.712,4796.3467,
519.801,4857.9953,
516.891,4970.814,
513.980,4975.4598,
511.070,4994.188,
508.159,5089.7472,
505.248,5197.1413,
502.338,5233.8797,
499.427,5336.5334,
496.517,5414.2184,
493.606,5469.0266,
490.695,5498.0934,
487.785,5478.0788,
484.874,5474.875,
481.964,5474.875,
479.053,5482.2293,
476.143,5512.9478,
473.232,5486.8183,
470.321,5463.224,
467.411,5434.6794,
464.500,5391.7562,
461.590,5466.033,
458.679,5472.017,
455.769,5489.491,
452.858,5554.5113,
449.947,5560.6227,
447.037,5567.9426,
444.126,5604.4083,
441.216,5663.9759,
438.305,5687.5958,
435.395,5692.8419,
432.484,5710.1283,
429.573,5732.3425,
426.663,5730.0621,
423.752,5735.4544,
420.842,5809.5747,
417.931,5889.0573,
415.020,5868.5817,
412.110,5948.3524,
409.199,5991.0779,
406.289,6016.436,
403.378,6051.6803,
400.468,5994.2248,
397.557,5981.0165,
394.646,6000.1503,
391.736,6038.3438,
388.825,6021.7507,
385.915,5934.9172,
383.004,5907.4198,
380.094,6021.4855,
377.183,6072.6538,
374.272,6142.2386,
371.362,6212.7155,
368.451,6271.4251,
365.541,6296.9433,
362.630,6302.2363,
359.719,6313.3056,
356.809,6344.189,
353.898,6365.9041,
350.988,6372.96,
348.077,6379.1024,
345.167,6393.4265,
342.256,6424.0563,
339.345,6431.8121,
336.435,6432.5406,
333.524,6437.3213,
330.614,6451.4792,
