,PL12AC~1,
Wavenumbers [1/cm],Intensity,
1235.804,6429.2867,
1232.893,6237.0278,
1229.982,6108.2709,
1227.072,6027.6981,
1224.161,5915.256,
1221.251,5783.3236,
1218.340,5686.0491,
1215.430,5579.6777,
1212.519,5547.0711,
1209.608,5531.7418,
1206.698,5424.3825,
1203.787,5377.5176,
1200.877,5405.6219,
1197.966,5464.0672,
1195.055,5680.3122,
1192.145,5821.4367,
1189.234,5982.5145,
1186.324,6080.4574,
1183.413,6128.8477,
1180.503,6166.4196,
1177.592,6158.6965,
1174.681,6079.4247,
1171.771,6040.7527,
1168.860,6030.0357,
1165.950,6041.0943,
1163.039,6019.5559,
1160.129,6012.5391,
1157.218,5950.1006,
1154.307,5879.629,
1151.397,5861.7952,
1148.486,5810.6023,
1145.576,5792.1045,
1142.665,5679.3395,
1139.754,5731.0222,
1136.844,5666.5661,
1133.933,5598.9826,
1131.023,5561.7813,
1128.112,5538.0727,
1125.202,5511.372,
1122.291,5480.7574,
1119.380,5500.2512,
1116.470,5525.8445,
1113.559,5522.814,
1110.649,5500.0449,
1107.738,5438.0973,
1104.828,5384.8458,
1101.917,5370.2248,
1099.006,5364.9485,
1096.096,5361.9889,
1093.185,5394.475,
1090.275,5407.5205,
1087.364,5465.5759,
1084.453,5572.5573,
1081.543,5647.3937,
1078.632,5679.2367,
1075.722,5700.4507,
1072.811,5630.3031,
1069.901,5648.6416,
1066.990,5623.3251,
1064.079,5544.185,
1061.169,5552.5272,
1058.258,5560.7439,
1055.348,5544.9892,
1052.437,5595.9518,
1049.527,5612.3091,
1046.616,5646.1934,
1043.705,5694.7044,
1040.795,5662.6662,
1037.884,5671.8959,
1034.974,5712.7036,
1032.063,5742.5994,
1029.153,5805.3236,
1026.242,5833.0022,
1023.331,5850.6656,
1020.421,5873.5188,
1017.510,5906.6521,
1014.600,5944.6089,
1011.689,5989.3848,
1008.778,6055.74,
1005.868,6160.1969,
1002.957,6293.5518,
1000.047,6533.1281,
997.136,6784.7371,
994.226,6933.4457,
991.315,6969.3911,
988.404,6955.6781,
985.494,6890.5999,
982.583,6828.0713,
979.673,6821.1949,
976.762,6864.2714,
973.852,6891.7899,
970.941,6907.0792,
968.030,6946.6936,
965.120,6928.1897,
962.209,6973.3745,
959.299,6959.7525,
956.388,6985.7178,
953.477,7006.4236,
950.567,7006.4113,
947.656,7030.1033,
944.746,7008.0149,
941.835,7011.0491,
938.925,7038.322,
936.014,7032.7786,
933.103,7011.5283,
930.193,6980.4323,
927.282,6870.4254,
924.372,6804.468,
921.461,6688.4856,
918.551,6591.3257,
915.640,6483.9836,
912.729,6375.8733,
909.819,6320.8888,
906.908,6320.0464,
903.998,6264.3245,
901.087,6258.9111,
898.176,6319.8318,
895.266,6397.5047,
892.355,6442.1095,
889.445,6490.787,
886.534,6537.7528,
883.624,6646.5791,
880.713,6715.9246,
