,PLAA27~1,
Raman shift [1/cm],Intensity,
970.941,2717.2602,
968.030,2726.3526,
965.120,2733.9821,
962.209,2729.7194,
959.299,2733.2495,
956.388,2740.0397,
953.477,2739.8897,
950.567,2730.0786,
947.656,2717.7745,
944.746,2708.4294,
941.835,2747.6809,
938.925,2736.6004,
936.014,2728.0233,
933.103,2722.2319,
930.193,2703.8051,
927.282,2685.3502,
924.372,2654.9083,
921.461,2581.7784,
918.551,2553.5144,
915.640,2538.6766,
912.729,2513.4126,
909.819,2492.7801,
906.908,2513.8407,
903.998,2518.1815,
901.087,2504.3604,
898.176,2514.6106,
895.266,2561.6615,
892.355,2622.6124,
889.445,2641.9155,
886.534,2647.0092,
883.624,2654.7283,
880.713,2705.4631,
877.802,2736.0622,
874.892,2708.9192,
871.981,2713,
869.071,2713,
866.160,2713.69,
863.250,2693.0319,
860.339,2674.358,
857.428,2666.0085,
854.518,2627.9759,
851.607,2627.1439,
848.697,2619.434,
845.786,2573.9637,
842.875,2547.9333,
839.965,2566.4319,
837.054,2540.9721,
834.144,2538.4858,
831.233,2540.6665,
828.323,2545.462,
825.412,2532.5799,
822.501,2497.4042,
819.591,2494.0986,
816.680,2422.6858,
813.770,2432.5661,
810.859,2415.1569,
807.949,2378.6854,
805.038,2388.4115,
802.127,2367.0102,
799.217,2350.0922,
796.306,2346.1351,
793.396,2347,
790.485,2344.2625,
787.574,2333.9689,
784.664,2333.1488,
781.753,2368.5622,
778.843,2360.5157,
775.932,2327.8273,
773.022,2326.0458,
770.111,2403.7157,
767.200,2362.5599,
764.290,2374.0045,
761.379,2380.3962,
758.469,2355.7683,
755.558,2335.9514,
752.648,2334.3222,
749.737,2319.6386,
746.826,2275.6348,
743.916,2216.9673,
741.005,2163.6461,
738.095,2080.8347,
735.184,1986.623,
732.274,1954.5777,
729.363,2016.5215,
726.452,2148.4251,
723.542,2217.2235,
720.631,2223.2936,
717.721,2259.5164,
714.810,2293.6136,
711.899,2299.4158,
708.989,2271.1734,
706.078,2275.8078,
703.168,2255.7473,
700.257,2252.3143,
697.347,2262.0005,
694.436,2243.6945,
691.525,2232.4412,
688.615,2204.2146,
685.704,2195.0437,
682.794,2200.8936,
679.883,2194.3965,
676.973,2203.2116,
674.062,2219.0378,
671.151,2230.5066,
668.241,2236.1912,
665.330,2238.979,
662.420,2217.4132,
659.509,2242.2068,
656.598,2247.7485,
653.688,2232.3099,
650.777,2229.3789,
647.867,2211.0634,
644.956,2223.7171,
642.046,2244.7796,
639.135,2259.3712,
636.224,2257.0875,
633.314,2274.5542,
630.403,2272.4967,
627.493,2270.3044,
624.582,2274.5297,
621.672,2276.9057,
618.761,2318.7967,
615.850,2336.4079,
612.940,2348.8799,
610.029,2367.4467,
607.119,2376.1327,
604.208,2358.5397,
601.297,2361.4689,
598.387,2356.2352,
595.476,2320.4168,
592.566,2356.622,
589.655,2368.1831,
586.745,2340.1882,
583.834,2288.5816,
580.923,2247.8957,
578.013,2230.6316,
575.102,2255.8266,
572.192,2268.7106,
569.281,2260.1548,
566.371,2305.547,
563.460,2309.2945,
560.549,2298.2799,
557.639,2307.4108,
554.728,2362.6551,
551.818,2357.1929,
548.907,2338.327,
545.996,2342.1628,
543.086,2374.5559,
540.175,2414.2668,
537.265,2411.93,
534.354,2435.5862,
531.444,2461.836,
528.533,2465.9314,
525.622,2493.0895,
522.712,2493.5392,
519.801,2510.2396,
516.891,2547.2256,
513.980,2568.1316,
511.070,2631.9826,
508.159,2694.295,
505.248,2734.5007,
502.338,2737.5588,
499.427,2790.8153,
496.517,2842.899,
493.606,2869.6446,
490.695,2871.5261,
487.785,2918.4833,
484.874,2888.519,
481.964,2860.1097,
479.053,2842.9327,
476.143,2817.5899,
473.232,2846.215,
470.321,2852.6477,
467.411,2837.1229,
464.500,2808.8727,
461.590,2843.331,
458.679,2885.4674,
455.769,2909.1644,
452.858,2899.3414,
449.947,2864.2006,
447.037,2896.4394,
444.126,2906.8424,
441.216,2889.4665,
438.305,2938.2301,
435.395,2978.4375,
432.484,2982.2472,
429.573,2963,
426.663,2963,
423.752,2992.989,
420.842,3010.1102,
417.931,3015.6464,
415.020,3017.9215,
412.110,3040.68,
409.199,3077.8508,
406.289,3111.9357,
403.378,3123.9974,
400.468,3123.2414,
397.557,3121.9717,
394.646,3122.6161,
391.736,3125.7686,
388.825,3087.3028,
385.915,3082.3863,
383.004,3099.1362,
380.094,3129.764,
377.183,3183.9423,
374.272,3269.5615,
371.362,3342.2447,
368.451,3375.9148,
365.541,3407.4373,
362.630,3396.8816,
359.719,3401.1258,
356.809,3448.0938,
353.898,3433.1179,
350.988,3431.7124,
348.077,3418.6083,
345.167,3382.8164,
342.256,3418.6757,
339.345,3405.0855,
336.435,3387.3311,
333.524,3396.3523,
330.614,3407.5297,
327.703,3400.7319,
324.793,3403.6318,
321.882,3440.0234,
318.971,3449.6882,
316.061,3506.7146,
313.150,3562.5381,
310.240,3561.0539,
307.329,3578.8659,
304.418,3609.2536,
301.508,3638.1815,
298.597,3642.624,
295.687,3657.8993,
292.776,3702.9169,
289.866,3790.8747,
286.955,3956.3492,
284.044,4090.0549,
281.134,4222.5033,
278.223,4354.5204,
275.313,4460.6276,
272.402,4561.4219,
269.492,4654.1212,
