,PL91AF~1,
Raman shift [1/cm],Intensity,
505.248,4120.3928,
502.338,4159.339,
499.427,4234.9786,
496.517,4264.1755,
493.606,4297.7079,
490.695,4348.5202,
487.785,4336.9734,
484.874,4381.0069,
481.964,4386.1916,
479.053,4352.977,
476.143,4331.474,
473.232,4311.4205,
470.321,4311.9102,
467.411,4316.5794,
464.500,4305.5432,
461.590,4282.571,
458.679,4266.77,
455.769,4292.2067,
452.858,4361.9776,
449.947,4341.3514,
447.037,4386.2726,
444.126,4412.5795,
441.216,4400.7438,
438.305,4387.029,
435.395,4392.9926,
432.484,4390.0402,
429.573,4381.9,
426.663,4389.5014,
423.752,4399.8889,
420.842,4346.1259,
417.931,4300.6111,
415.020,4383.2721,
412.110,4484.1612,
409.199,4564.6237,
406.289,4601.2858,
403.378,4571.3991,
400.468,4652.2905,
397.557,4619.5119,
394.646,4587.8274,
391.736,4652.125,
388.825,4652.125,
385.915,4621.79,
383.004,4589.9852,
380.094,4583.1137,
377.183,4700.5,
374.272,4781.4325,
371.362,4842.4336,
368.451,4891.7633,
365.541,4902.2708,
362.630,4902.94,
359.719,4922.1387,
356.809,4970.947,
353.898,4951.4782,
350.988,4952.6348,
348.077,4960.7387,
345.167,4967.8818,
342.256,4982.8232,
339.345,4967.462,
336.435,4950.9578,
333.524,4954.4168,
330.614,4995.4004,
327.703,5031.7416,
324.793,5057.4763,
321.882,5067.3197,
318.971,5147.6115,
316.061,5166.8237,
313.150,5173.5988,
310.240,5223.3205,
307.329,5315.8839,
304.418,5358.5083,
301.508,5350.9619,
298.597,5293.9498,
295.687,5350.7539,
292.776,5429.2919,
289.866,5547.3232,
286.955,5780.7605,
284.044,5879.2724,
281.134,5995.2557,
278.223,6142.6754,
275.313,6242.1509,
272.402,6362.4594,
269.492,6485.4552,
266.581,6606.5826,
263.670,6752.8834,
260.760,6857.2886,
257.849,6946.9733,
254.939,7040.9103,
252.028,7069.6311,
249.117,7095.2003,
246.207,7111.2309,
243.296,7103.9105,
240.386,7139.0395,
237.475,7088.203,
234.565,6969.7981,
231.654,6929.627,
228.743,6903.864,
225.833,6854.5374,
222.922,6768.7808,
220.012,6718.5105,
217.101,6683.9685,
214.191,6638.0235,
211.280,6547.8181,
208.369,6562.655,
205.459,6551.5655,
202.548,6528.6515,
199.638,6583.8008,
196.727,6592.2439,
193.816,6605.1761,
190.906,6640.5059,
187.995,6651.3663,
185.085,6743.0762,
182.174,6837.2073,
179.264,6822.752,
176.353,6835.8629,
173.442,6848.1131,
170.532,6851.5127,
167.621,6820.5107,
164.711,6719.0995,
161.800,6564.8363,
158.890,6358.9942,
155.979,5982.8042,
153.068,5558.2383,
150.158,5064.3292,
147.247,4383.7105,
144.337,3627.0864,
141.426,2865.1213,
138.516,2129.5909,
135.605,1523.6216,
132.694,1037.6694,
129.784,669.33849,
126.873,449.79363,
123.963,301.55424,
121.052,204.7112,
118.141,158.30757,
115.231,114.06964,
112.320,90.617733,
109.410,81.079671,
106.499,70.397343,
103.589,59.721183,
100.678,52.038513,
97.767,49.194763,
94.857,41.50212,
91.946,37.318778,
89.036,35.673408,
86.125,32.836587,
83.215,30.532239,
80.304,28.646135,
77.393,27.229795,
74.483,22.539055,
71.572,22.299113,
68.662,26.332802,
65.751,28.452156,
62.840,24.789682,
59.930,18.62671,
57.019,12.986055,
54.109,16.305126,
51.198,16.410517,
48.288,10.1703,
45.377,15.797324,
42.466,15.239465,
39.556,11.585474,
36.645,14.394235,
33.735,10.971012,
30.824,8.4503218,
27.914,12.657373,
25.003,17.483462,
22.092,17.541764,
19.182,13.131846,
16.271,43.909412,
13.361,174.97615,
10.450,409.87829,
7.539,826.77256,
4.629,982.6269,
1.718,910.80852,
-1.192,531.56189,
-4.103,215.75043,
-7.013,30.052038,
-9.924,0.125,
