,PL7EB6~1,
Wavenumbers [1/cm],Intensity,
889.445,2751.7171,
886.534,2756.8842,
883.624,2859.4726,
880.713,2917.5511,
877.802,2905.7263,
874.892,2821.7295,
871.981,2614.0342,
869.071,2493.7347,
866.160,2567.3995,
863.250,2673.3035,
860.339,2735.5287,
857.428,2747.1273,
854.518,2759.7196,
851.607,2719.7802,
848.697,2566.37,
845.786,2529.975,
842.875,2593.8785,
839.965,2673.8074,
837.054,2732.9773,
834.144,2742.0936,
831.233,2735.8756,
828.323,2700.717,
825.412,2660.182,
822.501,2635.7685,
819.591,2601.8861,
816.680,2571.2275,
813.770,2521.8993,
810.859,2484.6915,
807.949,2469.0482,
805.038,2472.2511,
802.127,2516.7,
799.217,2478.3877,
796.306,2436.064,
793.396,2429.2797,
790.485,2445.1364,
787.574,2422.2726,
784.664,2485.4212,
781.753,2475.4035,
778.843,2501.1411,
775.932,2550.2946,
773.022,2571.6907,
770.111,2544.7106,
767.200,2517.7517,
764.290,2493.6944,
761.379,2473.2099,
758.469,2473.0588,
755.558,2521.8539,
752.648,2487.6405,
749.737,2497.1947,
746.826,2472.3071,
743.916,2400.0888,
741.005,2307.281,
738.095,2257.7565,
735.184,2201.1058,
732.274,2194.5483,
729.363,2239.1531,
726.452,2307.5527,
723.542,2333.4533,
720.631,2452.614,
717.721,2476.8452,
714.810,2471.3011,
711.899,2483.8354,
708.989,2513.6916,
706.078,2492.2398,
703.168,2477.7667,
700.257,2454.547,
697.347,2429.4403,
694.436,2429.097,
691.525,2474.1101,
688.615,2451.1716,
685.704,2436.6236,
682.794,2447.7898,
679.883,2463.9471,
676.973,2465.5498,
674.062,2470.3416,
671.151,2470.245,
668.241,2466.875,
665.330,2465.7027,
662.420,2440.942,
659.509,2439.6846,
656.598,2437.9803,
653.688,2446.2175,
650.777,2491.4691,
647.867,2508.9883,
644.956,2494.9196,
642.046,2432.0502,
639.135,2368.9362,
636.224,2406.9148,
633.314,2414.8542,
630.403,2426.9256,
627.493,2436.1794,
624.582,2433.1653,
621.672,2403.0695,
618.761,2398.0753,
615.850,2424.9754,
612.940,2440.0197,
610.029,2428.5576,
607.119,2450.6673,
604.208,2462.1052,
601.297,2446.4328,
598.387,2434.0408,
595.476,2450.538,
592.566,2436.3707,
589.655,2394.3537,
586.745,2390.2337,
583.834,2408.4833,
580.923,2392.5528,
578.013,2339.1908,
575.102,2345.5242,
572.192,2368.7353,
569.281,2388.2178,
566.371,2417.9575,
563.460,2430.7516,
560.549,2424.6421,
557.639,2410.3837,
554.728,2401.0228,
551.818,2403.3638,
548.907,2440.4398,
545.996,2459.9871,
543.086,2460.0822,
540.175,2488.8921,
537.265,2462.6281,
534.354,2477.9629,
531.444,2504.711,
528.533,2507.7027,
525.622,2519.3419,
522.712,2550.9992,
519.801,2603.4805,
516.891,2661.9441,
513.980,2682.0758,
511.070,2659.9272,
508.159,2676.6187,
505.248,2738.1718,
502.338,2835.7787,
499.427,2866.652,
496.517,2916.1679,
493.606,2931.3869,
490.695,2909.1455,
487.785,2983.0454,
484.874,2984.5354,
481.964,2994.2403,
479.053,2999.5116,
476.143,2931.163,
473.232,2895.9406,
470.321,2920.3682,
467.411,2947.7315,
464.500,2916.1744,
461.590,2967.4789,
458.679,3000.0347,
455.769,3013.6147,
452.858,3014.1359,
449.947,3045.4571,
447.037,3072.5049,
444.126,3124.6932,
441.216,3192.727,
438.305,3203.3941,
435.395,3176.027,
432.484,3162.9588,
429.573,3173.1526,
426.663,3204.3184,
423.752,3055.5351,
420.842,2864.2864,
417.931,2699.1458,
415.020,2643.7856,
412.110,2980.6119,
409.199,3193.3835,
406.289,3278.9876,
403.378,3257.5856,
400.468,3172.1582,
397.557,3211.7144,
394.646,3293.4598,
391.736,3345.2513,
388.825,3388.2424,
385.915,3374.7975,
383.004,3361.5835,
380.094,3386.7196,
377.183,3403.274,
374.272,3463.7814,
371.362,3514.1126,
368.451,3522.3309,
365.541,3529.8363,
362.630,3524.2276,
359.719,3509.5879,
356.809,3490.8718,
353.898,3507.3454,
350.988,3547.1366,
348.077,3575.1325,
345.167,3569.3235,
342.256,3538.6937,
339.345,3518.1835,
336.435,3532.5807,
333.524,3595.8885,
330.614,3564.592,
327.703,3586.1927,
324.793,3617.6795,
321.882,3623.0733,
318.971,3704.852,
316.061,3734.3399,
313.150,3749.0393,
310.240,3791.3399,
307.329,3807.1677,
304.418,3813.331,
301.508,3793.3949,
298.597,3716.3916,
295.687,3717.3246,
292.776,3737.9584,
289.866,3772.7733,
286.955,3824.4841,
284.044,3891.3299,
281.134,3911.4338,
278.223,3895.713,
275.313,3956.1352,
272.402,3978.1695,
269.492,3959.8436,
266.581,3903.773,
263.670,3874.3658,
260.760,3951.5459,
257.849,4032.4413,
254.939,4039.7801,
252.028,4071.0003,
249.117,4065.0587,
246.207,4056.5655,
243.296,4105.612,
240.386,4098.4682,
237.475,4096.1011,
234.565,4098.6187,
231.654,4071.5945,
228.743,4078.5331,
225.833,4075.984,
222.922,4047.6859,
220.012,4022.1865,
217.101,3994.2464,
214.191,3961.8542,
211.280,3921.8437,
208.369,3923.5847,
205.459,3916.293,
202.548,3898.2399,
199.638,3877.1961,
196.727,3871.1464,
193.816,3885.2272,
190.906,3920.6211,
187.995,3913.3808,
185.085,3927.425,
182.174,3945.6791,
179.264,3944.9564,
176.353,3979.4771,
173.442,3995.2494,
170.532,3984.6746,
167.621,3948.6259,
164.711,3917.3267,
161.800,3835.205,
158.890,3651.6745,
155.979,3515.5186,
153.068,3341.0399,
150.158,3097.808,
147.247,2674.2162,
144.337,2263.6935,
141.426,1847.6857,
138.516,1416.8341,
135.605,984.98573,
132.694,657.99679,
129.784,425.55853,
126.873,285.39308,
123.963,184.03402,
121.052,112.72751,
118.141,72.0351,
115.231,61.927015,
112.320,51.944097,
109.410,42.102382,
106.499,32.844364,
103.589,32.555763,
100.678,33.060135,
97.767,30.927322,
94.857,23.94511,
91.946,24.906109,
89.036,29.520225,
86.125,21.009762,
83.215,19.936841,
80.304,19.677837,
77.393,16.136987,
74.483,17.18527,
71.572,16.787944,
68.662,14.875,
65.751,14.875,
62.840,17.28351,
59.930,18.751283,
57.019,14.520791,
54.109,9.0977132,
51.198,7.0814371,
48.288,9.875,
45.377,9.875,
42.466,5.7528066,
39.556,1.6017787,
36.645,12.134632,
33.735,11.759509,
30.824,8.654113,
27.914,7.9529378,
25.003,14.724012,
22.092,16.291764,
19.182,10.531757,
16.271,0.039405073,
13.361,18.212273,
10.450,52.721072,
7.539,75.067164,
4.629,57.640376,
1.718,61.746865,
-1.192,146.10135,
-4.103,71.801272,
-7.013,10.794553,
-9.924,-3.125,
