,PL93DE~1,
Raman shift [1/cm],Intensity,
1174.681,2650.0617,
1171.771,2615.0095,
1168.860,2496.2286,
1165.950,2526.6771,
1163.039,2480.8778,
1160.129,2430.2065,
1157.218,2409.3463,
1154.307,2388.1987,
1151.397,2365.3524,
1148.486,2390.9489,
1145.576,2396.2081,
1142.665,2360.6916,
1139.754,2305.6778,
1136.844,2283.2455,
1133.933,2262.3278,
1131.023,2251.6942,
1128.112,2255.6067,
1125.202,2254.2283,
1122.291,2240.6436,
1119.380,2288.5768,
1116.470,2270.9262,
1113.559,2278.8022,
1110.649,2268.6531,
1107.738,2288.5409,
1104.828,2291.3611,
1101.917,2268.9633,
1099.006,2290.0591,
1096.096,2317.5461,
1093.185,2281.548,
1090.275,2286.8427,
1087.364,2257.1883,
1084.453,2259.6239,
1081.543,2290.7171,
1078.632,2312.4964,
1075.722,2312.5709,
1072.811,2322.6402,
1069.901,2292.9494,
1066.990,2305.3,
1064.079,2339.3731,
1061.169,2363.6914,
1058.258,2386.9955,
1055.348,2418.6265,
1052.437,2431.4669,
1049.527,2365.4283,
1046.616,2408.8698,
1043.705,2454.6005,
1040.795,2443.7638,
1037.884,2465.1402,
1034.974,2495.0258,
1032.063,2485.1732,
1029.153,2476.3466,
1026.242,2497.9705,
1023.331,2487.9174,
1020.421,2490.6297,
1017.510,2509.5583,
1014.600,2539.2443,
1011.689,2573.723,
1008.778,2614.8924,
1005.868,2680.1747,
1002.957,2727.4942,
1000.047,2849.774,
997.136,2952.6572,
994.226,2983.5963,
991.315,2951.7871,
988.404,2899.0766,
985.494,2837.8102,
982.583,2795.8389,
979.673,2775.8487,
976.762,2760.7693,
973.852,2739.1637,
970.941,2731.4197,
968.030,2753.5939,
965.120,2735.6677,
962.209,2716.0592,
959.299,2765.8687,
956.388,2781.5904,
953.477,2766.8853,
950.567,2760.3313,
947.656,2786.3178,
944.746,2821.1496,
941.835,2796.0262,
938.925,2780.5373,
936.014,2801.5471,
933.103,2828.8686,
930.193,2810.3772,
927.282,2721.4374,
924.372,2734.1215,
921.461,2709.976,
918.551,2679.8364,
915.640,2651.5767,
912.729,2623.8208,
909.819,2593.3027,
906.908,2567.1875,
903.998,2591.2017,
901.087,2635.3039,
898.176,2663.4307,
895.266,2688.2069,
892.355,2729.3624,
889.445,2748.6655,
886.534,2748.75,
883.624,2795.8482,
880.713,2814.1568,
877.802,2809.4026,
874.892,2794.5938,
871.981,2731.5724,
869.071,2724.0537,
866.160,2744.1387,
863.250,2773.6697,
860.339,2787.4543,
857.428,2781.4718,
854.518,2786.3188,
851.607,2702.2798,
848.697,2688.4378,
845.786,2683.0414,
842.875,2702.9175,
839.965,2755.4977,
837.054,2781.1453,
834.144,2727.2764,
831.233,2727.4159,
828.323,2725.3314,
825.412,2705.1934,
822.501,2682.7714,
819.591,2705.0842,
816.680,2624.0191,
813.770,2608.1355,
810.859,2580.9681,
807.949,2548.8842,
805.038,2560.5465,
802.127,2567.1315,
799.217,2564.7684,
796.306,2517.7767,
793.396,2503.3838,
790.485,2536.8029,
787.574,2540.4075,
784.664,2531.3863,
781.753,2546.5246,
778.843,2550.3393,
775.932,2531.8613,
773.022,2509.3722,
770.111,2564.9676,
767.200,2555.8077,
764.290,2543.0818,
761.379,2544.2335,
758.469,2545.9145,
755.558,2508.0206,
752.648,2483.5825,
749.737,2484.6251,
746.826,2433.6684,
743.916,2341.5937,
741.005,2242.7496,
738.095,2056.8298,
735.184,1875.2917,
732.274,1867.4951,
729.363,2001.1352,
726.452,2200.1017,
723.542,2390.3092,
720.631,2414.5117,
717.721,2441.091,
714.810,2453.5625,
711.899,2457.4728,
708.989,2503.4675,
706.078,2490.9292,
703.168,2473.1767,
700.257,2462.5123,
697.347,2445.3168,
694.436,2390.7102,
691.525,2426.0776,
688.615,2440.0391,
685.704,2435.9795,
682.794,2426.6862,
679.883,2429.1373,
676.973,2415.514,
674.062,2418.4927,
671.151,2445.8582,
668.241,2474.844,
665.330,2467.1995,
662.420,2434.4515,
659.509,2402.3528,
656.598,2413.2822,
653.688,2453.4212,
650.777,2475.588,
647.867,2470.81,
644.956,2511.8522,
642.046,2492.9734,
