,PL28BD~1,
Raman shift [1/cm],Intensity,
362.630,5737.4767,
359.719,5769.3968,
356.809,5756.7591,
353.898,5827.1461,
350.988,5861.6896,
348.077,5879.7274,
345.167,5891.6296,
342.256,5874.4471,
339.345,5902.4488,
336.435,5933.1656,
333.524,5938.0872,
330.614,5956.7161,
327.703,5982.5228,
324.793,6013.1006,
321.882,6046.5379,
318.971,6062.1502,
316.061,6100.7054,
313.150,6152.8214,
310.240,6208.4801,
307.329,6276.2466,
304.418,6308.8833,
301.508,6311.1831,
298.597,6291.1918,
295.687,6317.9441,
292.776,6357.7501,
289.866,6450.5486,
286.955,6716.4898,
284.044,6998.0123,
281.134,7198.7461,
278.223,7333.5587,
275.313,7566.405,
272.402,7733.4233,
269.492,7879.9694,
266.581,8020.9081,
263.670,8138.5369,
260.760,8292.1258,
257.849,8433.835,
254.939,8526.3042,
252.028,8628.8383,
249.117,8706.7872,
246.207,8730.3919,
243.296,8641.0834,
240.386,8702.0231,
237.475,8693.0134,
234.565,8597.6788,
231.654,8465.4794,
228.743,8370.1819,
225.833,8265.3138,
222.922,8141.4705,
220.012,8183.7267,
217.101,8126.8369,
214.191,8031.644,
211.280,7958.8977,
208.369,7953.5,
205.459,7913.575,
202.548,7855.6309,
199.638,7867.967,
196.727,7868.7714,
193.816,7891.5818,
190.906,7947.1445,
187.995,7937.0081,
185.085,8000.1727,
182.174,8041.0039,
179.264,7917.4109,
176.353,7953.4808,
173.442,7966.9977,
170.532,7940.1559,
167.621,7928.6203,
164.711,7735.2445,
161.800,7495.4232,
158.890,7296.0587,
155.979,6840.7526,
153.068,6256.1097,
150.158,5565.7794,
147.247,4803.3141,
144.337,3962.1023,
141.426,3110.1157,
138.516,2277.0881,
135.605,1653.006,
132.694,1128.2583,
129.784,715.87727,
126.873,492.04163,
123.963,338.94574,
121.052,234.55357,
118.141,176.72751,
115.231,138.1292,
112.320,111.48547,
109.410,93.363829,
106.499,76.984259,
103.589,67.337201,
100.678,60.598648,
97.767,55.622085,
94.857,49.956088,
91.946,43.06578,
89.036,38.080571,
86.125,48.009445,
83.215,45.190796,
80.304,40.021135,
77.393,38.604795,
74.483,28.017841,
71.572,25.761169,
68.662,31.361465,
65.751,29.948563,
62.840,28.054894,
59.930,26.312714,
57.019,25.607632,
54.109,26.097161,
51.198,24.991954,
48.288,21.556624,
45.377,28.590405,
42.466,28.202245,
39.556,23.615119,
36.645,24.317309,
33.735,26.576994,
30.824,27.395565,
27.914,23.889689,
25.003,23.5,
22.092,22.854191,
19.182,21.957657,
16.271,35.94746,
13.361,162.03698,
10.450,383.38824,
7.539,708.10488,
4.629,846.71412,
1.718,760.22945,
-1.192,312.66265,
-4.103,116.95136,
-7.013,20.203463,
-9.924,3.5,
