,PL02EB~1,
Raman shift [1/cm],Intensity,
1148.486,4285.3231,
1145.576,4295.7582,
1142.665,4281.5516,
1139.754,4246.2026,
1136.844,4156.4396,
1133.933,4125.4805,
1131.023,4120.3494,
1128.112,4126.3728,
1125.202,4143.7132,
1122.291,4110.1162,
1119.380,4088.2758,
1116.470,4180.0587,
1113.559,4209.933,
1110.649,4179.3585,
1107.738,4176.9854,
1104.828,4180.5564,
1101.917,4180.7603,
1099.006,4217.7255,
1096.096,4218.4612,
1093.185,4203.5351,
1090.275,4213.7048,
1087.364,4225.2946,
1084.453,4223.7504,
1081.543,4228.5776,
1078.632,4229.4062,
1075.722,4213.8377,
1072.811,4246.4657,
1069.901,4191.4503,
1066.990,4297.3081,
1064.079,4307.0427,
1061.169,4338.0361,
1058.258,4379.5387,
1055.348,4398.0783,
1052.437,4407.8991,
1049.527,4402.0198,
1046.616,4444.5924,
1043.705,4521.0561,
1040.795,4504.0647,
1037.884,4468.2143,
1034.974,4489.7551,
1032.063,4542.4599,
1029.153,4521.4136,
1026.242,4530.0632,
1023.331,4530.375,
1020.421,4528.9808,
1017.510,4564.7929,
1014.600,4633.9763,
1011.689,4702.4882,
1008.778,4750.6226,
1005.868,4840.5565,
1002.957,4972.1907,
1000.047,5187.4791,
997.136,5338.4893,
994.226,5377.7599,
991.315,5340.1077,
988.404,5273.8933,
985.494,5146.4927,
982.583,5107.0911,
979.673,5010.6508,
976.762,4977.9621,
973.852,4992.0773,
970.941,5000.1872,
968.030,4975.5195,
965.120,4959.5003,
962.209,4989.3393,
959.299,5012.0812,
956.388,4996.9764,
953.477,4989.6507,
950.567,5009.0806,
947.656,5021.8179,
944.746,5017.5702,
941.835,5054.6264,
938.925,5031.1305,
936.014,5042.1954,
933.103,5070.0812,
930.193,5055.9937,
927.282,4995.2916,
924.372,5012.2037,
921.461,4985.6554,
918.551,4901.5965,
915.640,4820.7537,
912.729,4781.2281,
909.819,4778.1551,
906.908,4799.2157,
903.998,4778.1048,
901.087,4810.5654,
898.176,4835.7154,
895.266,4861.2755,
892.355,4919.3692,
889.445,4978.1179,
886.534,5020.1186,
883.624,5053.9426,
880.713,5109.2449,
877.802,5119.8045,
874.892,5066.7873,
871.981,5084.6192,
869.071,5010.2675,
866.160,5046.3621,
863.250,5065.2298,
860.339,5075.978,
857.428,5074.9309,
854.518,4968.5786,
851.607,5010.1821,
848.697,4989.8623,
845.786,4992.425,
842.875,5016.5119,
839.965,5037.5304,
837.054,5048.1379,
834.144,5116.0956,
831.233,5099.3772,
828.323,5086.3533,
825.412,5070.989,
822.501,5026.928,
819.591,4985.608,
816.680,4905.0479,
813.770,4876.604,
810.859,4836.1782,
807.949,4800.5409,
805.038,4815.3927,
802.127,4782.4676,
799.217,4776.3934,
796.306,4735.645,
793.396,4732.6272,
790.485,4763.5825,
787.574,4721.3678,
784.664,4773.855,
781.753,4785.388,
778.843,4785.8849,
775.932,4780.7454,
773.022,4776.7149,
770.111,4817.5938,
767.200,4799.8196,
764.290,4781.2396,
761.379,4792.8561,
758.469,4807.6337,
755.558,4743.6456,
752.648,4719.2075,
749.737,4680.43,
746.826,4635.3342,
743.916,4572.2641,
741.005,4458.0119,
738.095,4180.35,
735.184,3989.3468,
732.274,3955.2994,
729.363,4095.3571,
726.452,4360.8662,
723.542,4585.0681,
720.631,4662.3608,
717.721,4692.1134,
714.810,4716.5056,
711.899,4734.4047,
708.989,4691.6376,
706.078,4713.8115,
703.168,4702.3728,
700.257,4678.1727,
697.347,4651.3324,
694.436,4622.6369,
691.525,4632.2825,
688.615,4630.6015,
685.704,4611.1073,
682.794,4597.2685,
679.883,4627.4563,
676.973,4651.4974,
674.062,4681.8983,
671.151,4695.06,
668.241,4683.8451,
665.330,4653.7532,
662.420,4661.7405,
659.509,4653.851,
656.598,4666.5505,
653.688,4695.666,
650.777,4713.051,
647.867,4703.495,
644.956,4727.9985,
642.046,4724.8889,
639.135,4696.327,
636.224,4692.3312,
633.314,4683.5979,
630.403,4713.3004,
627.493,4754.9628,
624.582,4783.3733,
621.672,4769.9094,
618.761,4814.2114,
615.850,4847.6596,
612.940,4882.8425,
610.029,4917.613,
607.119,4901.0308,
604.208,4910.7352,
601.297,4904.9061,
598.387,4911.2863,
595.476,4950.4781,
592.566,4919.7825,
589.655,4909.8398,
586.745,4903.4693,
583.834,4882.5649,
580.923,4826.266,
578.013,4808.2171,
575.102,4803.9486,
572.192,4812.9498,
569.281,4840.4666,
566.371,4907.7722,
563.460,4946.1211,
560.549,4982.2771,
557.639,4991.604,
554.728,4954.2327,
551.818,4999.4911,
548.907,5046.5492,
545.996,5047.4364,
543.086,5020.6019,
540.175,5063.4275,
537.265,5117.0746,
534.354,5134.8699,
531.444,5157.3396,
528.533,5219.7061,
525.622,5224.3618,
522.712,5238.1168,
519.801,5268.1422,
516.891,5316.3649,
513.980,5380.6315,
511.070,5462.4445,
508.159,5510.1347,
505.248,5554.9149,
502.338,5638.595,
499.427,5680.2739,
496.517,5743.981,
493.606,5772.2613,
490.695,5759.2874,
487.785,5837.8061,
484.874,5837.4505,
481.964,5846.1556,
479.053,5858.079,
476.143,5815.073,
473.232,5838.9929,
470.321,5812.3952,
467.411,5781.7326,
464.500,5805.4053,
461.590,5767.1183,
458.679,5775.6353,
455.769,5780.6628,
452.858,5760.4769,
449.947,5790.2702,
447.037,5811.544,
444.126,5816.1992,
441.216,5801.2897,
438.305,5766.2409,
435.395,5790.223,
432.484,5771.6181,
429.573,5728.8126,
426.663,5747.8161,
423.752,5738.2163,
420.842,5717.8477,
417.931,5711.8722,
415.020,5755.857,
412.110,5901.5028,
409.199,5910.8543,
406.289,5892.1868,
403.378,5974.4032,
400.468,5982.7191,
397.557,5934.4742,
394.646,5861.3259,
391.736,5792.3609,
388.825,5760.6832,
385.915,5715.718,
383.004,5708.0751,
380.094,5774.3618,
377.183,5911.3125,
374.272,6031.3348,
371.362,6095.6658,
368.451,6088.5694,
365.541,6157.6187,
362.630,6184.0224,
359.719,6199.254,
356.809,6221.4624,
353.898,6239.4336,
350.988,6298.0812,
348.077,6325.9505,
345.167,6288.0295,
342.256,6379.9189,
339.345,6426.5694,
336.435,6468.5255,
333.524,6530.6704,
330.614,6508.3157,
327.703,6501.8884,
324.793,6534.5989,
321.882,6627.3227,
318.971,6605.7629,
316.061,6632.0687,
313.150,6687.2369,
310.240,6751.0588,
307.329,6776.958,
304.418,6800.5096,
301.508,6812.0581,
298.597,6792.0668,
295.687,6755.8357,
292.776,6799.792,
289.866,6939.0224,
286.955,7198.315,
284.044,7406.1498,
281.134,7611.6476,
278.223,7825.1404,
275.313,8049.1444,
272.402,8178.8633,
269.492,8323.6084,
266.581,8515.9933,
263.670,8636.5629,
260.760,8766.4488,
257.849,8909.833,
254.939,9071.2872,
252.028,9125.4918,
249.117,9215.2696,
246.207,9284.3586,
243.296,9230.1879,
240.386,9234.1699,
237.475,9234.7648,
234.565,9222.0834,
