,PLFB5D~1,
Raman shift [1/cm],Intensity,
513.980,7338.5732,
511.070,7421.1054,
508.159,7498.6092,
505.248,7564.3938,
502.338,7604.1657,
499.427,7631.1798,
496.517,7765.0819,
493.606,7829.7353,
490.695,7769.6544,
487.785,7800.446,
484.874,7875.8134,
481.964,7863.7111,
479.053,7794.5813,
476.143,7803.7968,
473.232,7802.2168,
470.321,7776.073,
467.411,7774.1945,
464.500,7845.8623,
461.590,7786.1346,
458.679,7790.2862,
455.769,7791.6218,
452.858,7758.0908,
449.947,7764.9662,
447.037,7816.1294,
444.126,7856.5083,
441.216,7871.301,
438.305,7876.6345,
435.395,7859.6728,
432.484,7857.043,
429.573,7864.6,
426.663,7856.9986,
423.752,7864.744,
420.842,7820.423,
417.931,7779.5352,
415.020,7836.412,
412.110,7902.0253,
409.199,7982.0987,
406.289,8054.6579,
403.378,8095.3904,
400.468,8099.9263,
397.557,8065.8987,
394.646,7998.1681,
391.736,7904.3368,
388.825,7871.9048,
385.915,7827.2502,
383.004,7809.7955,
380.094,7854.0472,
377.183,8063.2356,
374.272,8219.6183,
371.362,8334.751,
368.451,8411.2352,
365.541,8392.4718,
362.630,8437.6291,
359.719,8464.8726,
356.809,8436.673,
353.898,8540.7559,
350.988,8557.4403,
348.077,8563.0571,
345.167,8604.1374,
342.256,8658.6734,
339.345,8687.1294,
336.435,8708.9235,
333.524,8735.5294,
330.614,8708.7038,
327.703,8731.6927,
324.793,8762.1484,
321.882,8764.5985,
318.971,8856.7854,
316.061,8911.3258,
313.150,8952.2345,
310.240,9006.4089,
307.329,9017.6653,
304.418,9087.0323,
301.508,9151.1965,
298.597,9097.8865,
295.687,9101.5019,
292.776,9169.542,
289.866,9326.789,
286.955,9646.6571,
284.044,9945.3747,
281.134,10224.197,
278.223,10486.098,
275.313,10743.998,
272.402,11002.272,
269.492,11196.586,
266.581,11305.89,
263.670,11411.021,
260.760,11541.15,
257.849,11686.78,
254.939,11842.363,
252.028,11927.617,
249.117,11983.13,
246.207,12011.564,
243.296,12012.296,
240.386,11959.483,
237.475,11917.928,
234.565,11885.217,
231.654,11814.369,
228.743,11736.66,
225.833,11612.017,
222.922,11430.453,
220.012,11367.798,
217.101,11279.166,
214.191,11200.07,
211.280,11172.426,
208.369,11198.633,
205.459,11153.685,
202.548,11060.361,
199.638,11031.335,
196.727,11017.884,
193.816,11032.242,
190.906,11081.6,
187.995,11173.551,
185.085,11205.375,
182.174,11191.859,
179.264,11141.988,
176.353,11219.676,
173.442,11204.378,
170.532,11093.107,
167.621,11073.64,
164.711,10871.287,
161.800,10535.84,
158.890,10074.495,
155.979,9443.6662,
153.068,8663.7099,
150.158,7743.0089,
147.247,6671.1061,
144.337,5472.1201,
141.426,4276.9249,
138.516,3146.3874,
135.605,2296.5871,
132.694,1580.1129,
129.784,1010.0106,
126.873,674.6147,
123.963,473.78166,
121.052,337.68056,
118.141,247.72891,
115.231,191.95051,
112.320,153.70047,
109.410,129.64789,
106.499,115.40479,
103.589,104.53144,
100.678,94.029053,
97.767,82.654052,
94.857,75.44511,
91.946,68.343891,
89.036,62.375,
86.125,62.375,
83.215,58.658558,
80.304,54.177837,
77.393,50.636987,
74.483,44.478785,
71.572,39.563239,
68.662,36.236465,
65.751,34.823563,
62.840,37.746914,
59.930,39.314852,
57.019,31.55895,
54.109,29.180678,
51.198,28.978219,
48.288,30.437287,
45.377,38.174446,
42.466,39.313903,
39.556,36.605237,
36.645,38.009618,
33.735,36.817255,
30.824,33.607904,
27.914,27.998502,
25.003,31.110825,
22.092,34.020809,
19.182,35.649594,
16.271,44.043476,
13.361,149.78929,
10.450,348.66703,
7.539,687.34998,
4.629,797.06065,
1.718,699.34798,
-1.192,314.5242,
-4.103,115.28064,
-7.013,14.118687,
-9.924,4.375,
