,PL041B~1,
Raman shift [1/cm],Intensity,
589.655,2072.0563,
586.745,2044.5279,
583.834,2017.4659,
580.923,2044,
578.013,2044,
575.102,2021.6301,
572.192,2020.3632,
569.281,2050.109,
566.371,2061.8484,
563.460,2041.1305,
560.549,2065.1349,
557.639,2100,
554.728,2101.3796,
551.818,2123.2284,
548.907,2106.6705,
545.996,2097.2767,
543.086,2104.8388,
540.175,2108.732,
537.265,2130.0041,
534.354,2159.5727,
531.444,2167.6244,
528.533,2135.3728,
525.622,2168.7386,
522.712,2186.9216,
519.801,2217.6766,
516.891,2255.8435,
513.980,2255.0692,
511.070,2271.9043,
508.159,2300.0129,
505.248,2334.0159,
502.338,2368.1974,
499.427,2409.1045,
496.517,2413.7778,
493.606,2414.7204,
490.695,2428.4606,
487.785,2446.1658,
484.874,2419.9199,
481.964,2422.2722,
479.053,2442.6681,
476.143,2420.3972,
473.232,2410.3672,
470.321,2399.2148,
467.411,2379.35,
464.500,2346.3963,
461.590,2401.5296,
458.679,2395.5385,
455.769,2397.534,
452.858,2441.034,
449.947,2450.9651,
447.037,2467.5623,
444.126,2479.5879,
441.216,2491.2759,
438.305,2533.1821,
435.395,2532.4436,
432.484,2511.0797,
429.573,2496.4726,
426.663,2541.3209,
423.752,2540.1181,
420.842,2554.8974,
417.931,2565.0884,
415.020,2530.204,
412.110,2601.4297,
409.199,2625.555,
406.289,2623.7379,
403.378,2625.8642,
400.468,2585.7965,
397.557,2582.7688,
394.646,2593.3467,
391.736,2597,
388.825,2597,
385.915,2549.6348,
383.004,2545.1206,
380.094,2637.3474,
377.183,2624.5553,
374.272,2658.4518,
371.362,2689.7057,
368.451,2690.6413,
365.541,2717.6606,
362.630,2733.1936,
359.719,2735.8565,
356.809,2728.2201,
353.898,2764.9113,
350.988,2774.4575,
348.077,2757.1563,
345.167,2718.6489,
342.256,2770.9437,
339.345,2766.8684,
336.435,2748.8896,
333.524,2746.0235,
330.614,2746.7686,
327.703,2781.3981,
324.793,2800.3371,
321.882,2761.0541,
318.971,2783.3574,
316.061,2805.6494,
313.150,2822.8476,
310.240,2828.7845,
307.329,2841.1488,
304.418,2817.7309,
301.508,2782.6215,
298.597,2777.4386,
295.687,2785.1269,
292.776,2775.6666,
289.866,2784.4015,
286.955,2914.4172,
284.044,3012.6949,
281.134,3078.9955,
278.223,3121.6225,
275.313,3180.5709,
272.402,3191.2573,
269.492,3228.9729,
266.581,3314.8918,
263.670,3341.3583,
260.760,3385.0444,
257.849,3421.8494,
254.939,3432.8576,
252.028,3407.6654,
249.117,3430.8916,
246.207,3455.226,
243.296,3398.1271,
240.386,3404.4068,
237.475,3409.4633,
234.565,3398.3724,
231.654,3343.5937,
228.743,3303.2316,
225.833,3263.0964,
222.922,3220.1359,
220.012,3223.0501,
217.101,3200.4456,
214.191,3171.8474,
211.280,3158.0256,
208.369,3126.0506,
205.459,3131.3618,
202.548,3162,
199.638,3162,
196.727,3152.2043,
193.816,3157.944,
190.906,3187.4667,
187.995,3172.2622,
185.085,3181.1857,
182.174,3199.9383,
179.264,3210.7797,
176.353,3194.699,
173.442,3200.59,
170.532,3222.8756,
167.621,3178.8961,
164.711,3123.3779,
161.800,3042.22,
158.890,2919.8663,
155.979,2757.8857,
153.068,2541.1052,
150.158,2271.7894,
147.247,1947.2749,
144.337,1616.2554,
141.426,1294.1856,
138.516,989.50682,
135.605,677.33711,
132.694,445.31765,
129.784,285.0213,
126.873,192.76955,
123.963,127.90532,
121.052,84.784613,
118.141,64.081455,
115.231,53.341445,
112.320,41.798189,
109.410,30.772803,
106.499,24.363406,
103.589,28.602545,
100.678,29.197296,
97.767,19.24417,
94.857,16.921033,
91.946,16,
89.036,16.451592,
86.125,19.288413,
83.215,17.345398,
80.304,15.718298,
77.393,17.842808,
74.483,11.44865,
71.572,8.3623521,
68.662,8.861465,
65.751,7.4485628,
62.840,10.371914,
59.930,13.625428,
57.019,12.215264,
54.109,10.208517,
51.198,9.3016093,
48.288,9.9773502,
45.377,7.163838,
42.466,9.2977547,
39.556,13.884881,
36.645,13.182691,
33.735,10.923006,
30.824,7.2329042,
