,PL718D~1,
Raman shift [1/cm],Intensity,
374.272,3577.6223,
371.362,3613.3449,
368.451,3664.1811,
365.541,3722.7229,
362.630,3716.7754,
359.719,3713.1274,
356.809,3748.5765,
353.898,3764.3013,
350.988,3767.54,
348.077,3779.6934,
345.167,3810.6033,
342.256,3790.4324,
339.345,3775.5906,
336.435,3782.615,
333.524,3822.4001,
330.614,3846.9902,
327.703,3855.1384,
324.793,3862.8432,
321.882,3883.6593,
318.971,3897.7847,
316.061,3917.7627,
313.150,3937.3202,
310.240,3949.1941,
307.329,3998.9349,
304.418,4045.9822,
301.508,4062.2803,
298.597,4000.8257,
295.687,4049.127,
292.776,4102.1251,
289.866,4170.5176,
286.955,4312.3529,
284.044,4448.3724,
281.134,4567.8356,
278.223,4668.912,
275.313,4752.9135,
272.402,4830.458,
269.492,4914.499,
266.581,5009.7193,
263.670,5108.9687,
260.760,5164.2665,
257.849,5231.2251,
254.939,5353.0496,
252.028,5373.445,
249.117,5363.7224,
246.207,5352.3379,
243.296,5386.0116,
240.386,5399.4199,
237.475,5364.2854,
234.565,5284.3255,
231.654,5187.1844,
228.743,5174.1048,
225.833,5135.415,
222.922,5034.1494,
220.012,5023.9496,
217.101,4992.6542,
214.191,4943.2989,
211.280,4875.6448,
208.369,4880.7172,
205.459,4895.207,
202.548,4910.1264,
199.638,4913.029,
196.727,4929.1828,
193.816,4917.4463,
190.906,4867.2819,
187.995,4971.5414,
185.085,5022.7564,
182.174,5037.6662,
179.264,5030.4385,
176.353,5065.5086,
173.442,5088.1629,
170.532,5083.9723,
167.621,5009.7118,
164.711,4955.4631,
161.800,4874.7348,
158.890,4728.6301,
155.979,4468.2816,
153.068,4143.7675,
150.158,3747.0909,
147.247,3220.8319,
144.337,2663.09,
141.426,2095.1134,
138.516,1525.1848,
135.605,1090.3198,
132.694,747.06563,
129.784,490.66051,
126.873,336.90759,
123.963,224.81704,
121.052,150.31041,
118.141,116.75701,
115.231,89.623327,
112.320,73.117733,
109.410,63.170605,
106.499,50.351811,
103.589,45.383982,
100.678,41.99527,
97.767,37.729644,
94.857,31.388099,
91.946,28.221889,
89.036,27.512102,
86.125,26.802897,
83.215,26.625,
80.304,24.470106,
77.393,18.096576,
74.483,16.31473,
71.572,16.712056,
68.662,18.209395,
65.751,13.970689,
62.840,16.478616,
59.930,17.815707,
57.019,7.2394772,
54.109,5.625,
51.198,6.5298278,
48.288,8.6419873,
45.377,10.752122,
42.466,10.388342,
39.556,9.0854743,
36.645,11.894235,
