,PLF44C~1,
Wavenumbers [1/cm],Intensity,
1503.577,5036.0067,
1500.666,5034.8572,
1497.756,4983.8282,
1494.845,4962.682,
1491.934,4831.9707,
1489.024,4784.8085,
1486.113,4726.5649,
1483.203,4681.2693,
1480.292,4559.0304,
1477.382,4526.8095,
1474.471,4475.0127,
1471.560,4335.3104,
1468.650,4269.6766,
1465.739,4258.563,
1462.829,4233.2523,
1459.918,4194.4729,
1457.008,4183.2328,
1454.097,4150.8416,
1451.186,4133.4035,
1448.276,4155.4145,
1445.365,4128.9828,
1442.455,4123.459,
1439.544,4093.4066,
1436.633,4111.979,
1433.723,4099.6175,
1430.812,4113.948,
1427.902,4076.0192,
1424.991,4155.6312,
1422.081,4152.6201,
1419.170,4157.3094,
1416.259,4210.7791,
1413.349,4189.8944,
1410.438,4216.2133,
1407.528,4217.9627,
1404.617,4188.4013,
1401.707,4129.6699,
1398.796,4096.7893,
1395.885,4097.7509,
1392.975,4075.2494,
1390.064,4041.3559,
1387.154,4018.5825,
1384.243,3994.5383,
1381.332,3984.5596,
1378.422,4013.0131,
1375.511,4185.3808,
1372.601,4351.243,
1369.690,4434.56,
1366.780,4538.7931,
1363.869,4680.0878,
1360.958,4747.2326,
1358.048,4869.481,
1355.137,4967.2037,
1352.227,5013.6611,
1349.316,5118.6137,
1346.406,5286.4922,
1343.495,5420.2975,
1340.584,5482.3039,
1337.674,5475.4547,
1334.763,5607.2181,
1331.853,5714.7769,
1328.942,5824.9712,
1326.032,5892.7716,
1323.121,5990.3359,
1320.210,6139.9907,
1317.300,6249.7045,
1314.389,6403.8635,
1311.479,6541.5908,
1308.568,6643.8856,
1305.657,6819.2926,
1302.747,6979.9017,
1299.836,7143.1695,
1296.926,7337.6708,
1294.015,7521.5355,
1291.105,7752.7826,
1288.194,8058.6913,
1285.283,8207.6013,
1282.373,8386.5698,
1279.462,8596.201,
1276.552,8733.4322,
1273.641,8839.7969,
1270.731,8925.3668,
1267.820,8875.4101,
1264.909,8883.1579,
1261.999,8877.0238,
1259.088,8901.651,
1256.178,8756.671,
1253.267,8562.5748,
1250.356,8300.499,
1247.446,8054.6167,
1244.535,7776.2103,
1241.625,7449.3699,
1238.714,7148.3027,
1235.804,6904.8341,
1232.893,6673.5241,
1229.982,6560.2307,
1227.072,6445.2561,
1224.161,6286.6748,
1221.251,6156.8718,
1218.340,6030.1357,
1215.430,5944.8907,
1212.519,5906.1643,
1209.608,5859.3962,
1206.698,5789.4865,
1203.787,5769.9692,
1200.877,5775.0871,
1197.966,5871.2972,
1195.055,6102.2359,
1192.145,6176.4381,
1189.234,6304.2588,
1186.324,6474.5899,
1183.413,6584.4397,
1180.503,6596.2975,
1177.592,6560.5289,
1174.681,6534.4058,
1171.771,6549.445,
1168.860,6519.9731,
1165.950,6512.2873,
1163.039,6479.6969,
1160.129,6516.2627,
1157.218,6475.1687,
1154.307,6369.0084,
1151.397,6299.4503,
1148.486,6217.5256,
1145.576,6210.5401,
1142.665,6127.9642,
1139.754,6139.0248,
1136.844,6093.4035,
1133.933,6028.7235,
1131.023,5970.2713,
1128.112,5945.5526,
1125.202,5956.6419,
1122.291,5942.8419,
1119.380,5857.5234,
1116.470,5898.1197,
1113.559,5903.8982,
1110.649,5863.5246,
1107.738,5854.9846,
1104.828,5847.4005,
1101.917,5822.0126,
1099.006,5821.6715,
1096.096,5810.5013,
1093.185,5816.6473,
1090.275,5852.7329,
1087.364,5879.6503,
1084.453,5948.3087,
1081.543,6064.8021,
1078.632,6153.4982,
1075.722,6150.0563,
1072.811,6140.5045,
1069.901,6131.7719,
1066.990,6077.7751,
1064.079,6016.128,
1061.169,5967.7191,
1058.258,5938.2318,
1055.348,5958.7544,
1052.437,6043.1926,
1049.527,6073.2187,
1046.616,6049.7603,
1043.705,6060.9988,
1040.795,6065.125,
1037.884,6116.2045,
1034.974,6157.1869,
1032.063,6154.2861,
1029.153,6203.4074,
1026.242,6289.0381,
1023.331,6257.9605,
1020.421,6268.5525,
1017.510,6278.3661,
1014.600,6341.8728,
1011.689,6432.6816,
1008.778,6456.8954,
1005.868,6503.5073,
1002.957,6657.5107,
1000.047,6893.7011,
997.136,7157.5453,
994.226,7332.1858,
991.315,7397.5631,
988.404,7408.7487,
985.494,7353.3221,
982.583,7272.8058,
979.673,7280.1478,
976.762,7308.8478,
973.852,7363.4639,
970.941,7394.1566,
968.030,7353.3332,
965.120,7377.4723,
962.209,7460.1688,
959.299,7473.4168,
956.388,7477.0447,
953.477,7456.6964,
950.567,7447.4374,
947.656,7510.6659,
944.746,7469.0376,
941.835,7505.996,
938.925,7514.4669,
936.014,7506.5376,
933.103,7481.8234,
930.193,7445.7303,
927.282,7422.8547,
924.372,7325.6099,
921.461,7218.1294,
918.551,7108.0227,
915.640,7023.8039,
912.729,6928.5752,
909.819,6772.8992,
906.908,6740.8871,
903.998,6739.9204,
901.087,6741.398,
898.176,6756.918,
895.266,6788.3602,
892.355,6846.4116,
889.445,6981.5336,
886.534,7021.364,
883.624,7074.8776,
880.713,7138.9742,
877.802,7119.3736,
874.892,6923.6586,
871.981,6547.9957,
869.071,6330.7884,
866.160,6477.3442,
863.250,6778.1934,
860.339,6981.1366,
857.428,6995.4816,
854.518,7012.9255,
851.607,6833.1985,
848.697,6562.7646,
845.786,6443.7457,
842.875,6548.0778,
839.965,6793.8929,
837.054,6948.7204,
834.144,7001.7606,
831.233,6998.126,
828.323,6988.6521,
825.412,6957.1483,
822.501,6880.7842,
819.591,6795.6651,
816.680,6648.894,
813.770,6569.8963,
810.859,6484.11,
807.949,6392.3835,
805.038,6335.1604,
802.127,6269.3102,
799.217,6295.1768,
796.306,6206.7999,
793.396,6179.011,
790.485,6241.2796,
787.574,6195.7094,
784.664,6263.7787,
781.753,6354.6301,
778.843,6430.3713,
775.932,6475.2977,
773.022,6487.4766,
770.111,6476.8481,
767.200,6391.6193,
764.290,6320.6284,
761.379,6283.7925,
758.469,6259.5466,
755.558,6193.3924,
752.648,6202.3531,
749.737,6241.334,
746.826,6201.9149,
743.916,6086.6568,
741.005,5940.9236,
738.095,5735.5188,
735.184,5600.2907,
732.274,5568.7465,
729.363,5690.4086,
726.452,5936.922,
723.542,6096.3725,
720.631,6209.8668,
717.721,6282.797,
714.810,6330.2556,
711.899,6363.0161,
708.989,6383.9962,
706.078,6396.1445,
703.168,6348.1184,
700.257,6306.0484,
697.347,6283.9955,
694.436,6251.1686,
691.525,6252.7763,
688.615,6271.9923,
685.704,6304.278,
682.794,6335.4016,
679.883,6347.9993,
676.973,6389.6705,
674.062,6420.4579,
671.151,6406.3869,
668.241,6364.0246,
665.330,6335.8939,
662.420,6288.7687,
659.509,6347.6976,
656.598,6370.6805,
653.688,6379.7207,
650.777,6483.7721,
647.867,6532.3482,
644.956,6511.5483,
642.046,6377.2813,
639.135,6210.9328,
636.224,6195.4353,
633.314,6257.3625,
630.403,6279.0371,
627.493,6284.2772,
624.582,6275.3541,
621.672,6227.0425,
618.761,6216.0057,
615.850,6254.4491,
612.940,6297.3464,
610.029,6314.7304,
607.119,6312.3615,
604.208,6305.7349,
601.297,6272.7154,
598.387,6246.4245,
595.476,6256.0108,
592.566,6244.2048,
589.655,6207.7868,
586.745,6212.9933,
583.834,6214.7007,
580.923,6110.0444,
578.013,6096.704,
575.102,6134.4234,
572.192,6191.2068,
569.281,6246.8422,
566.371,6295.3649,
563.460,6265.5571,
560.549,6238.4558,
557.639,6247.4158,
554.728,6312.7072,
551.818,6385.2766,
548.907,6496.8029,
545.996,6558.5138,
543.086,6554.5954,
540.175,6533.572,
537.265,6491.5654,
534.354,6487.1622,
531.444,6507.5994,
528.533,6540.4575,
525.622,6657.6256,
522.712,6723.7775,
519.801,6761.9633,
516.891,6810.0784,
513.980,6953.3232,
511.070,7047.8293,
508.159,7114.5995,
505.248,7193.6881,
502.338,7327.2879,
499.427,7435.3444,
496.517,7563.1148,
