,PL0BCA~1,
Wavenumbers [1/cm],Intensity,
676.973,5549.8793,
674.062,5571.7399,
671.151,5564.6418,
668.241,5541.1357,
665.330,5561.9894,
662.420,5503.682,
659.509,5466.3528,
656.598,5512.7677,
653.688,5607.7028,
650.777,5658.4521,
647.867,5679.1566,
644.956,5611.9286,
642.046,5539.5573,
639.135,5489.4792,
636.224,5451.1598,
633.314,5532.9355,
630.403,5516.5037,
627.493,5509.1856,
624.582,5516.1489,
621.672,5414.7736,
618.761,5401.6307,
615.850,5473.6843,
612.940,5534.0669,
610.029,5523.6749,
607.119,5469.1904,
604.208,5505.6408,
601.297,5518.7619,
598.387,5509.5906,
595.476,5496.0815,
592.566,5488.9979,
589.655,5444.9893,
586.745,5405.6932,
583.834,5379.48,
580.923,5360.8495,
578.013,5377.3289,
575.102,5409.8558,
572.192,5443.255,
569.281,5463.3598,
566.371,5450.0552,
563.460,5436.0516,
560.549,5472.1687,
557.639,5523.0012,
554.728,5545.7556,
551.818,5593.3548,
548.907,5648.2372,
545.996,5669.363,
543.086,5661.6085,
540.175,5679.5174,
537.265,5656.8488,
534.354,5696.414,
531.444,5738.3409,
528.533,5721.6948,
525.622,5720.9189,
522.712,5806.3022,
519.801,5901.8474,
516.891,5979.1139,
513.980,6040.2833,
511.070,6064.7674,
508.159,6156.3241,
505.248,6269.0308,
502.338,6337.2232,
499.427,6490.0459,
496.517,6556.7702,
493.606,6627.2238,
490.695,6733.1691,
487.785,6779.3565,
484.874,6774.4717,
481.964,6758.1986,
479.053,6744.5661,
476.143,6743.7982,
473.232,6702.744,
470.321,6710.5922,
467.411,6737.7761,
464.500,6745.7475,
461.590,6824.6188,
458.679,6869.8624,
455.769,6923.092,
452.858,6999.6588,
449.947,7017.9932,
447.037,7123.6858,
444.126,7244.4651,
441.216,7340.7926,
438.305,7358.3171,
435.395,7305.6765,
432.484,7351.7654,
429.573,7443.2598,
426.663,7385.4892,
423.752,7187.5649,
420.842,6927.9259,
417.931,6741.8052,
415.020,6822.9495,
412.110,7347.3902,
409.199,7672.7352,
406.289,7784.4624,
403.378,7697.4324,
400.468,7603.6891,
397.557,7701.2591,
394.646,7843.567,
391.736,7904.4401,
388.825,7957.2363,
385.915,7963.7027,
383.004,7960.3187,
380.094,7977.4316,
377.183,8088.7981,
374.272,8172.9425,
371.362,8234.2323,
368.451,8273.9324,
365.541,8276.9345,
362.630,8298.5071,
359.719,8311.9024,
356.809,8305.6045,
353.898,8352.7788,
350.988,8366.2925,
348.077,8363.5555,
345.167,8354.1607,
342.256,8322.7838,
339.345,8339.2588,
336.435,8378.9607,
333.524,8424.6191,
330.614,8452.1898,
327.703,8494.1213,
324.793,8526.7812,
321.882,8529.9339,
318.971,8605.765,
316.061,8638.5864,
313.150,8696.7904,
310.240,8860.798,
307.329,8988.9529,
304.418,9025.8952,
301.508,8991.6638,
298.597,8916.1413,
295.687,8911.1045,
292.776,8960.0836,
289.866,9046.2772,
286.955,9134.1855,
284.044,9216.9574,
281.134,9303.2954,
278.223,9387.5402,
275.313,9433.9621,
272.402,9507.6494,
269.492,9540.1253,
266.581,9513.325,
263.670,9549.3488,
260.760,9637.0627,
257.849,9772.1634,
254.939,9956.368,
252.028,9969.6077,
249.117,9965.9839,
246.207,9968.1146,
243.296,10012.037,
240.386,10067.03,
237.475,10087.219,
234.565,10075.715,
231.654,10069.141,
228.743,10038.406,
225.833,10027.726,
222.922,10051.867,
220.012,10032.924,
217.101,10071.896,
214.191,10115.034,
211.280,10102.668,
208.369,10101.077,
205.459,10127.5,
202.548,10165.619,
199.638,10153.283,
196.727,10124.244,
193.816,10094.816,
190.906,10075.077,
187.995,10169.924,
185.085,10217.881,
182.174,10252.38,
179.264,10317.428,
176.353,10327.313,
173.442,10368.269,
170.532,10430.273,
167.621,10366.107,
164.711,10253.097,
161.800,10023.223,
158.890,9602.9026,
155.979,9107.56,
153.068,8479.0892,
150.158,7701.1557,
147.247,6686.6891,
144.337,5552.9132,
141.426,4406.4462,
138.516,3294.5478,
135.605,2352.2216,
132.694,1609.7785,
129.784,1054.7132,
126.873,710.7357,
123.963,479.13408,
121.052,318.22267,
118.141,221.13199,
115.231,186.64262,
112.320,156.2282,
109.410,127.88672,
106.499,97.264049,
103.589,92.430763,
100.678,91.033783,
97.767,83.924407,
94.857,76.82011,
91.946,71.331335,
89.036,66.395225,
86.125,57.884762,
83.215,48.317115,
80.304,43.426029,
77.393,48.383218,
74.483,46.12946,
71.572,43.300592,
68.662,40.542198,
65.751,38.422844,
62.840,33.896384,
59.930,32.372007,
57.019,42.243155,
54.109,30.0153,
51.198,23.162874,
48.288,28.733013,
45.377,26.622878,
42.466,25.337781,
39.556,24.174407,
36.645,20.663456,
33.735,21.826994,
30.824,22.424678,
27.914,18.217627,
25.003,25.844287,
22.092,26.875145,
19.182,18.681351,
16.271,16.582881,
13.361,30.079571,
10.450,48.307723,
7.539,39.927939,
4.629,0.5746018,
1.718,-20.779525,
-1.192,23.140581,
-4.103,-17.432881,
-7.013,-33.568993,
-9.924,-2.25,
