,PLECFE~1,
Wavenumbers [1/cm],Intensity,
1468.650,2105.5685,
1465.739,2114.9647,
1462.829,2119.7818,
1459.918,2084.8105,
1457.008,2061.2731,
1454.097,2042.415,
1451.186,2057.0092,
1448.276,2101.5258,
1445.365,2095.716,
1442.455,2109.3704,
1439.544,2085.4875,
1436.633,2066.5554,
1433.723,2045.753,
1430.812,2039.1194,
1427.902,2043.0961,
1424.991,2015.6109,
1422.081,1998.2354,
1419.170,2066.7389,
1416.259,2031.5764,
1413.349,2034.3443,
1410.438,2034.5513,
1407.528,1999.2754,
1404.617,1975.4658,
1401.707,1974.3997,
1398.796,1975.3339,
1395.885,1990.699,
1392.975,2005.1871,
1390.064,1963.028,
1387.154,1907.7222,
1384.243,1924.3714,
1381.332,1934.3354,
1378.422,1884.4593,
1375.511,2072.7523,
1372.601,2190.0247,
1369.690,2238.325,
1366.780,2306.5287,
1363.869,2378.6887,
1360.958,2420.8769,
1358.048,2490.4879,
1355.137,2515.5052,
1352.227,2539.7241,
1349.316,2623.6329,
1346.406,2703.9087,
1343.495,2758.4521,
1340.584,2802.9641,
1337.674,2834.5805,
1334.763,2973.9032,
1331.853,2951.6496,
1328.942,3031.6912,
1326.032,3097.2122,
1323.121,3151.985,
1320.210,3189.3913,
1317.300,3296.3676,
1314.389,3409.0009,
1311.479,3475.9052,
1308.568,3553.1632,
1305.657,3654.6075,
1302.747,3728.6851,
1299.836,3867.3349,
1296.926,3992.2448,
1294.015,4131.982,
1291.105,4261.0259,
1288.194,4396.7627,
1285.283,4583.5547,
1282.373,4723.5857,
1279.462,4820.3568,
1276.552,4880.4036,
1273.641,4918.9711,
1270.731,4958.453,
1267.820,4975.5178,
1264.909,4954.6514,
1261.999,4975.75,
1259.088,4975.75,
1256.178,4897.8125,
1253.267,4781.1786,
1250.356,4625.8125,
1247.446,4467.0064,
1244.535,4313.0047,
1241.625,4164.3687,
1238.714,4003.1845,
1235.804,3831.0317,
1232.893,3732.5266,
1229.982,3611.9033,
1227.072,3616.4299,
1224.161,3546.1477,
1221.251,3437.4528,
1218.340,3365.2335,
1215.430,3322.8297,
1212.519,3297.1476,
1209.608,3280.0169,
