,PLD1E6~1,
Wavenumbers [1/cm],Intensity,
700.257,5728.2471,
697.347,5708.2279,
694.436,5719.7898,
691.525,5684.4224,
688.615,5680.5235,
685.704,5734.9849,
682.794,5794.8565,
679.883,5766.1825,
676.973,5775.799,
674.062,5780.9404,
671.151,5756.0119,
668.241,5719.6058,
665.330,5712.6366,
662.420,5710.2404,
659.509,5737.052,
656.598,5758.8085,
653.688,5793.2049,
650.777,5881.237,
647.867,5866.1067,
644.956,5853.4627,
642.046,5737.4669,
639.135,5596.213,
636.224,5650.9171,
633.314,5684.2625,
630.403,5706.3478,
627.493,5714.5978,
624.582,5707.4529,
621.672,5683.693,
618.761,5681.9901,
615.850,5767.7041,
612.940,5836.3839,
610.029,5823.3597,
607.119,5760.9789,
604.208,5766.8202,
601.297,5789.6966,
598.387,5788.5456,
595.476,5742.9784,
592.566,5766.5904,
589.655,5732.5245,
586.745,5695.2592,
583.834,5669.3583,
580.923,5653.3662,
578.013,5589.8027,
575.102,5621.505,
572.192,5681.3308,
569.281,5730.2176,
566.371,5766.2183,
563.460,5785.9758,
560.549,5753.2804,
557.639,5735.9207,
554.728,5802.6862,
551.818,5817.5122,
548.907,5834.1571,
545.996,5887.072,
543.086,5940.6448,
540.175,5865.8948,
537.265,5889.7212,
534.354,5920.8176,
531.444,5946.3232,
528.533,5969.7999,
525.622,6097.0552,
522.712,6099.8731,
519.801,6127.6662,
516.891,6207.0448,
513.980,6248.0824,
511.070,6322.8891,
508.159,6400.5066,
505.248,6483.7949,
502.338,6581.1103,
499.427,6730.0738,
496.517,6853.4671,
493.606,6947.6978,
490.695,7004.6103,
487.785,6989.2145,
484.874,7003.5518,
481.964,6982.4347,
479.053,6938.6469,
476.143,6934.0391,
473.232,6869.7231,
470.321,6858.8607,
467.411,6869.1913,
464.500,6858.4263,
461.590,6964.0984,
458.679,7013.0103,
455.769,7064.9824,
452.858,7148.2835,
449.947,7191.8276,
447.037,7284.483,
444.126,7365.7379,
441.216,7413.2052,
438.305,7421.5864,
435.395,7481.1017,
432.484,7516.751,
429.573,7512.0349,
426.663,7461.8656,
423.752,7085.3282,
420.842,6655.2186,
417.931,6345.4461,
415.020,6379.5722,
412.110,7173.087,
409.199,7610.4491,
406.289,7730.2968,
403.378,7627.5861,
400.468,7579.2024,
397.557,7684.061,
394.646,7832.4956,
391.736,7929.8647,
388.825,8027.1605,
385.915,8037.1232,
383.004,8044.1646,
380.094,8105.8979,
377.183,8167.601,
374.272,8235.7714,
371.362,8285.5195,
368.451,8305.6708,
365.541,8370.2169,
362.630,8411.7846,
359.719,8431.75,
356.809,8433.5624,
353.898,8463.5143,
350.988,8519.4888,
348.077,8549.2953,
345.167,8524.4311,
342.256,8537.8784,
339.345,8549.1901,
336.435,8551.3085,
333.524,8541.3942,
330.614,8593.5551,
327.703,8602.0489,
324.793,8614.5999,
321.882,8671.7212,
318.971,8659.8261,
316.061,8755.8544,
313.150,8893.7761,
310.240,8999.8987,
307.329,9080.2162,
304.418,9113.9417,
301.508,9101.2084,
298.597,9039.0134,
295.687,9005.3059,
292.776,9027.1669,
289.866,9109.7564,
286.955,9266.3662,
284.044,9343.7774,
281.134,9370.1957,
278.223,9373.1448,
275.313,9457.8832,
272.402,9490.2726,
269.492,9475.7186,
266.581,9418.3868,
263.670,9371.3352,
260.760,9492.0025,
257.849,9665.0489,
254.939,9808.8899,
252.028,9829.57,
249.117,9849.998,
246.207,9888.8581,
243.296,9978.1666,
240.386,10009.299,
237.475,10044.954,
234.565,10084.44,
231.654,10088.823,
228.743,10089.175,
225.833,10089.055,
222.922,10090.362,
220.012,10103.476,
217.101,10091.066,
214.191,10089.486,
211.280,10141.864,
208.369,10139.022,
205.459,10134.951,
202.548,10135.756,
199.638,10147.366,
196.727,10173.375,
193.816,10194.964,
190.906,10204.623,
187.995,10201.003,
185.085,10265.004,
182.174,10342.059,
179.264,10357.96,
176.353,10387.944,
173.442,10388.885,
170.532,10352.837,
167.621,10267.762,
164.711,10129.651,
161.800,9873.8675,
158.890,9429.0758,
155.979,8981.8592,
153.068,8375.6855,
150.158,7595.5677,
147.247,6571.7678,
144.337,5464.9105,
141.426,4341.4462,
138.516,3229.5478,
135.605,2321.2028,
132.694,1591.9309,
129.784,1037.8037,
126.873,704.5532,
123.963,478.5485,
121.052,321.35582,
118.141,227.12076,
115.231,181.98407,
112.320,149.77001,
109.410,125.5685,
106.499,98.506601,
103.589,92.189746,
100.678,85.502701,
97.767,69.151137,
94.857,74.986901,
91.946,76.943778,
89.036,72.588859,
86.125,52.731111,
83.215,46.157239,
80.304,44.031702,
77.393,41.907192,
74.483,42.405135,
71.572,44.199408,
68.662,46.680733,
65.751,45.974281,
62.840,38.52447,
59.930,30.75,
57.019,30.75,
54.109,29.555678,
51.198,30.559656,
48.288,34.687713,
45.377,26.950554,
42.466,23.75,
39.556,23.519763,
36.645,22.115382,
33.735,20.192255,
30.824,19.854435,
27.914,23.360311,
25.003,29.976375,
22.092,30.19805,
19.182,22.635586,
16.271,19.138135,
13.361,35.451235,
10.450,56.504877,
7.539,37.650362,
4.629,-91.684319,
1.718,-191.14463,
-1.192,-135.37307,
-4.103,-117.31195,
-7.013,-79.239718,
-9.924,-8.25,
