,PL2B6E~1,
Wavenumbers [1/cm],Intensity,
211.280,7490.9176,
208.369,7474.5656,
205.459,7463.153,
202.548,7458.8698,
199.638,7447.985,
196.727,7457.2743,
193.816,7482.6073,
190.906,7520.4041,
187.995,7482.0308,
185.085,7483.8814,
182.174,7526.8025,
179.264,7622.9304,
176.353,7640.7986,
173.442,7626.6221,
170.532,7591.5577,
167.621,7564.1607,
164.711,7453.7387,
161.800,7259.0035,
158.890,6961.0362,
155.979,6640.6838,
153.068,6201.4846,
150.158,5635.671,
147.247,4900.4879,
144.337,4067.5828,
141.426,3217.0908,
138.516,2383.3463,
135.605,1696.9571,
132.694,1151.5941,
129.784,744.03673,
126.873,509.47414,
123.963,349.64318,
121.052,236.13779,
118.141,164.03369,
115.231,137.4589,
112.320,113.61729,
109.410,92.477474,
106.499,75.385748,
103.589,67.267964,
100.678,59.947296,
97.767,49.99417,
94.857,49.75,
91.946,53.377998,
89.036,57.282327,
86.125,48.062659,
83.215,37.255274,
80.304,31.426029,
77.393,36.383218,
74.483,36.75,
71.572,34.938239,
68.662,31.47293,
65.751,28.647126,
62.840,26.304894,
59.930,26.24829,
57.019,31.888945,
54.109,22.598266,
51.198,19.97253,
48.288,29.670726,
45.377,19.823433,
42.466,17.398877,
39.556,19.059289,
36.645,14.846147,
33.735,12.711503,
30.824,12.633548,
27.914,15.438249,
25.003,16.372637,
22.092,16.427095,
19.182,15.498289,
16.271,7.8038971,
13.361,-20.116021,
10.450,-100.28268,
7.539,-367.73746,
4.629,-660.30239,
1.718,-843.59195,
-1.192,-759.93461,
-4.103,-501.92852,
-7.013,-238.27435,
-9.924,-0.25,
