,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
1477.382,4396.6943,
1474.471,4311.71,
1471.560,4280.4933,
1468.650,4171.8426,
1465.739,4129.7954,
1462.829,4110.4741,
1459.918,4069.3354,
1457.008,4044.1807,
1454.097,4037.4392,
1451.186,4065.5237,
1448.276,4110.2259,
1445.365,4109.2137,
1442.455,4116.5093,
1439.544,4130.3993,
1436.633,4034.5355,
1433.723,4002.8535,
1430.812,4048.5387,
1427.902,3997.8246,
1424.991,4085.0187,
1422.081,4014.3518,
1419.170,4095.0201,
1416.259,4068.2468,
1413.349,4091.2254,
1410.438,4119.9443,
1407.528,4081.4006,
1404.617,4043.4203,
1401.707,3992.8847,
1398.796,3990.208,
1395.885,4030.8169,
1392.975,4015.3326,
1390.064,3975.8638,
1387.154,3960.5817,
1384.243,3972.615,
1381.332,4043.5487,
1378.422,4009.8652,
1375.511,4167.2444,
1372.601,4379.868,
1369.690,4402.8933,
1366.780,4532.0597,
1363.869,4594.0826,
1360.958,4689.9179,
1358.048,4806.7274,
1355.137,4876.726,
1352.227,4934.5542,
1349.316,5068.07,
1346.406,5210.4556,
1343.495,5247.9191,
1340.584,5342.3911,
1337.674,5452.3196,
1334.763,5430.7718,
1331.853,5615.2908,
1328.942,5624.5289,
1326.032,5690.8153,
1323.121,5813.9308,
1320.210,5958.9632,
1317.300,6032.8179,
1314.389,6178.3081,
1311.479,6346.8759,
1308.568,6486.7231,
1305.657,6672.6793,
1302.747,6792.1931,
1299.836,6906.9173,
1296.926,7102.3813,
1294.015,7288.0846,
1291.105,7648.8473,
1288.194,7818.1589,
1285.283,8100.0671,
1282.373,8247.8436,
1279.462,8393.2379,
1276.552,8565.4747,
1273.641,8704.3765,
1270.731,8772.8724,
1267.820,8731.0107,
1264.909,8709.9801,
1261.999,8661.8152,
1259.088,8691.0031,
1256.178,8555.717,
1253.267,8388.5173,
1250.356,8143.6056,
1247.446,7854.13,
1244.535,7510.6166,
1241.625,7182.2726,
1238.714,6926.2391,
1235.804,6687.3912,
1232.893,6472.2708,
1229.982,6375.1129,
1227.072,6297.2561,
1224.161,6136.2568,
1221.251,6016.6644,
1218.340,5922.2644,
1215.430,5809.0234,
1212.519,5751.5414,
1209.608,5729.6281,
1206.698,5689.5589,
1203.787,5723.7148,
1200.877,5679.4863,
1197.966,5755.9148,
1195.055,5932.1062,
1192.145,6072.9488,
1189.234,6257.6747,
1186.324,6369.3894,
1183.413,6434.613,
1180.503,6480.0402,
1177.592,6468.1034,
1174.681,6443.1199,
1171.771,6375.6991,
1168.860,6330.1516,
1165.950,6269.3097,
1163.039,6252.9564,
1160.129,6274.7543,
1157.218,6294.1152,
1154.307,6243.9513,
1151.397,6147.0151,
1148.486,6122.6577,
1145.576,6074.3215,
1142.665,6018.383,
1139.754,5971.4413,
1136.844,5935.8388,
1133.933,5894.8382,
1131.023,5853.4499,
1128.112,5821.8227,
1125.202,5800.1945,
1122.291,5780.7446,
1119.380,5767.0791,
1116.470,5800.6152,
1113.559,5779.2328,
1110.649,5740.3174,
1107.738,5726.9649,
1104.828,5679.8181,
1101.917,5622.7683,
1099.006,5645.5131,
1096.096,5612.1791,
1093.185,5700.8573,
1090.275,5752.2599,
1087.364,5762.75,
1084.453,5797.6228,
1081.543,5879.0894,
1078.632,5945.9295,
1075.722,5948.5888,
1072.811,5985.6331,
1069.901,5969.9144,
1066.990,5914.5918,
1064.079,5858.8776,
1061.169,5831.5701,
1058.258,5829.9849,
1055.348,5835.1621,
1052.437,5837.8497,
1049.527,5862.5766,
1046.616,5961.6231,
1043.705,5985.0822,
1040.795,5982.365,
1037.884,5973.6926,
1034.974,6010.0889,
1032.063,6076.8886,
1029.153,6069.5157,
1026.242,6084.2199,
1023.331,6099.749,
1020.421,6154.3355,
1017.510,6195.2391,
1014.600,6259.2328,
1011.689,6342.7139,
1008.778,6383.7763,
1005.868,6391.9894,
1002.957,6641.4922,
1000.047,6854.4701,
997.136,7117.6788,
994.226,7314.7491,
991.315,7339.255,
988.404,7224.9133,
985.494,7193.254,
982.583,7126.4426,
979.673,7188.4514,
976.762,7226.492,
973.852,7276.741,
970.941,7298.9264,
968.030,7230.5593,
965.120,7257.7822,
962.209,7265.4551,
959.299,7310.6614,
956.388,7340.5092,
953.477,7326.7325,
950.567,7306.0369,
947.656,7343.0896,
944.746,7360.9303,
941.835,7425.7253,
938.925,7380.8674,
936.014,7367.4539,
933.103,7361.7989,
930.193,7289.1872,
