,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
778.843,3668.1985,
775.932,3698.4582,
773.022,3716.491,
770.111,3712.4031,
767.200,3654.2653,
764.290,3614.7435,
761.379,3593.6109,
758.469,3578.4285,
755.558,3553.1007,
752.648,3552.2861,
749.737,3515.5688,
746.826,3488.1992,
743.916,3463.2092,
741.005,3408.7361,
738.095,3290.2021,
735.184,3170.2962,
732.274,3148.635,
729.363,3246.1392,
726.452,3410.1648,
723.542,3454.6814,
720.631,3532.0498,
717.721,3568.8733,
714.810,3580.267,
711.899,3588.7092,
708.989,3616.9516,
706.078,3661.1967,
703.168,3625.9762,
700.257,3568.0701,
697.347,3523.995,
694.436,3510.2161,
691.525,3550.4064,
688.615,3534.5975,
685.704,3516.2398,
682.794,3532.6567,
679.883,3601.6472,
676.973,3568.791,
674.062,3597.8576,
671.151,3608.0434,
668.241,3582.4978,
665.330,3541.4065,
662.420,3526.2306,
659.509,3535.1887,
656.598,3529.1425,
653.688,3540.6503,
650.777,3635.612,
647.867,3620.4817,
644.956,3581.8334,
642.046,3504.5688,
639.135,3454.2126,
636.224,3559.942,
633.314,3523.4208,
630.403,3529.4965,
627.493,3547.8065,
624.582,3560.4781,
621.672,3562.0621,
618.761,3516.5286,
615.850,3529.6744,
612.940,3564.4202,
610.029,3587.862,
607.119,3586.2827,
604.208,3540.6842,
601.297,3517.1398,
598.387,3516.7111,
595.476,3531.0219,
592.566,3561.7175,
589.655,3510.7586,
586.745,3464.5021,
583.834,3444.7838,
580.923,3446.907,
578.013,3410.8092,
575.102,3415.4647,
572.192,3442.9174,
569.281,3479.452,
566.371,3514.6701,
563.460,3471.5641,
560.549,3470.6416,
557.639,3501.4047,
554.728,3535.2291,
551.818,3584.389,
548.907,3614.6262,
545.996,3624.0147,
543.086,3620.8026,
540.175,3628.5891,
537.265,3647.9563,
534.354,3668.6706,
531.444,3676.8305,
528.533,3665.0012,
525.622,3691.3834,
522.712,3749.9125,
519.801,3799.4002,
516.891,3831.4807,
513.980,3867.8726,
511.070,3910.5685,
508.159,3952.436,
505.248,4013.1728,
502.338,4115.6268,
499.427,4235.2607,
496.517,4272.2159,
493.606,4303.0443,
490.695,4359.8695,
487.785,4386.8121,
484.874,4395.0023,
481.964,4384.6667,
479.053,4357.1967,
476.143,4315.7267,
473.232,4308.0892,
470.321,4287.1485,
467.411,4293.4641,
464.500,4370.8729,
461.590,4360.9183,
458.679,4417.5568,
455.769,4484.3987,
452.858,4524.2045,
449.947,4524.9685,
447.037,4576.6996,
444.126,4631.9371,
441.216,4673.2259,
438.305,4696.8458,
435.395,4712.5821,
432.484,4729.9606,
429.573,4725.5998,
426.663,4641.9843,
423.752,4382.6593,
420.842,4054.3724,
417.931,3793.0477,
415.020,3789.2559,
412.110,4389.0478,
409.199,4724.0393,
406.289,4832.318,
403.378,4795.9713,
400.468,4750.6117,
397.557,4794.2239,
394.646,4902.9941,
391.736,5048.5214,
388.825,5029.6656,
385.915,5021.9962,
383.004,5038.1142,
380.094,5085.6587,
377.183,5135.3221,
374.272,5188.2052,
371.362,5217.5931,
368.451,5212.6811,
365.541,5271.2229,
362.630,5337.9254,
359.719,5378.0532,
356.809,5371.3579,
353.898,5342.1548,
350.988,5354.197,
348.077,5380.1277,
345.167,5399.7788,
342.256,5353.4606,
339.345,5346.5022,
336.435,5359.0648,
333.524,5376.9371,
330.614,5370.9759,
327.703,5397.8757,
324.793,5426.1562,
321.882,5429.2854,
318.971,5495.4519,
316.061,5542.0524,
313.150,5582.5988,
