,PL5BD3~1,
Raman shift [1/cm],Intensity,
1331.853,681.09974,
1328.942,693.84196,
1326.032,656.35021,
1323.121,717.15066,
1320.210,720.85646,
1317.300,743.553,
1314.389,768.5556,
1311.479,789.28627,
1308.568,807.75294,
1305.657,785.13787,
1302.747,776.75187,
1299.836,868.99141,
1296.926,874.63645,
1294.015,920.60263,
1291.105,958.60221,
1288.194,957.9088,
1285.283,974.40008,
1282.373,1051.1091,
1279.462,1083.2649,
1276.552,1085.3268,
1273.641,1104.2309,
1270.731,1128.497,
1267.820,1145.2291,
1264.909,1114.4777,
1261.999,1093.6318,
1259.088,1124.6439,
1256.178,1090.5288,
1253.267,1041.5371,
1250.356,1054.9129,
1247.446,1028.1893,
1244.535,971.26347,
1241.625,909.20379,
1238.714,868.66132,
1235.804,872.04863,
1232.893,830.37057,
1229.982,848.66017,
1227.072,794.34144,
1224.161,830.84418,
1221.251,828.07687,
1218.340,764.25349,
1215.430,717.18608,
1212.519,705.04724,
1209.608,723.28191,
1206.698,753.67012,
1203.787,748.41961,
1200.877,778.60549,
1197.966,748.03407,
1195.055,796.84167,
1192.145,828.0403,
1189.234,845.23189,
1186.324,866.3197,
1183.413,879.5,
1180.503,876.4647,
1177.592,863.76248,
1174.681,841.88014,
1171.771,844.45879,
1168.860,842.67261,
1165.950,815.08616,
1163.039,807.8016,
1160.129,812.8087,
1157.218,811.2119,
1154.307,802.16077,
1151.397,790.50438,
1148.486,772.15129,
1145.576,765.50224,
1142.665,788.58797,
1139.754,747.37768,
1136.844,759.20939,
1133.933,769.67301,
1131.023,762.00227,
1128.112,755.71382,
1125.202,756.42755,
1122.291,742.38006,
1119.380,755.50866,
1116.470,756.39119,
1113.559,773.51148,
1110.649,775.22577,
1107.738,772.96418,
1104.828,782.48639,
1101.917,789.69498,
1099.006,768.76816,
1096.096,747.68257,
1093.185,766.99863,
1090.275,766.88146,
1087.364,762.38326,
1084.453,749.25071,
1081.543,765.91682,
1078.632,790.66514,
1075.722,779.89406,
1072.811,807.43795,
1069.901,806.56469,
1066.990,786.29171,
1064.079,799.87387,
1061.169,786.96025,
1058.258,788.55685,
1055.348,809.50271,
1052.437,804.71549,
1049.527,840.22448,
1046.616,807.20896,
1043.705,839.72596,
1040.795,865.82411,
1037.884,859.32787,
1034.974,857.53479,
1032.063,870.20032,
1029.153,843.92746,
1026.242,872.47102,
1023.331,859.33424,
1020.421,874.62464,
1017.510,895.38634,
1014.600,891.54331,
1011.689,880.1969,
1008.778,907.85684,
1005.868,956.50772,
1002.957,957.36808,
1000.047,981.52401,
997.136,1019.279,
994.226,1042.623,
991.315,1040.4109,
988.404,1023.4195,
985.494,1007.2123,
982.583,994.36396,
979.673,995.42659,
976.762,985.93216,
973.852,998.39046,
970.941,1023.2036,
968.030,1020.9971,
965.120,1012.4928,
962.209,1010.7878,
959.299,1023.9567,
956.388,1017.1808,
953.477,1018.1867,
950.567,1026.9644,
947.656,1009.8369,
944.746,1020.0316,
941.835,1029.4079,
938.925,1012.4165,
936.014,1000.4767,
933.103,999.55928,
930.193,998.90316,
927.282,988.22503,
924.372,983.15139,
921.461,986.182,
918.551,953.22493,
915.640,939.54854,
912.729,951.81644,
909.819,943.05434,
906.908,932.10281,
903.998,927.52318,
901.087,937.32061,
898.176,956.86146,
895.266,968.00861,
892.355,965.05473,
889.445,989.39348,
886.534,979.48154,
883.624,995.66647,
880.713,1016.7485,
877.802,1025.3735,
874.892,1021.89,
871.981,1033.0918,
869.071,1058.1542,
866.160,1048.0108,
863.250,1037.8306,
860.339,1034.5,
857.428,1029.3347,
854.518,1007.837,
851.607,1019.486,
848.697,1011.8706,
845.786,1012.6897,
842.875,1008.4117,
839.965,990.4223,
837.054,985.39766,
834.144,976.28139,
831.233,967.1672,
828.323,971.90772,
825.412,967.29952,
822.501,935.47863,
819.591,913.16584,
816.680,926.9231,
813.770,930.5,
810.859,930.95124,
807.949,920.75117,
805.038,895.78541,
802.127,922.94861,
799.217,894.93897,
796.306,906.06773,
793.396,911.59912,
790.485,891.76245,
787.574,882.15389,
784.664,899.37625,
781.753,894.44819,
778.843,894.91074,
775.932,895.17909,
773.022,887.78236,
770.111,902.49876,
767.200,917.96494,
764.290,928.85666,
761.379,914.59436,
758.469,884.03513,
755.558,878.52431,
752.648,879.33892,
749.737,886.02789,
746.826,856.3983,
743.916,834.1366,
741.005,861.66131,
738.095,747.99855,
735.184,666.56933,
732.274,606.36846,
729.363,626.59834,
726.452,740.55629,
723.542,823.9238,
720.631,850.67163,
717.721,866.66553,
714.810,875.02272,
711.899,884.2723,
708.989,913.3216,
706.078,895.07003,
703.168,885.03501,
700.257,869.53541,
697.347,858.15158,
694.436,878.34725,
691.525,872.72061,
688.615,882.19149,
685.704,880.72952,
682.794,875.1808,
679.883,888.48157,
676.973,843.60481,
674.062,852.3663,
671.151,857.24004,
668.241,867.41562,
665.330,919.68483,
662.420,881.34571,
659.509,862.07124,
656.598,854.20175,
653.688,855.26051,
650.777,865.49909,
647.867,894.96322,
644.956,902.11915,
642.046,887.15987,
639.135,864.66156,
636.224,861.5,
633.314,861.5,
630.403,895.79022,
627.493,909.51406,
624.582,894.55943,
621.672,899.31139,
618.761,913.93885,
615.850,931.72371,
612.940,920.64178,
610.029,884.9446,
607.119,923.6365,
604.208,926.78999,
601.297,935.47332,
598.387,936.4743,
595.476,917.16851,
592.566,924.25213,
589.655,928.73945,
586.745,907.0657,
583.834,874.96291,
580.923,869.57108,
578.013,881.34209,
575.102,871.30747,
572.192,865.78741,
569.281,877.85859,
566.371,902.11993,
563.460,876.98674,
560.549,891.81305,
557.639,915.74011,
554.728,908.35774,
551.818,953.61607,
548.907,929.37286,
545.996,926.55069,
543.086,951.63489,
540.175,929.05416,
537.265,924.60288,
534.354,942.56425,
531.444,949.51771,
528.533,920.70729,
525.622,951.74518,
522.712,954.85948,
