,PLCB58~1,
Wavenumbers [1/cm],Intensity,
735.184,5228.0344,
732.274,5229.6485,
729.363,5315.099,
726.452,5448.1601,
723.542,5530.7182,
720.631,5611.7039,
717.721,5666.7565,
714.810,5683.7785,
711.899,5683.7847,
708.989,5728.9725,
706.078,5736.4617,
703.168,5723.6767,
700.257,5677.9437,
697.347,5632.7711,
694.436,5656.1191,
691.525,5651.2962,
688.615,5661.5704,
685.704,5666.0915,
682.794,5678.6966,
679.883,5728.6012,
676.973,5714.1765,
674.062,5725.2878,
671.151,5720.1001,
668.241,5695.8643,
665.330,5668.8466,
662.420,5596.9607,
659.509,5580.3452,
656.598,5622.9577,
653.688,5710.6156,
650.777,5812.412,
647.867,5817.19,
644.956,5798.4372,
642.046,5726.9625,
639.135,5637.1713,
636.224,5614.3972,
633.314,5643.7729,
630.403,5575.575,
627.493,5567.8026,
624.582,5632.3637,
621.672,5601.4759,
618.761,5579.7316,
615.850,5604.6563,
612.940,5647.6683,
610.029,5676.6467,
607.119,5649.0096,
604.208,5647.67,
601.297,5652.2381,
598.387,5638.1922,
595.476,5594.8841,
592.566,5612.1996,
589.655,5598.4049,
586.745,5591.8538,
583.834,5584.0512,
580.923,5544.359,
578.013,5562.4079,
575.102,5578.7218,
572.192,5582.9626,
569.281,5579.7492,
566.371,5604.7932,
563.460,5630.5305,
560.549,5653.4065,
557.639,5672.6213,
554.728,5688.876,
551.818,5714.6264,
548.907,5740.97,
545.996,5765.9137,
543.086,5783.9145,
540.175,5782.3572,
537.265,5761.2459,
534.354,5807.4326,
531.444,5859.2994,
528.533,5856.5125,
525.622,5888.3263,
522.712,5949.8578,
519.801,6023.0561,
516.891,6089.2582,
513.980,6114.0356,
511.070,6224.0151,
508.159,6328.9458,
505.248,6427.0475,
502.338,6527.8029,
499.427,6615.0199,
496.517,6714.6136,
493.606,6780.3163,
490.695,6805.4834,
487.785,6886.3114,
484.874,6920.5754,
481.964,6921.868,
479.053,6901.5504,
476.143,6877.7436,
473.232,6780.5693,
470.321,6762.7131,
467.411,6800.9782,
464.500,6853.3664,
461.590,6857.9608,
458.679,6961.0545,
455.769,7069.7702,
452.858,7128.5109,
449.947,7159.8321,
447.037,7228.1396,
444.126,7291.5409,
441.216,7339.3196,
438.305,7385.7974,
435.395,7406.0184,
432.484,7437.8384,
429.573,7472.7825,
426.663,7475.0629,
423.752,7239.5224,
420.842,6926.2611,
417.931,6690.5483,
415.020,6744.3917,
412.110,7344.7096,
409.199,7714.8611,
406.289,7847.898,
403.378,7772.876,
400.468,7662.5009,
397.557,7702.3158,
394.646,7817.9614,
391.736,7941.0126,
388.825,7996.0715,
385.915,8036.1987,
383.004,8077.5236,
380.094,8132.3576,
377.183,8212.8726,
374.272,8243.9345,
371.362,8278.0338,
368.451,8343.8001,
365.541,8369.3183,
362.630,8377.3425,
359.719,8404.2951,
356.809,8464.7095,
353.898,8439.2504,
350.988,8437.1324,
348.077,8460.417,
345.167,8506.6067,
342.256,8493.9065,
339.345,8488.6557,
336.435,8489.4707,
333.524,8495.8372,
330.614,8514.4661,
327.703,8564.4028,
324.793,8614.4993,
321.882,8638.4267,
318.971,8711.2841,
316.061,8805.1023,
313.150,8900.5761,
310.240,8975.5298,
307.329,9055.4308,
304.418,9059.3488,
301.508,9032.9608,
298.597,9054.4329,
295.687,9041.3507,
292.776,9048.8334,
289.866,9097.5857,
286.955,9232.0337,
284.044,9329.6799,
281.134,9388.2101,
278.223,9424.4771,
275.313,9521.742,
272.402,9531.7937,
269.492,9540.7263,
266.581,9572.0459,
263.670,9513.2315,
260.760,9601.7714,
257.849,9723.3995,
254.939,9795.32,
252.028,9954.772,
249.117,9945.8122,
246.207,9895.2604,
243.296,10018.975,
240.386,10044.657,
237.475,10050.482,
234.565,10055.117,
231.654,10092.366,
228.743,10106.579,
225.833,10092.042,
222.922,10048.25,
220.012,10048.25,
217.101,10062.971,
214.191,10092.894,
211.280,10141.634,
208.369,10134.485,
205.459,10105.295,
202.548,10067.871,
199.638,10059.889,
196.727,10047.878,
193.816,10073.664,
190.906,10152.266,
187.995,10181.227,
185.085,10181.32,
182.174,10202.767,
179.264,10322.746,
176.353,10297.162,
173.442,10275.25,
170.532,10270.378,
167.621,10228.561,
164.711,10065.886,
161.800,9833.8933,
158.890,9554.639,
155.979,9024.9773,
153.068,8394.5406,
150.158,7652.1603,
147.247,6699.4377,
144.337,5576.625,
141.426,4407.3319,
138.516,3241.6667,
135.605,2332.7028,
132.694,1599.1927,
129.784,1041.5336,
126.873,719.72519,
123.963,491.49594,
121.052,322.35715,
118.141,206.70502,
115.231,177.82719,
112.320,146.33911,
109.410,116.52289,
106.499,102.27979,
103.589,91.966692,
100.678,83.533783,
97.767,76.424407,
94.857,65.855164,
91.946,66.08733,
89.036,72.346817,
86.125,66.673175,
83.215,57.286195,
80.304,50.25,
77.393,50.25,
74.483,46.974325,
71.572,43.438239,
68.662,40.111465,
65.751,38.698563,
62.840,31.506172,
59.930,25.561003,
57.019,30.496577,
54.109,24.08407,
51.198,23.774139,
48.288,34.182051,
45.377,25.741514,
42.466,23.898877,
39.556,26.25,
36.645,26.25,
33.735,26.769248,
30.824,24.157582,
27.914,14.341129,
25.003,20.099012,
22.092,22.312573,
19.182,18.181351,
16.271,16.082881,
13.361,12.721252,
10.450,-3.0093554,
7.539,-74.237523,
4.629,-234.73937,
1.718,-347.86501,
-1.192,-283.03057,
-4.103,-220.05975,
-7.013,-129.11391,
-9.924,-1.75,
