,PLFA52~1,
Raman shift [1/cm],Intensity,
918.551,4864.9706,
915.640,4794.4264,
912.729,4776.3313,
909.819,4763.1793,
906.908,4752.2278,
903.998,4742.876,
901.087,4769.9043,
898.176,4831.9585,
895.266,4886.0686,
892.355,4901.7503,
889.445,4934.4818,
886.534,5013.103,
883.624,5066.3036,
880.713,5106.5703,
877.802,5127.2776,
874.892,5122.2127,
871.981,5101.4216,
869.071,5050.4614,
866.160,5045.0748,
863.250,5055.5364,
860.339,5057.8974,
857.428,5044.1814,
854.518,5026.8327,
851.607,4930.3126,
848.697,4965.2113,
845.786,4935.6905,
842.875,4905.5006,
839.965,4944.7562,
837.054,4963.9134,
834.144,4989.6047,
831.233,4943.2954,
828.323,4928.011,
825.412,4909.0044,
822.501,4848.8591,
819.591,4861.2551,
816.680,4721.4004,
813.770,4672.2154,
810.859,4649.1853,
807.949,4617.0176,
805.038,4580.1184,
802.127,4592.4653,
799.217,4514.6136,
796.306,4495.571,
793.396,4551.0683,
790.485,4610.3045,
787.574,4539.9436,
784.664,4495.6575,
781.753,4555.3944,
778.843,4586.6647,
775.932,4592.9582,
773.022,4614.9217,
770.111,4636.1788,
767.200,4602.6046,
764.290,4602.0268,
761.379,4568.6628,
758.469,4515.042,
755.558,4550.6979,
752.648,4553.1417,
749.737,4522.9439,
746.826,4496.8344,
743.916,4457.9817,
741.005,4372.6858,
738.095,4249.2806,
735.184,4126.651,
732.274,4098.876,
729.363,4180.5436,
726.452,4330.4122,
723.542,4417.8267,
720.631,4470.0264,
717.721,4479.4694,
714.810,4479.4318,
711.899,4490.328,
708.989,4510.5011,
706.078,4452.1299,
703.168,4424.2661,
700.257,4400.3598,
697.347,4375.5818,
694.436,4363.2066,
691.525,4310.9592,
688.615,4337.3597,
685.704,4337.1769,
682.794,4323.5397,
679.883,4374.3635,
676.973,4346.3155,
674.062,4387.8431,
671.151,4388.3252,
668.241,4364.8697,
665.330,4395.4317,
662.420,4349.1052,
659.509,4373.9113,
656.598,4381.0753,
653.688,4378.4276,
650.777,4424.625,
647.867,4424.625,
644.956,4389.9526,
642.046,4358.26,
639.135,4364.5859,
636.224,4443.5176,
633.314,4422.0812,
630.403,4440.8646,
627.493,4454.5524,
624.582,4460.5724,
621.672,4509.6761,
618.761,4566.3406,
615.850,4579.7681,
612.940,4592.3356,
610.029,4626.8337,
607.119,4652.1019,
604.208,4651.7849,
601.297,4639.6576,
598.387,4646.6828,
595.476,4687.0197,
592.566,4638.2215,
589.655,4603.7094,
586.745,4584.8513,
583.834,4566.987,
580.923,4525.7624,
578.013,4548.5197,
575.102,4583.878,
572.192,4609.1978,
569.281,4615.9062,
566.371,4617.4714,
563.460,4636.6726,
560.549,4666.5525,
557.639,4705.2017,
554.728,4746.2947,
551.818,4725.2261,
548.907,4716.9685,
545.996,4745.3394,
543.086,4795.1349,
540.175,4802.1427,
537.265,4805.5221,
534.354,4850.2721,
531.444,4895.2969,
528.533,4908.2886,
525.622,5030.1123,
522.712,5080.2884,
519.801,5114.719,
516.891,5159.7104,
513.980,5229.3971,
511.070,5287.7467,
508.159,5364.0676,
505.248,5453.1678,
502.338,5544.449,
499.427,5640.928,
496.517,5694.3421,
493.606,5756.677,
490.695,5842.1183,
487.785,5874.4496,
484.874,5816.9413,
481.964,5830.382,
479.053,5883.4679,
476.143,5824.3348,
473.232,5771.7055,
470.321,5752.625,
467.411,5750.8522,
464.500,5745.4892,
461.590,5740.1291,
458.679,5751.8321,
455.769,5767.9811,
452.858,5782.4883,
449.947,5809.9898,
447.037,5877.5146,
444.126,5920.5826,
441.216,5913.0576,
438.305,5840.6741,
435.395,5907.9901,
432.484,5917.3686,
